Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,Player1,7,7,Miss,5
1,Player2,1,8,Miss,5
2,Player1,4,8,Miss,5
2,Player2,2,5,Miss,5
3,Player1,0,8,Miss,5
3,Player2,8,6,Miss,5
4,Player1,2,9,Miss,5
4,Player2,1,9,Miss,5
5,Player1,7,1,Miss,5
5,Player2,5,9,Miss,5
6,Player1,9,1,Miss,5
6,Player2,1,5,Hit,4
7,Player1,9,4,Miss,5
7,Player2,9,7,Miss,4
8,Player1,9,7,Miss,5
8,Player2,3,8,Miss,4
9,Player1,6,2,Miss,5
9,Player2,9,6,Miss,4
10,Player1,7,5,Miss,5
10,Player2,9,5,Miss,4
11,Player1,4,2,Miss,5
11,Player2,2,7,Miss,4
12,Player1,3,4,Miss,5
12,Player2,8,5,Miss,4
13,Player1,8,7,Miss,5
13,Player2,5,7,Miss,4
14,Player1,5,9,Miss,5
14,Player2,9,8,Miss,4
15,Player1,6,1,Miss,5
15,Player2,0,0,Miss,4
16,Player1,2,7,Miss,5
16,Player2,3,2,Miss,4
17,Player1,8,3,Miss,5
17,Player2,6,7,Miss,4
18,Player1,6,3,Miss,5
18,Player2,2,9,Miss,4
19,Player1,5,5,Miss,5
19,Player2,9,0,Miss,4
20,Player1,0,2,Miss,5
20,Player2,9,2,Miss,4
21,Player1,6,9,Miss,5
21,Player2,0,9,Miss,4
22,Player1,9,6,Miss,5
22,Player2,6,9,Miss,4
23,Player1,7,3,Miss,5
23,Player2,4,6,Miss,4
24,Player1,1,1,Hit,4
24,Player2,3,7,Miss,4
25,Player1,0,5,Miss,4
25,Player2,0,8,Miss,4
26,Player1,3,1,Miss,4
26,Player2,4,1,Miss,4
27,Player1,4,4,Miss,4
27,Player2,8,3,Miss,4
28,Player1,5,3,Miss,4
28,Player2,5,3,Miss,4
29,Player1,1,6,Miss,4
29,Player2,8,0,Miss,4
30,Player1,9,8,Miss,4
30,Player2,1,0,Miss,4
31,Player1,4,1,Miss,4
31,Player2,5,6,Miss,4
32,Player1,7,2,Miss,4
32,Player2,5,0,Miss,4
33,Player1,1,5,Miss,4
33,Player2,0,4,Miss,4
34,Player1,6,0,Miss,4
34,Player2,2,4,Miss,4
35,Player1,7,8,Miss,4
35,Player2,5,5,Miss,4
36,Player1,8,1,Miss,4
36,Player2,5,1,Hit,3
37,Player1,8,8,Miss,4
37,Player2,2,1,Miss,3
38,Player1,6,7,Miss,4
38,Player2,2,3,Miss,3
39,Player1,9,2,Miss,4
39,Player2,2,2,Miss,3
40,Player1,5,4,Miss,4
40,Player2,6,0,Miss,3
41,Player1,0,9,Miss,4
41,Player2,5,4,Miss,3
42,Player1,0,6,Miss,4
42,Player2,0,6,Miss,3
43,Player1,2,0,Miss,4
43,Player2,5,8,Miss,3
44,Player1,9,9,Miss,4
44,Player2,7,5,Miss,3
45,Player1,1,4,Miss,4
45,Player2,8,1,Miss,3
46,Player1,6,6,Miss,4
46,Player2,3,9,Miss,3
47,Player1,6,8,Miss,4
47,Player2,4,8,Miss,3
48,Player1,2,6,Miss,4
48,Player2,8,8,Miss,3
49,Player1,4,0,Miss,4
49,Player2,1,7,Miss,3
50,Player1,5,0,Hit,3
50,Player2,7,6,Hit,2
51,Player1,0,0,Miss,3
51,Player2,0,1,Miss,2
52,Player1,8,6,Miss,3
52,Player2,3,0,Miss,2
53,Player1,7,6,Miss,3
53,Player2,1,4,Miss,2
54,Player1,2,8,Miss,3
54,Player2,8,4,Miss,2
55,Player1,0,3,Miss,3
55,Player2,9,3,Miss,2
56,Player1,7,9,Miss,3
56,Player2,5,2,Miss,2
57,Player1,8,2,Miss,3
57,Player2,3,1,Miss,2
58,Player1,4,5,Miss,3
58,Player2,9,4,Miss,2
59,Player1,7,0,Miss,3
59,Player2,6,8,Miss,2
60,Player1,3,9,Miss,3
60,Player2,6,1,Miss,2
61,Player1,6,5,Miss,3
61,Player2,7,8,Miss,2
62,Player1,4,7,Miss,3
62,Player2,6,5,Miss,2
63,Player1,5,6,Miss,3
63,Player2,9,9,Miss,2
64,Player1,3,5,Miss,3
64,Player2,7,1,Miss,2
65,Player1,8,4,Hit,2
65,Player2,1,3,Miss,2
66,Player1,2,2,Miss,2
66,Player2,7,0,Miss,2
67,Player1,0,7,Miss,2
67,Player2,2,6,Miss,2
68,Player1,3,8,Miss,2
68,Player2,3,6,Miss,2
69,Player1,0,4,Miss,2
69,Player2,7,4,Miss,2
70,Player1,6,4,Miss,2
70,Player2,7,3,Miss,2
71,Player1,1,0,Miss,2
71,Player2,2,8,Miss,2
72,Player1,3,0,Hit,1
72,Player2,4,7,Hit,1
73,Player1,8,9,Miss,1
73,Player2,6,6,Miss,1
74,Player1,8,5,Miss,1
74,Player2,0,5,Hit,0
