Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,Player1,2,4,Hit,4
1,Player2,4,6,Miss,5
2,Player1,6,1,Miss,4
2,Player2,4,0,Miss,5
3,Player1,9,4,Miss,4
3,Player2,7,3,Hit,4
4,Player1,0,5,Miss,4
4,Player2,2,9,Miss,4
5,Player1,5,9,Miss,4
5,Player2,5,6,Miss,4
6,Player1,6,6,Miss,4
6,Player2,2,8,Miss,4
7,Player1,3,5,Hit,3
7,Player2,1,0,Miss,4
8,Player1,1,7,Hit,2
8,Player2,0,6,Miss,4
9,Player1,7,4,Miss,2
9,Player2,0,7,Miss,4
10,Player1,4,6,Miss,2
10,Player2,6,2,Miss,4
11,Player1,7,5,Miss,2
11,Player2,5,9,Miss,4
12,Player1,3,1,Miss,2
12,Player2,4,2,Miss,4
13,Player1,8,7,Miss,2
13,Player2,9,8,Miss,4
14,Player1,4,8,Miss,2
14,Player2,0,8,Miss,4
15,Player1,4,9,Miss,2
15,Player2,3,5,Miss,4
16,Player1,3,6,Miss,2
16,Player2,1,2,Miss,4
17,Player1,1,3,Hit,1
17,Player2,4,5,Miss,4
18,Player1,7,8,Miss,1
18,Player2,7,8,Miss,4
19,Player1,1,8,Miss,1
19,Player2,5,5,Miss,4
20,Player1,5,3,Miss,1
20,Player2,3,1,Miss,4
21,Player1,6,5,Miss,1
21,Player2,8,1,Miss,4
22,Player1,5,5,Miss,1
22,Player2,1,8,Miss,4
23,Player1,6,8,Miss,1
23,Player2,8,5,Miss,4
24,Player1,4,2,Miss,1
24,Player2,4,4,Miss,4
25,Player1,0,9,Miss,1
25,Player2,1,6,Miss,4
26,Player1,5,0,Miss,1
26,Player2,4,8,Miss,4
27,Player1,2,5,Miss,1
27,Player2,7,9,Miss,4
28,Player1,2,7,Miss,1
28,Player2,1,7,Miss,4
29,Player1,1,5,Miss,1
29,Player2,8,2,Miss,4
30,Player1,2,2,Miss,1
30,Player2,1,4,Miss,4
31,Player1,9,1,Miss,1
31,Player2,9,3,Miss,4
32,Player1,9,9,Miss,1
32,Player2,8,8,Miss,4
33,Player1,3,9,Miss,1
33,Player2,8,3,Miss,4
34,Player1,8,9,Miss,1
34,Player2,9,7,Miss,4
35,Player1,9,5,Miss,1
35,Player2,0,0,Miss,4
36,Player1,7,6,Miss,1
36,Player2,7,6,Miss,4
37,Player1,3,7,Miss,1
37,Player2,6,3,Miss,4
38,Player1,5,1,Miss,1
38,Player2,8,6,Miss,4
39,Player1,0,1,Miss,1
39,Player2,7,2,Hit,3
40,Player1,7,3,Miss,1
40,Player2,5,1,Miss,3
41,Player1,1,6,Miss,1
41,Player2,9,5,Hit,2
42,Player1,1,1,Miss,1
42,Player2,7,0,Miss,2
43,Player1,0,7,Miss,1
43,Player2,1,3,Miss,2
44,Player1,9,3,Miss,1
44,Player2,5,3,Miss,2
45,Player1,0,8,Miss,1
45,Player2,3,9,Miss,2
46,Player1,8,6,Miss,1
46,Player2,2,7,Miss,2
47,Player1,1,0,Miss,1
47,Player2,2,3,Miss,2
48,Player1,2,0,Miss,1
48,Player2,2,4,Miss,2
49,Player1,2,3,Miss,1
49,Player2,8,4,Miss,2
50,Player1,4,5,Miss,1
50,Player2,6,0,Miss,2
51,Player1,6,0,Miss,1
51,Player2,7,1,Miss,2
52,Player1,3,0,Miss,1
52,Player2,0,9,Miss,2
53,Player1,2,6,Hit,0
53,Player2,3,3,Miss,2
