Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,6,M,17
1,2,3,0,M,17
2,1,7,1,M,17
2,2,5,3,H,16
3,1,9,4,M,17
3,2,6,3,H,15
4,1,2,0,M,17
4,2,5,4,M,15
5,1,2,2,M,17
5,2,7,3,H,14
6,1,7,5,M,17
6,2,7,4,M,14
7,1,0,1,M,17
7,2,6,4,M,14
8,1,3,9,M,17
8,2,5,2,M,14
9,1,8,5,H,16
9,2,8,3,M,14
10,1,5,7,M,16
10,2,7,2,M,14
11,1,3,4,H,15
11,2,4,3,M,14
12,1,8,8,M,15
12,2,6,2,M,14
13,1,8,7,M,15
13,2,8,7,M,14
14,1,9,6,M,15
14,2,2,0,M,14
15,1,9,1,M,15
15,2,9,7,M,14
16,1,0,8,M,15
16,2,7,6,M,14
17,1,5,9,H,14
17,2,8,6,M,14
18,1,6,4,M,14
18,2,4,1,M,14
19,1,9,8,M,14
19,2,1,5,M,14
20,1,1,3,H,13
20,2,9,2,H,13
21,1,1,5,M,13
21,2,8,2,H,12
22,1,1,7,M,13
22,2,8,1,M,12
23,1,7,0,M,13
23,2,9,3,M,12
24,1,5,2,M,13
24,2,9,1,M,12
25,1,4,4,M,13
25,2,5,5,H,11
26,1,2,5,H,12
26,2,6,5,H,10
27,1,9,7,M,12
27,2,5,6,M,10
28,1,7,7,M,12
28,2,7,5,H,9
29,1,1,8,M,12
29,2,8,5,M,9
30,1,4,2,M,12
30,2,4,5,H,8
31,1,6,6,M,12
31,2,3,5,H,7
32,1,4,7,M,12
32,2,6,6,M,7
33,1,2,1,M,12
33,2,4,6,M,7
34,1,4,3,M,12
34,2,3,6,M,7
35,1,5,3,M,12
35,2,3,4,M,7
36,1,6,3,M,12
36,2,2,5,M,7
37,1,5,0,M,12
37,2,4,4,M,7
38,1,1,0,H,11
38,2,4,9,H,6
39,1,4,0,M,11
39,2,4,8,M,6
40,1,0,5,M,11
40,2,3,9,H,5
41,1,3,8,M,11
41,2,3,8,M,5
42,1,6,7,M,11
42,2,5,9,M,5
43,1,0,2,M,11
43,2,2,9,H,4
44,1,6,0,M,11
44,2,1,9,M,4
45,1,4,6,M,11
45,2,2,8,M,4
46,1,8,2,M,11
46,2,1,6,M,4
47,1,0,0,M,11
47,2,2,2,M,4
48,1,8,1,M,11
48,2,7,7,M,4
49,1,7,6,M,11
49,2,9,9,M,4
50,1,5,1,M,11
50,2,0,6,M,4
51,1,9,5,M,11
51,2,5,1,M,4
52,1,8,6,M,11
52,2,0,5,M,4
53,1,0,4,M,11
53,2,8,8,M,4
54,1,2,9,M,11
54,2,2,3,M,4
55,1,9,2,M,11
55,2,0,8,M,4
56,1,0,3,M,11
56,2,8,9,M,4
57,1,6,1,M,11
57,2,8,0,M,4
58,1,1,1,H,10
58,2,9,6,M,4
59,1,0,7,M,10
59,2,4,0,M,4
60,1,5,5,M,10
60,2,7,9,M,4
61,1,7,9,M,10
61,2,1,1,H,3
62,1,3,5,H,9
62,2,2,1,M,3
63,1,8,0,M,9
63,2,0,1,M,3
64,1,4,5,M,9
64,2,1,0,H,2
65,1,5,6,M,9
65,2,1,2,H,1
66,1,4,9,H,8
66,2,1,3,H,0
67,1,7,3,M,8
67,2,0,3,M,0
68,1,3,2,H,7
68,2,0,2,M,0
69,1,4,1,M,7
69,2,0,0,M,0
70,1,1,4,M,7
70,2,1,4,M,0
71,1,2,6,H,6
71,2,6,7,M,0
72,1,2,4,M,6
72,2,1,8,M,0
73,1,0,6,M,6
73,2,3,3,M,0
74,1,8,9,M,6
74,2,3,2,M,0
75,1,3,6,M,6
75,2,9,0,M,0
76,1,0,9,M,6
76,2,7,1,M,0
77,1,2,8,M,6
77,2,0,7,M,0
78,1,3,1,H,5
78,2,3,7,M,0
79,1,5,4,M,5
79,2,2,6,M,0
80,1,3,7,M,5
80,2,6,0,M,0
81,1,1,9,M,5
81,2,5,0,M,0
82,1,9,0,M,5
82,2,9,8,M,0
83,1,6,8,M,5
83,2,5,8,M,0
84,1,9,9,M,5
84,2,7,8,M,0
85,1,4,8,M,5
85,2,1,7,M,0
86,1,1,2,H,4
86,2,5,7,M,0
87,1,2,3,M,4
87,2,6,1,M,0
88,1,7,8,M,4
88,2,0,9,M,0
89,1,7,4,M,4
89,2,8,4,M,0
90,1,2,7,M,4
90,2,4,7,M,0
91,1,7,2,M,4
91,2,7,0,M,0
92,1,6,9,H,3
92,2,3,1,M,0
93,1,6,5,M,3
93,2,6,8,M,0
94,1,3,0,M,3
94,2,4,2,M,0
95,1,5,8,M,3
95,2,2,4,M,0
96,1,8,3,H,2
96,2,0,4,M,0
97,1,3,3,H,1
97,2,2,7,M,0
98,1,9,3,M,1
98,2,9,5,M,0
99,1,6,2,M,1
99,2,6,9,M,0
100,1,8,4,H,0
100,2,9,4,M,0
