Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,,,Surrender,17
1,2,,,Surrender,17
2,1,,,Surrender,17
2,2,,,Surrender,17
3,1,,,Surrender,17
3,2,,,Surrender,17
4,1,,,Surrender,17
4,2,,,Surrender,17
5,1,,,Surrender,17
5,2,,,Surrender,17
6,1,,,Surrender,17
6,2,,,Surrender,17
7,1,,,Surrender,17
7,2,,,Surrender,17
8,1,,,Surrender,17
8,2,,,Surrender,17
9,1,,,Surrender,17
9,2,,,Surrender,17
10,1,,,Surrender,17
10,2,,,Surrender,17
11,1,,,Surrender,17
11,2,,,Surrender,17
12,1,,,Surrender,17
12,2,,,Surrender,17
13,1,,,Surrender,17
13,2,,,Surrender,17
14,1,,,Surrender,17
14,2,,,Surrender,17
15,1,,,Surrender,17
15,2,,,Surrender,17
16,1,,,Surrender,17
16,2,,,Surrender,17
17,1,,,Surrender,17
17,2,,,Surrender,17
18,1,,,Surrender,17
18,2,,,Surrender,17
19,1,,,Surrender,17
19,2,,,Surrender,17
20,1,,,Surrender,17
20,2,,,Surrender,17
21,1,,,Surrender,17
21,2,,,Surrender,17
22,1,,,Surrender,17
22,2,,,Surrender,17
23,1,,,Surrender,17
23,2,,,Surrender,17
24,1,,,Surrender,17
24,2,,,Surrender,17
25,1,,,Surrender,17
25,2,,,Surrender,17
26,1,,,Surrender,17
26,2,,,Surrender,17
27,1,,,Surrender,17
27,2,,,Surrender,17
28,1,,,Surrender,17
28,2,,,Surrender,17
29,1,,,Surrender,17
29,2,,,Surrender,17
30,1,,,Surrender,17
30,2,,,Surrender,17
31,1,,,Surrender,17
31,2,,,Surrender,17
32,1,,,Surrender,17
32,2,,,Surrender,17
33,1,,,Surrender,17
33,2,,,Surrender,17
34,1,,,Surrender,17
34,2,,,Surrender,17
35,1,,,Surrender,17
35,2,,,Surrender,17
36,1,,,Surrender,17
36,2,,,Surrender,17
37,1,,,Surrender,17
37,2,,,Surrender,17
38,1,,,Surrender,17
38,2,,,Surrender,17
39,1,,,Surrender,17
39,2,,,Surrender,17
40,1,,,Surrender,17
40,2,,,Surrender,17
41,1,,,Surrender,17
41,2,,,Surrender,17
42,1,,,Surrender,17
42,2,,,Surrender,17
43,1,,,Surrender,17
43,2,,,Surrender,17
44,1,,,Surrender,17
44,2,,,Surrender,17
45,1,,,Surrender,17
45,2,,,Surrender,17
46,1,,,Surrender,17
46,2,,,Surrender,17
47,1,,,Surrender,17
47,2,,,Surrender,17
48,1,,,Surrender,17
48,2,,,Surrender,17
49,1,,,Surrender,17
49,2,,,Surrender,17
50,1,,,Surrender,17
50,2,,,Surrender,17
51,1,,,Surrender,17
51,2,,,Surrender,17
52,1,,,Surrender,17
52,2,,,Surrender,17
53,1,,,Surrender,17
53,2,,,Surrender,17
54,1,,,Surrender,17
54,2,,,Surrender,17
55,1,,,Surrender,17
55,2,,,Surrender,17
56,1,,,Surrender,17
56,2,,,Surrender,17
57,1,,,Surrender,17
57,2,,,Surrender,17
58,1,,,Surrender,17
58,2,,,Surrender,17
59,1,,,Surrender,17
59,2,,,Surrender,17
60,1,,,Surrender,17
60,2,,,Surrender,17
61,1,,,Surrender,17
61,2,,,Surrender,17
62,1,,,Surrender,17
62,2,,,Surrender,17
63,1,,,Surrender,17
63,2,,,Surrender,17
64,1,,,Surrender,17
64,2,,,Surrender,17
65,1,,,Surrender,17
65,2,,,Surrender,17
66,1,,,Surrender,17
66,2,,,Surrender,17
67,1,,,Surrender,17
67,2,,,Surrender,17
68,1,,,Surrender,17
68,2,,,Surrender,17
69,1,,,Surrender,17
69,2,,,Surrender,17
70,1,,,Surrender,17
70,2,,,Surrender,17
71,1,,,Surrender,17
71,2,,,Surrender,17
72,1,,,Surrender,17
72,2,,,Surrender,17
73,1,,,Surrender,17
73,2,,,Surrender,17
74,1,,,Surrender,17
74,2,,,Surrender,17
75,1,,,Surrender,17
75,2,,,Surrender,17
76,1,,,Surrender,17
76,2,,,Surrender,17
77,1,,,Surrender,17
77,2,,,Surrender,17
78,1,,,Surrender,17
78,2,,,Surrender,17
79,1,,,Surrender,17
79,2,,,Surrender,17
80,1,,,Surrender,17
80,2,,,Surrender,17
81,1,,,Surrender,17
81,2,,,Surrender,17
82,1,,,Surrender,17
82,2,,,Surrender,17
83,1,,,Surrender,17
83,2,,,Surrender,17
84,1,,,Surrender,17
84,2,,,Surrender,17
85,1,,,Surrender,17
85,2,,,Surrender,17
86,1,,,Surrender,17
86,2,,,Surrender,17
87,1,,,Surrender,17
87,2,,,Surrender,17
88,1,,,Surrender,17
88,2,,,Surrender,17
89,1,,,Surrender,17
89,2,,,Surrender,17
90,1,,,Surrender,17
90,2,,,Surrender,17
91,1,,,Surrender,17
91,2,,,Surrender,17
92,1,,,Surrender,17
92,2,,,Surrender,17
93,1,,,Surrender,17
93,2,,,Surrender,17
94,1,,,Surrender,17
