Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,3,M,17
1,2,4,3,M,17
2,1,9,8,M,17
2,2,2,0,M,17
3,1,3,6,M,17
3,2,9,3,H,16
4,1,5,0,M,17
4,2,8,3,M,16
5,1,1,0,H,16
5,2,9,4,H,15
6,1,5,8,M,16
6,2,8,4,M,15
7,1,1,8,H,15
7,2,9,5,H,14
8,1,0,6,M,15
8,2,9,2,H,13
9,1,5,9,M,15
9,2,8,2,M,13
10,1,3,0,H,14
10,2,8,5,M,13
11,1,9,3,M,14
11,2,9,1,H,12
12,1,7,9,M,14
12,2,9,6,M,12
13,1,5,4,M,14
13,2,8,1,M,12
14,1,7,4,M,14
14,2,9,0,M,12
15,1,0,2,M,14
15,2,4,2,M,12
16,1,3,9,M,14
16,2,1,5,M,12
17,1,5,5,M,14
17,2,7,6,M,12
18,1,4,3,M,14
18,2,6,4,M,12
19,1,2,5,H,13
19,2,7,4,M,12
20,1,4,1,M,13
20,2,6,6,M,12
21,1,6,9,M,13
21,2,5,2,M,12
22,1,4,6,M,13
22,2,1,4,M,12
23,1,4,9,M,13
23,2,5,1,M,12
24,1,2,2,M,13
24,2,1,8,M,12
25,1,6,0,M,13
25,2,2,6,H,11
26,1,9,9,M,13
26,2,2,5,M,11
27,1,8,3,M,13
27,2,3,6,H,10
28,1,4,4,M,13
28,2,3,5,M,10
29,1,7,8,M,13
29,2,3,7,M,10
30,1,6,7,M,13
30,2,1,6,H,9
31,1,0,9,M,13
31,2,2,7,M,9
32,1,2,9,M,13
32,2,0,6,M,9
33,1,1,5,M,13
33,2,1,7,M,9
34,1,2,7,M,13
34,2,4,6,M,9
35,1,9,5,M,13
35,2,2,2,M,9
36,1,3,1,H,12
36,2,3,2,M,9
37,1,0,7,M,12
37,2,6,9,M,9
38,1,8,8,M,12
38,2,1,2,M,9
39,1,5,7,M,12
39,2,2,1,M,9
40,1,9,6,M,12
40,2,0,1,M,9
41,1,3,5,H,11
41,2,4,1,M,9
42,1,4,0,M,11
42,2,5,6,H,8
43,1,4,7,M,11
43,2,5,7,H,7
44,1,1,9,H,10
44,2,4,7,M,7
45,1,9,2,M,10
45,2,5,5,M,7
46,1,6,6,M,10
46,2,6,7,M,7
47,1,9,0,M,10
47,2,5,8,H,6
48,1,3,4,H,9
48,2,4,8,M,6
49,1,7,2,M,9
49,2,6,8,M,6
50,1,9,7,M,9
50,2,5,9,M,6
51,1,7,7,M,9
51,2,1,0,M,6
52,1,4,8,M,9
52,2,7,2,M,6
53,1,4,2,M,9
53,2,3,0,M,6
54,1,8,6,M,9
54,2,7,7,M,6
55,1,6,8,M,9
55,2,4,0,M,6
56,1,5,6,M,9
56,2,8,0,H,5
57,1,7,1,M,9
57,2,7,0,H,4
58,1,6,1,M,9
58,2,6,0,H,3
59,1,0,3,M,9
59,2,5,0,H,2
60,1,6,2,M,9
60,2,7,1,M,2
61,1,9,4,M,9
61,2,6,1,M,2
62,1,8,1,M,9
62,2,9,9,M,2
63,1,1,3,M,9
63,2,2,8,M,2
64,1,7,6,M,9
64,2,3,8,M,2
65,1,1,7,H,8
65,2,8,8,M,2
66,1,0,4,M,8
66,2,0,7,M,2
67,1,5,3,M,8
67,2,8,7,M,2
68,1,1,2,M,8
68,2,2,9,M,2
69,1,1,6,H,7
69,2,0,3,M,2
70,1,6,5,H,6
70,2,9,7,M,2
71,1,3,2,H,5
71,2,7,9,M,2
72,1,8,7,M,5
72,2,0,5,M,2
73,1,7,5,M,5
73,2,6,3,M,2
74,1,0,0,M,5
74,2,8,9,M,2
75,1,7,0,M,5
75,2,2,4,M,2
76,1,5,2,M,5
76,2,1,1,M,2
77,1,0,5,M,5
77,2,0,9,M,2
78,1,3,7,M,5
78,2,4,4,M,2
79,1,2,0,H,4
79,2,4,9,M,2
80,1,9,1,M,4
80,2,3,1,M,2
81,1,2,4,H,3
81,2,0,0,M,2
82,1,0,1,M,3
82,2,7,3,M,2
83,1,1,4,M,3
83,2,7,5,M,2
84,1,8,9,M,3
84,2,8,6,M,2
85,1,2,1,M,3
85,2,6,5,M,2
86,1,4,5,M,3
86,2,0,8,M,2
87,1,8,5,M,3
87,2,3,4,M,2
88,1,2,8,M,3
88,2,0,4,M,2
89,1,1,1,M,3
89,2,0,2,M,2
90,1,8,2,M,3
90,2,3,9,M,2
91,1,8,0,M,3
91,2,5,3,M,2
92,1,5,1,M,3
92,2,2,3,H,1
93,1,6,4,H,2
93,2,3,3,H,0
94,1,3,3,H,1
94,2,1,3,M,0
95,1,6,3,M,1
95,2,6,2,M,0
96,1,3,8,M,1
96,2,9,8,M,0
97,1,0,8,M,1
97,2,5,4,M,0
98,1,2,3,M,1
98,2,7,8,M,0
99,1,8,4,M,1
99,2,1,9,M,0
100,1,2,6,H,0
100,2,4,5,M,0
