Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,9,1,M,17
1,2,3,6,M,17
2,1,6,0,M,17
2,2,1,7,M,17
3,1,5,6,M,17
3,2,8,8,M,17
4,1,2,5,M,17
4,2,5,1,M,17
5,1,7,3,M,17
5,2,1,3,H,16
6,1,0,4,H,16
6,2,1,2,H,15
7,1,6,6,M,16
7,2,0,2,M,15
8,1,8,1,M,16
8,2,1,4,H,14
9,1,7,4,M,16
9,2,0,3,M,14
10,1,1,4,M,16
10,2,2,4,M,14
11,1,2,3,M,16
11,2,2,2,M,14
12,1,6,9,M,16
12,2,1,5,H,13
13,1,6,1,M,16
13,2,1,6,H,12
14,1,2,6,H,15
14,2,0,6,M,12
15,1,9,5,M,15
15,2,0,5,M,12
16,1,4,9,M,15
16,2,0,4,M,12
17,1,1,7,M,15
17,2,2,3,M,12
18,1,7,7,M,15
18,2,2,5,M,12
19,1,1,3,M,15
19,2,1,1,H,11
20,1,5,3,M,15
20,2,0,1,M,11
21,1,4,3,H,14
21,2,2,1,M,11
22,1,5,1,M,14
22,2,1,0,M,11
23,1,0,3,H,13
23,2,2,6,H,10
24,1,3,3,M,13
24,2,2,7,M,10
25,1,6,2,M,13
25,2,7,3,M,10
26,1,7,2,M,13
26,2,3,1,M,10
27,1,9,0,M,13
27,2,0,8,M,10
28,1,7,0,M,13
28,2,8,6,M,10
29,1,6,3,M,13
29,2,6,4,M,10
30,1,4,0,M,13
30,2,5,6,M,10
31,1,8,9,M,13
31,2,6,0,M,10
32,1,6,8,M,13
32,2,5,3,M,10
33,1,1,5,M,13
33,2,8,5,M,10
34,1,5,9,M,13
34,2,3,3,M,10
35,1,9,3,M,13
35,2,7,2,M,10
36,1,5,7,M,13
36,2,4,9,H,9
37,1,5,8,M,13
37,2,3,9,M,9
38,1,3,5,M,13
38,2,4,8,M,9
39,1,1,6,H,12
39,2,5,9,H,8
40,1,8,4,M,12
40,2,6,9,H,7
41,1,5,0,M,12
41,2,7,9,H,6
42,1,2,9,M,12
42,2,8,9,M,6
43,1,7,1,M,12
43,2,6,8,M,6
44,1,4,7,M,12
44,2,5,8,M,6
45,1,4,2,H,11
45,2,7,8,M,6
46,1,4,6,H,10
46,2,7,6,H,5
47,1,5,2,M,10
47,2,7,5,H,4
48,1,3,9,M,10
48,2,6,6,M,4
49,1,3,2,M,10
49,2,6,5,M,4
50,1,1,8,H,9
50,2,7,7,H,3
51,1,8,5,M,9
51,2,8,7,M,3
52,1,5,4,M,9
52,2,6,7,M,3
53,1,7,6,M,9
53,2,7,4,M,3
54,1,2,7,M,9
54,2,9,7,M,3
55,1,1,2,M,9
55,2,8,2,M,3
56,1,0,5,M,9
56,2,1,9,M,3
57,1,2,1,M,9
57,2,6,1,M,3
58,1,5,5,M,9
58,2,6,3,M,3
59,1,9,2,M,9
59,2,4,6,M,3
60,1,7,5,M,9
60,2,7,1,M,3
61,1,3,7,M,9
61,2,5,4,M,3
62,1,9,9,M,9
62,2,9,6,M,3
63,1,8,0,M,9
63,2,3,7,M,3
64,1,0,1,H,8
64,2,9,9,M,3
65,1,3,6,H,7
65,2,8,3,M,3
66,1,3,0,H,6
66,2,0,9,M,3
67,1,8,3,M,6
67,2,9,3,H,2
68,1,9,7,M,6
68,2,9,2,H,1
69,1,2,4,M,6
69,2,9,1,H,0
70,1,0,8,H,5
70,2,8,1,M,0
71,1,1,0,M,5
71,2,9,4,M,0
72,1,4,1,M,5
72,2,9,0,M,0
73,1,2,8,H,4
73,2,3,0,M,0
74,1,9,8,M,4
74,2,4,7,M,0
75,1,0,7,M,4
75,2,5,2,M,0
76,1,9,4,M,4
76,2,3,2,M,0
77,1,3,1,H,3
77,2,2,8,M,0
78,1,9,6,M,3
78,2,4,1,M,0
79,1,8,8,M,3
79,2,3,5,M,0
80,1,1,1,M,3
80,2,8,0,M,0
81,1,6,5,M,3
81,2,1,8,M,0
82,1,1,9,M,3
82,2,9,5,M,0
83,1,4,4,H,2
83,2,6,2,M,0
84,1,4,5,M,2
84,2,4,4,M,0
85,1,6,7,M,2
85,2,4,0,M,0
86,1,8,6,M,2
86,2,4,3,M,0
87,1,3,4,M,2
87,2,8,4,M,0
88,1,0,0,M,2
88,2,2,9,M,0
89,1,0,6,H,1
89,2,5,0,M,0
90,1,7,9,M,1
90,2,2,0,M,0
91,1,2,0,M,1
91,2,9,8,M,0
92,1,8,2,M,1
92,2,0,7,M,0
93,1,6,4,M,1
93,2,4,2,M,0
94,1,0,2,H,0
94,2,4,5,M,0
