Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,5,M,17
1,2,5,6,M,17
2,1,1,5,M,17
2,2,2,0,M,17
3,1,2,7,M,17
3,2,3,5,M,17
4,1,9,9,M,17
4,2,5,8,M,17
5,1,0,2,M,17
5,2,8,5,H,16
6,1,8,5,M,17
6,2,8,6,H,15
7,1,6,1,M,17
7,2,9,5,M,15
8,1,6,8,M,17
8,2,8,7,H,14
9,1,4,8,H,16
9,2,7,6,M,14
10,1,3,5,M,16
10,2,7,7,M,14
11,1,0,7,M,16
11,2,8,4,M,14
12,1,2,3,M,16
12,2,7,5,M,14
13,1,9,6,M,16
13,2,9,7,M,14
14,1,2,1,M,16
14,2,8,8,H,13
15,1,6,3,M,16
15,2,7,8,M,13
16,1,0,1,H,15
16,2,8,9,M,13
17,1,7,4,H,14
17,2,9,8,M,13
18,1,8,2,M,14
18,2,9,6,M,13
19,1,9,3,H,13
19,2,1,6,M,13
20,1,6,4,M,13
20,2,4,3,M,13
21,1,4,1,M,13
21,2,1,9,M,13
22,1,3,2,M,13
22,2,6,4,M,13
23,1,5,6,M,13
23,2,3,7,H,12
24,1,5,9,M,13
24,2,2,7,H,11
25,1,8,1,M,13
25,2,3,8,M,11
26,1,5,1,M,13
26,2,3,6,M,11
27,1,7,8,H,12
27,2,2,8,M,11
28,1,0,6,M,12
28,2,2,6,M,11
29,1,0,8,M,12
29,2,1,7,H,10
30,1,9,7,M,12
30,2,1,8,M,10
31,1,2,5,M,12
31,2,0,7,H,9
32,1,2,2,M,12
32,2,4,7,M,9
33,1,3,3,M,12
33,2,0,8,M,9
34,1,1,3,M,12
34,2,0,6,H,8
35,1,7,6,H,11
35,2,0,5,H,7
36,1,7,3,M,11
36,2,0,4,H,6
37,1,1,6,M,11
37,2,1,4,H,5
38,1,9,8,M,11
38,2,2,4,M,5
39,1,5,7,M,11
39,2,0,3,H,4
40,1,7,1,M,11
40,2,1,5,H,3
41,1,8,3,M,11
41,2,0,2,M,3
42,1,0,3,M,11
42,2,1,3,M,3
43,1,2,6,M,11
43,2,2,5,M,3
44,1,9,4,M,11
44,2,8,2,M,3
45,1,6,9,M,11
45,2,3,1,M,3
46,1,4,3,M,11
46,2,0,0,M,3
47,1,3,4,M,11
47,2,7,9,M,3
48,1,7,0,M,11
48,2,3,9,M,3
49,1,3,6,M,11
49,2,5,1,M,3
50,1,5,0,M,11
50,2,4,4,M,3
51,1,6,6,M,11
51,2,4,0,M,3
52,1,1,0,H,10
52,2,7,1,M,3
53,1,7,9,M,10
53,2,8,1,M,3
54,1,9,5,M,10
54,2,5,7,M,3
55,1,7,7,H,9
55,2,3,2,M,3
56,1,1,8,M,9
56,2,6,7,M,3
57,1,8,0,M,9
57,2,4,1,M,3
58,1,8,4,M,9
58,2,4,8,M,3
59,1,1,1,M,9
59,2,9,4,M,3
60,1,5,8,H,8
60,2,5,4,M,3
61,1,8,9,M,8
61,2,3,0,M,3
62,1,1,9,M,8
62,2,0,9,M,3
63,1,4,9,M,8
63,2,9,1,M,3
64,1,4,2,M,8
64,2,4,6,M,3
65,1,2,4,M,8
65,2,5,2,H,2
66,1,9,0,M,8
66,2,5,3,M,2
67,1,4,4,M,8
67,2,4,2,M,2
68,1,5,4,M,8
68,2,6,2,H,1
69,1,3,9,M,8
69,2,6,1,M,1
70,1,2,9,M,8
70,2,7,2,H,0
71,1,7,5,H,7
71,2,7,3,M,0
72,1,1,4,M,7
72,2,6,3,M,0
73,1,2,0,H,6
73,2,9,3,M,0
74,1,0,9,M,6
74,2,9,0,M,0
75,1,9,1,H,5
75,2,1,2,M,0
76,1,5,5,M,5
76,2,7,4,M,0
77,1,8,7,M,5
77,2,6,6,M,0
78,1,6,0,M,5
78,2,6,8,M,0
79,1,0,0,H,4
79,2,1,0,M,0
80,1,3,1,M,4
80,2,3,4,M,0
81,1,7,2,M,4
81,2,7,0,M,0
82,1,1,7,M,4
82,2,8,0,M,0
83,1,1,2,M,4
83,2,6,9,M,0
84,1,4,0,H,3
84,2,2,1,M,0
85,1,9,2,H,2
85,2,2,3,M,0
86,1,6,2,M,2
86,2,5,5,M,0
87,1,5,2,M,2
87,2,2,9,M,0
88,1,6,5,M,2
88,2,8,3,M,0
89,1,6,7,M,2
89,2,6,0,M,0
90,1,2,8,M,2
90,2,0,1,M,0
91,1,3,7,M,2
91,2,6,5,M,0
92,1,0,4,M,2
92,2,3,3,M,0
93,1,3,0,H,1
93,2,1,1,M,0
94,1,4,7,M,1
94,2,2,2,M,0
95,1,0,5,M,1
95,2,5,0,M,0
96,1,8,6,M,1
96,2,5,9,M,0
97,1,8,8,M,1
97,2,9,2,M,0
98,1,3,8,H,0
98,2,4,9,M,0
