Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,8,M,17
1,2,0,8,M,17
2,1,5,0,M,17
2,2,3,1,H,16
3,1,8,0,M,17
3,2,3,2,M,16
4,1,2,0,M,17
4,2,2,1,H,15
5,1,3,6,M,17
5,2,1,1,H,14
6,1,8,1,M,17
6,2,2,2,M,14
7,1,7,7,M,17
7,2,2,0,M,14
8,1,4,5,M,17
8,2,3,0,M,14
9,1,7,4,M,17
9,2,0,1,H,13
10,1,6,0,M,17
10,2,0,0,M,13
11,1,2,9,M,17
11,2,0,2,M,13
12,1,3,0,M,17
12,2,1,2,M,13
13,1,2,6,M,17
13,2,1,0,M,13
14,1,7,2,M,17
14,2,4,1,H,12
15,1,8,2,M,17
15,2,4,0,M,12
16,1,0,8,M,17
16,2,5,1,M,12
17,1,3,4,M,17
17,2,4,2,M,12
18,1,1,6,M,17
18,2,3,4,M,12
19,1,1,4,M,17
19,2,9,8,H,11
20,1,9,5,H,16
20,2,9,7,M,11
21,1,4,2,M,16
21,2,8,8,H,10
22,1,9,1,M,16
22,2,9,9,M,10
23,1,4,4,M,16
23,2,8,7,M,10
24,1,2,7,M,16
24,2,8,9,M,10
25,1,8,7,M,16
25,2,7,8,M,10
26,1,4,3,H,15
26,2,1,7,H,9
27,1,0,3,M,15
27,2,2,7,M,9
28,1,2,2,M,15
28,2,0,7,M,9
29,1,2,1,H,14
29,2,1,6,H,8
30,1,6,9,M,14
30,2,1,5,H,7
31,1,2,3,H,13
31,2,2,5,M,7
32,1,1,9,M,13
32,2,0,6,M,7
33,1,6,6,H,12
33,2,1,4,M,7
34,1,1,8,M,12
34,2,1,8,H,6
35,1,0,0,M,12
35,2,2,6,M,6
36,1,8,8,M,12
36,2,2,8,M,6
37,1,9,4,M,12
37,2,0,5,M,6
38,1,9,3,M,12
38,2,1,9,M,6
39,1,0,4,M,12
39,2,7,9,M,6
40,1,1,7,M,12
40,2,7,7,M,6
41,1,1,2,M,12
41,2,6,9,M,6
42,1,9,0,M,12
42,2,0,3,M,6
43,1,3,3,H,11
43,2,9,4,M,6
44,1,5,7,M,11
44,2,9,6,M,6
45,1,5,1,M,11
45,2,5,6,M,6
46,1,1,3,M,11
46,2,2,4,M,6
47,1,6,1,M,11
47,2,5,3,M,6
48,1,5,6,M,11
48,2,8,3,M,6
49,1,7,8,M,11
49,2,7,5,M,6
50,1,5,2,M,11
50,2,6,2,M,6
51,1,0,9,M,11
51,2,6,7,M,6
52,1,7,3,M,11
52,2,3,9,M,6
53,1,6,2,M,11
53,2,6,1,M,6
54,1,4,8,M,11
54,2,5,7,H,5
55,1,0,1,M,11
55,2,5,8,H,4
56,1,9,8,M,11
56,2,6,8,M,4
57,1,1,0,M,11
57,2,5,9,H,3
58,1,7,6,M,11
58,2,4,9,M,3
59,1,8,5,M,11
59,2,4,8,M,3
60,1,5,3,H,10
60,2,4,7,M,3
61,1,3,2,M,10
61,2,4,3,M,3
62,1,8,6,M,10
62,2,8,6,M,3
63,1,0,7,M,10
63,2,8,2,M,3
64,1,5,9,M,10
64,2,6,0,M,3
65,1,5,4,M,10
65,2,7,6,M,3
66,1,2,4,M,10
66,2,7,2,M,3
67,1,3,5,M,10
67,2,4,4,M,3
68,1,6,5,H,9
68,2,8,0,M,3
69,1,4,9,M,9
69,2,3,3,M,3
70,1,7,1,M,9
70,2,8,1,M,3
71,1,8,3,M,9
71,2,6,5,H,2
72,1,1,5,M,9
72,2,5,5,M,2
73,1,3,7,M,9
73,2,6,6,H,1
74,1,4,7,M,9
74,2,6,4,H,0
75,1,9,6,H,8
75,2,5,4,M,0
76,1,1,1,H,7
76,2,7,4,M,0
77,1,6,3,H,6
77,2,6,3,M,0
78,1,8,9,H,5
78,2,5,2,M,0
79,1,8,4,M,5
79,2,4,6,M,0
80,1,3,1,H,4
80,2,9,0,M,0
81,1,9,7,H,3
81,2,3,6,M,0
82,1,6,7,M,3
82,2,7,0,M,0
83,1,7,5,M,3
83,2,0,4,M,0
84,1,2,8,M,3
84,2,8,4,M,0
85,1,2,5,M,3
85,2,4,5,M,0
86,1,9,2,M,3
86,2,8,5,M,0
87,1,4,6,M,3
87,2,7,3,M,0
88,1,4,1,H,2
88,2,3,7,M,0
89,1,5,5,M,2
89,2,2,3,M,0
90,1,0,6,M,2
90,2,3,5,M,0
91,1,6,8,M,2
91,2,9,3,M,0
92,1,9,9,H,1
92,2,1,3,M,0
93,1,0,5,M,1
93,2,9,2,M,0
94,1,6,4,H,0
94,2,9,5,M,0
