Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,8,M,17
1,2,9,2,M,17
2,1,2,4,M,17
2,2,4,8,M,17
3,1,6,4,M,17
3,2,0,1,M,17
4,1,5,2,M,17
4,2,6,5,M,17
5,1,9,8,M,17
5,2,3,6,M,17
6,1,0,0,M,17
6,2,2,3,H,16
7,1,8,8,M,17
7,2,2,2,H,15
8,1,6,0,M,17
8,2,1,3,M,15
9,1,9,7,M,17
9,2,1,2,M,15
10,1,1,1,M,17
10,2,2,1,H,14
11,1,5,7,H,16
11,2,1,1,H,13
12,1,3,1,M,16
12,2,2,4,M,13
13,1,5,6,M,16
13,2,3,3,M,13
14,1,0,1,M,16
14,2,3,1,M,13
15,1,0,6,M,16
15,2,3,2,M,13
16,1,1,2,M,16
16,2,2,0,H,12
17,1,5,9,M,16
17,2,1,0,H,11
18,1,6,6,M,16
18,2,0,0,M,11
19,1,8,0,M,16
19,2,3,0,M,11
20,1,2,7,M,16
20,2,5,8,M,11
21,1,9,5,M,16
21,2,4,1,M,11
22,1,7,6,M,16
22,2,5,7,M,11
23,1,7,1,M,16
23,2,3,4,M,11
24,1,7,2,M,16
24,2,3,8,M,11
25,1,8,5,M,16
25,2,5,2,M,11
26,1,2,5,M,16
26,2,7,6,H,10
27,1,4,7,H,15
27,2,6,6,M,10
28,1,4,5,M,15
28,2,7,7,H,9
29,1,2,6,M,15
29,2,7,8,M,9
30,1,8,1,M,15
30,2,7,5,H,8
31,1,7,5,M,15
31,2,7,4,H,7
32,1,3,5,M,15
32,2,6,7,H,6
33,1,7,9,M,15
33,2,8,7,M,6
34,1,6,2,M,15
34,2,8,4,M,6
35,1,5,4,M,15
35,2,7,3,H,5
36,1,1,8,M,15
36,2,8,6,M,5
37,1,3,8,M,15
37,2,6,8,H,4
38,1,7,4,M,15
38,2,6,3,M,4
39,1,0,5,M,15
39,2,6,9,H,3
40,1,9,6,M,15
40,2,6,4,M,3
41,1,5,8,M,15
41,2,7,2,H,2
42,1,6,1,M,15
42,2,8,5,M,2
43,1,5,5,M,15
43,2,8,3,M,2
44,1,9,1,M,15
44,2,7,9,M,2
45,1,9,0,M,15
45,2,7,1,H,1
46,1,4,4,M,15
46,2,6,2,M,1
47,1,8,7,M,15
47,2,7,0,H,0
48,1,5,0,M,15
48,2,8,2,M,0
49,1,0,9,M,15
49,2,6,1,M,0
50,1,0,3,M,15
50,2,8,0,M,0
51,1,2,0,H,14
51,2,8,1,M,0
52,1,8,6,M,14
52,2,5,9,M,0
53,1,1,9,M,14
53,2,6,0,M,0
54,1,4,1,H,13
54,2,3,7,M,0
55,1,8,4,M,13
55,2,0,3,M,0
56,1,0,2,M,13
56,2,2,8,M,0
57,1,0,4,M,13
57,2,4,7,M,0
58,1,6,5,M,13
58,2,4,6,M,0
59,1,3,2,M,13
59,2,9,3,M,0
60,1,1,7,M,13
60,2,9,1,M,0
61,1,2,3,H,12
61,2,9,6,M,0
62,1,8,9,M,12
62,2,1,9,M,0
63,1,2,1,M,12
63,2,9,9,M,0
64,1,2,9,M,12
64,2,1,7,M,0
65,1,6,7,H,11
65,2,2,9,M,0
66,1,9,3,H,10
66,2,9,5,M,0
67,1,8,2,M,10
67,2,4,3,M,0
68,1,1,0,M,10
68,2,5,5,M,0
69,1,1,4,M,10
69,2,3,5,M,0
70,1,3,7,H,9
70,2,0,6,M,0
71,1,3,9,M,9
71,2,0,8,M,0
72,1,5,3,H,8
72,2,2,5,M,0
73,1,6,3,M,8
73,2,5,1,M,0
74,1,6,8,M,8
74,2,0,9,M,0
75,1,7,7,M,8
75,2,0,5,M,0
76,1,0,8,M,8
76,2,1,5,M,0
77,1,6,9,M,8
77,2,4,5,M,0
78,1,7,8,M,8
78,2,9,0,M,0
79,1,4,9,M,8
79,2,1,8,M,0
80,1,3,4,M,8
80,2,0,2,M,0
81,1,1,3,H,7
81,2,8,8,M,0
82,1,4,3,H,6
82,2,5,4,M,0
83,1,4,2,H,5
83,2,1,4,M,0
84,1,0,7,M,5
84,2,5,6,M,0
85,1,9,2,M,5
85,2,1,6,M,0
86,1,7,0,M,5
86,2,0,7,M,0
87,1,3,6,M,5
87,2,9,7,M,0
88,1,4,6,M,5
88,2,3,9,M,0
89,1,1,6,M,5
89,2,5,0,M,0
90,1,7,3,H,4
90,2,9,8,M,0
91,1,9,9,M,4
91,2,5,3,M,0
92,1,9,4,M,4
92,2,4,9,M,0
93,1,1,5,M,4
93,2,0,4,M,0
94,1,4,0,H,3
94,2,4,2,M,0
95,1,2,2,M,3
95,2,2,6,M,0
96,1,5,1,M,3
96,2,8,9,M,0
97,1,3,0,H,2
97,2,9,4,M,0
98,1,8,3,H,1
98,2,2,7,M,0
99,1,3,3,H,0
99,2,4,0,M,0
