Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,1,H,16
1,2,3,9,M,17
2,1,4,9,M,16
2,2,9,5,M,17
3,1,6,1,M,16
3,2,0,8,M,17
4,1,5,3,M,16
4,2,1,1,M,17
5,1,1,8,M,16
5,2,7,6,M,17
6,1,2,4,M,16
6,2,3,7,M,17
7,1,3,9,M,16
7,2,5,2,M,17
8,1,3,2,M,16
8,2,7,5,H,16
9,1,8,2,M,16
9,2,8,5,H,15
10,1,3,0,M,16
10,2,8,6,M,15
11,1,8,9,H,15
11,2,8,4,M,15
12,1,0,0,M,15
12,2,6,5,H,14
13,1,7,3,M,15
13,2,7,4,M,14
14,1,7,4,M,15
14,2,6,6,M,14
15,1,5,9,M,15
15,2,5,5,M,14
16,1,6,7,M,15
16,2,6,4,M,14
17,1,8,3,M,15
17,2,1,4,M,14
18,1,9,5,H,14
18,2,6,2,H,13
19,1,1,6,M,14
19,2,6,3,M,13
20,1,4,0,M,14
20,2,7,2,H,12
21,1,5,5,H,13
21,2,7,1,M,12
22,1,7,2,M,13
22,2,8,2,M,12
23,1,5,6,H,12
23,2,6,1,M,12
24,1,9,2,H,11
24,2,7,3,M,12
25,1,3,1,M,11
25,2,0,4,M,12
26,1,3,6,M,11
26,2,8,3,M,12
27,1,0,5,M,11
27,2,8,9,M,12
28,1,0,8,H,10
28,2,9,2,M,12
29,1,3,7,M,10
29,2,9,8,M,12
30,1,3,3,M,10
30,2,0,6,M,12
31,1,1,1,M,10
31,2,0,5,M,12
32,1,0,7,H,9
32,2,5,8,H,11
33,1,9,9,M,9
33,2,4,8,H,10
34,1,2,2,H,8
34,2,5,7,M,10
35,1,9,1,H,7
35,2,6,8,M,10
36,1,6,6,M,7
36,2,3,8,H,9
37,1,1,0,M,7
37,2,2,8,H,8
38,1,0,3,M,7
38,2,2,7,M,8
39,1,4,4,M,7
39,2,5,9,M,8
40,1,7,0,M,7
40,2,4,7,M,8
41,1,1,7,M,7
41,2,1,8,H,7
42,1,5,7,H,6
42,2,2,9,M,7
43,1,0,4,M,6
43,2,1,9,M,7
44,1,4,6,M,6
44,2,4,9,M,7
45,1,4,7,M,6
45,2,1,7,M,7
46,1,7,7,M,6
46,2,2,3,H,6
47,1,5,1,M,6
47,2,1,3,H,5
48,1,5,0,M,6
48,2,0,3,H,4
49,1,4,1,M,6
49,2,3,3,M,4
50,1,0,9,M,6
50,2,2,2,M,4
51,1,2,3,H,5
51,2,2,4,M,4
52,1,0,1,M,5
52,2,0,2,M,4
53,1,9,4,H,4
53,2,1,2,M,4
54,1,8,5,M,4
54,2,2,6,M,4
55,1,6,9,M,4
55,2,5,1,M,4
56,1,4,5,M,4
56,2,8,7,M,4
57,1,2,7,M,4
57,2,2,5,M,4
58,1,7,9,M,4
58,2,0,9,M,4
59,1,8,0,M,4
59,2,4,0,H,3
60,1,0,2,M,4
60,2,5,0,M,3
61,1,1,5,M,4
61,2,4,1,M,3
62,1,4,8,M,4
62,2,3,0,H,2
63,1,6,4,M,4
63,2,2,0,H,1
64,1,9,0,M,4
64,2,2,1,M,1
65,1,5,2,M,4
65,2,1,0,H,0
66,1,7,8,M,4
66,2,0,0,M,0
67,1,8,8,H,3
67,2,3,1,M,0
68,1,5,4,M,3
68,2,9,7,M,0
69,1,8,6,M,3
69,2,7,9,M,0
70,1,7,1,M,3
70,2,4,6,M,0
71,1,3,5,M,3
71,2,6,7,M,0
72,1,1,2,M,3
72,2,6,0,M,0
73,1,7,6,M,3
73,2,9,6,M,0
74,1,1,3,M,3
74,2,1,5,M,0
75,1,2,9,M,3
75,2,3,2,M,0
76,1,4,3,M,3
76,2,5,3,M,0
77,1,0,6,M,3
77,2,9,9,M,0
78,1,5,8,M,3
78,2,9,0,M,0
79,1,2,8,M,3
79,2,3,5,M,0
80,1,3,8,M,3
80,2,8,8,M,0
81,1,9,8,M,3
81,2,7,0,M,0
82,1,3,4,M,3
82,2,7,7,M,0
83,1,1,9,M,3
83,2,5,6,M,0
84,1,6,0,M,3
84,2,4,2,M,0
85,1,4,2,M,3
85,2,9,1,M,0
86,1,2,6,M,3
86,2,1,6,M,0
87,1,2,5,M,3
87,2,6,9,M,0
88,1,9,3,H,2
88,2,4,3,M,0
89,1,8,7,H,1
89,2,0,7,M,0
90,1,1,4,M,1
90,2,7,8,M,0
91,1,2,0,H,0
91,2,9,3,M,0
