Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,5,M,17
1,2,9,0,M,17
2,1,8,8,M,17
2,2,5,6,M,17
3,1,6,4,M,17
3,2,4,2,M,17
4,1,7,3,M,17
4,2,2,6,M,17
5,1,8,3,H,16
5,2,2,5,M,17
6,1,5,4,M,16
6,2,3,4,M,17
7,1,5,0,M,16
7,2,7,9,M,17
8,1,2,9,M,16
8,2,6,4,M,17
9,1,5,3,M,16
9,2,4,7,M,17
10,1,3,8,M,16
10,2,1,5,H,16
11,1,3,4,H,15
11,2,0,5,M,16
12,1,6,8,M,15
12,2,1,4,H,15
13,1,6,7,H,14
13,2,1,3,H,14
14,1,0,3,M,14
14,2,1,6,H,13
15,1,9,9,M,14
15,2,2,4,M,13
16,1,7,0,M,14
16,2,0,6,M,13
17,1,3,5,M,14
17,2,0,3,M,13
18,1,6,3,M,14
18,2,1,7,H,12
19,1,1,4,H,13
19,2,1,2,H,11
20,1,1,5,M,13
20,2,0,7,M,11
21,1,3,1,M,13
21,2,2,3,M,11
22,1,2,0,M,13
22,2,0,4,M,11
23,1,6,2,M,13
23,2,1,1,M,11
24,1,8,2,H,12
24,2,1,8,H,10
25,1,9,2,M,12
25,2,2,8,M,10
26,1,5,6,M,12
26,2,2,7,M,10
27,1,9,4,M,12
27,2,0,2,M,10
28,1,1,0,H,11
28,2,2,2,M,10
29,1,0,4,M,11
29,2,1,9,H,9
30,1,2,2,M,11
30,2,0,9,M,9
31,1,3,2,M,11
31,2,0,8,M,9
32,1,0,0,M,11
32,2,2,9,M,9
33,1,3,6,M,11
33,2,2,1,M,9
34,1,6,9,M,11
34,2,3,9,M,9
35,1,6,6,M,11
35,2,8,3,M,9
36,1,4,9,M,11
36,2,6,5,M,9
37,1,8,4,H,10
37,2,7,8,H,8
38,1,0,2,M,10
38,2,8,8,M,8
39,1,2,1,M,10
39,2,6,8,M,8
40,1,4,2,M,10
40,2,7,7,H,7
41,1,7,8,M,10
41,2,7,6,H,6
42,1,4,7,H,9
42,2,8,7,M,6
43,1,0,5,M,9
43,2,8,6,M,6
44,1,6,1,M,9
44,2,6,6,M,6
45,1,5,7,H,8
45,2,7,5,H,5
46,1,7,6,M,8
46,2,7,4,M,5
47,1,6,0,M,8
47,2,8,5,M,5
48,1,9,7,M,8
48,2,6,7,M,5
49,1,4,3,M,8
49,2,3,3,M,5
50,1,7,9,M,8
50,2,5,5,M,5
51,1,0,9,M,8
51,2,3,0,M,5
52,1,9,3,M,8
52,2,5,1,M,5
53,1,8,7,M,8
53,2,9,1,M,5
54,1,0,8,M,8
54,2,8,2,M,5
55,1,8,1,M,8
55,2,7,3,M,5
56,1,8,5,H,7
56,2,4,0,M,5
57,1,1,6,M,7
57,2,9,6,M,5
58,1,7,2,M,7
58,2,3,6,M,5
59,1,4,4,M,7
59,2,0,0,M,5
60,1,3,0,M,7
60,2,8,9,M,5
61,1,9,6,M,7
61,2,3,8,M,5
62,1,0,7,M,7
62,2,1,0,M,5
63,1,1,9,M,7
63,2,2,0,M,5
64,1,2,4,H,6
64,2,6,9,M,5
65,1,1,8,M,6
65,2,9,2,M,5
66,1,5,8,M,6
66,2,9,7,M,5
67,1,7,4,M,6
67,2,4,5,H,4
68,1,4,6,M,6
68,2,4,4,H,3
69,1,7,7,M,6
69,2,5,4,M,3
70,1,1,2,H,5
70,2,4,6,M,3
71,1,4,5,M,5
71,2,3,5,M,3
72,1,1,1,H,4
72,2,4,3,H,2
73,1,9,1,M,4
73,2,5,3,M,2
74,1,2,5,M,4
74,2,4,9,M,2
75,1,3,7,H,3
75,2,9,8,M,2
76,1,3,9,M,3
76,2,5,9,H,1
77,1,0,6,M,3
77,2,5,8,H,0
78,1,1,3,M,3
78,2,4,8,M,0
79,1,9,8,M,3
79,2,5,7,M,0
80,1,5,9,M,3
80,2,8,4,M,0
81,1,4,8,M,3
81,2,3,2,M,0
82,1,1,7,M,3
82,2,6,0,M,0
83,1,2,7,M,3
83,2,9,5,M,0
84,1,5,1,M,3
84,2,6,1,M,0
85,1,5,2,M,3
85,2,8,0,M,0
86,1,9,5,M,3
86,2,0,1,M,0
87,1,9,0,M,3
87,2,8,1,M,0
88,1,2,6,M,3
88,2,7,2,M,0
89,1,6,5,M,3
89,2,3,1,M,0
90,1,7,1,M,3
90,2,9,3,M,0
91,1,4,1,M,3
91,2,9,4,M,0
92,1,0,1,M,3
92,2,5,2,M,0
93,1,2,8,M,3
93,2,6,2,M,0
94,1,4,0,M,3
94,2,5,0,M,0
95,1,5,5,M,3
95,2,4,1,M,0
96,1,8,9,M,3
96,2,9,9,M,0
97,1,8,0,M,3
97,2,7,0,M,0
98,1,2,3,H,2
98,2,3,7,M,0
99,1,8,6,H,1
99,2,7,1,M,0
100,1,3,3,H,0
100,2,6,3,M,0
