Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,2,M,17
1,2,9,9,M,17
2,1,7,5,M,17
2,2,8,5,M,17
3,1,9,4,M,17
3,2,2,4,M,17
4,1,6,5,M,17
4,2,1,5,H,16
5,1,5,9,M,17
5,2,1,6,M,16
6,1,2,1,H,16
6,2,2,5,M,16
7,1,3,1,H,15
7,2,1,4,H,15
8,1,5,3,M,15
8,2,1,3,H,14
9,1,7,4,M,15
9,2,0,5,M,14
10,1,6,8,M,15
10,2,0,4,M,14
11,1,8,4,M,15
11,2,2,3,M,14
12,1,0,5,M,15
12,2,0,3,M,14
13,1,4,5,M,15
13,2,1,2,H,13
14,1,0,3,M,15
14,2,1,1,H,12
15,1,7,1,M,15
15,2,2,2,M,12
16,1,2,6,H,14
16,2,1,0,M,12
17,1,1,9,M,14
17,2,0,1,M,12
18,1,4,6,H,13
18,2,2,1,M,12
19,1,7,0,M,13
19,2,0,2,M,12
20,1,9,7,M,13
20,2,4,6,M,12
21,1,5,2,M,13
21,2,6,5,M,12
22,1,7,8,M,13
22,2,3,8,H,11
23,1,3,8,M,13
23,2,2,8,H,10
24,1,3,0,M,13
24,2,4,8,H,9
25,1,4,7,M,13
25,2,2,9,M,9
26,1,1,8,M,13
26,2,3,9,M,9
27,1,6,9,M,13
27,2,1,8,M,9
28,1,1,2,M,13
28,2,2,7,M,9
29,1,7,6,M,13
29,2,3,7,H,8
30,1,2,5,M,13
30,2,4,7,M,8
31,1,8,9,M,13
31,2,3,6,H,7
32,1,2,0,M,13
32,2,4,9,M,7
33,1,4,9,M,13
33,2,3,5,H,6
34,1,5,7,H,12
34,2,2,6,M,6
35,1,2,3,M,12
35,2,4,5,M,6
36,1,5,1,M,12
36,2,5,8,M,6
37,1,3,7,M,12
37,2,3,4,H,5
38,1,2,9,M,12
38,2,3,3,M,5
39,1,8,7,M,12
39,2,4,4,M,5
40,1,0,1,M,12
40,2,6,1,H,4
41,1,0,2,M,12
41,2,5,1,H,3
42,1,7,9,M,12
42,2,5,0,M,3
43,1,8,8,M,12
43,2,6,2,M,3
44,1,1,4,M,12
44,2,5,2,M,3
45,1,0,8,M,12
45,2,7,1,H,2
46,1,8,3,H,11
46,2,4,1,H,1
47,1,8,1,M,11
47,2,7,2,M,1
48,1,5,0,M,11
48,2,7,0,M,1
49,1,8,6,M,11
49,2,3,1,H,0
50,1,1,1,M,11
50,2,3,2,M,0
51,1,9,8,M,11
51,2,6,0,M,0
52,1,1,6,H,10
52,2,3,0,M,0
53,1,5,8,H,9
53,2,8,1,M,0
54,1,4,2,M,9
54,2,4,2,M,0
55,1,6,3,M,9
55,2,4,0,M,0
56,1,1,3,M,9
56,2,1,9,M,0
57,1,5,6,H,8
57,2,9,3,M,0
58,1,3,6,H,7
58,2,8,3,M,0
59,1,7,2,M,7
59,2,0,9,M,0
60,1,5,4,H,6
60,2,5,7,M,0
61,1,9,0,M,6
61,2,9,7,M,0
62,1,8,5,M,6
62,2,0,6,M,0
63,1,2,4,M,6
63,2,8,4,M,0
64,1,0,7,M,6
64,2,6,7,M,0
65,1,9,5,M,6
65,2,2,0,M,0
66,1,8,2,M,6
66,2,6,4,M,0
67,1,9,6,M,6
67,2,6,3,M,0
68,1,9,3,H,5
68,2,0,8,M,0
69,1,0,0,M,5
69,2,6,6,M,0
70,1,0,4,M,5
70,2,9,0,M,0
71,1,2,2,M,5
71,2,0,7,M,0
72,1,0,9,M,5
72,2,8,0,M,0
73,1,2,8,H,4
73,2,8,6,M,0
74,1,2,7,H,3
74,2,9,6,M,0
75,1,5,5,H,2
75,2,6,9,M,0
76,1,9,1,M,2
76,2,7,8,M,0
77,1,8,0,M,2
77,2,5,6,M,0
78,1,4,4,M,2
78,2,5,3,M,0
79,1,4,3,M,2
79,2,7,4,M,0
80,1,4,1,H,1
80,2,4,3,M,0
81,1,4,8,M,1
81,2,9,8,M,0
82,1,7,3,H,0
82,2,5,4,M,0
