Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,6,M,17
1,2,3,9,H,16
2,1,8,9,M,17
2,2,2,9,H,15
3,1,9,7,M,17
3,2,3,8,M,15
4,1,0,5,M,17
4,2,2,8,M,15
5,1,6,3,M,17
5,2,1,9,H,14
6,1,0,3,M,17
6,2,1,8,M,14
7,1,3,2,M,17
7,2,0,9,M,14
8,1,2,6,M,17
8,2,4,9,M,14
9,1,0,1,M,17
9,2,8,9,M,14
10,1,8,3,M,17
10,2,7,9,M,14
11,1,0,4,M,17
11,2,1,6,M,14
12,1,4,0,M,17
12,2,3,0,M,14
13,1,9,5,M,17
13,2,8,1,M,14
14,1,9,4,M,17
14,2,6,0,M,14
15,1,4,1,H,16
15,2,9,4,M,14
16,1,8,0,H,15
16,2,5,4,M,14
17,1,6,4,M,15
17,2,0,1,M,14
18,1,0,9,M,15
18,2,6,4,M,14
19,1,7,8,M,15
19,2,9,6,M,14
20,1,3,1,H,14
20,2,7,2,M,14
21,1,2,0,M,14
21,2,4,3,M,14
22,1,0,0,M,14
22,2,3,5,M,14
23,1,8,7,M,14
23,2,3,6,H,13
24,1,0,8,M,14
24,2,3,7,M,13
25,1,7,3,M,14
25,2,4,6,H,12
26,1,9,0,M,14
26,2,4,5,M,12
27,1,3,7,M,14
27,2,4,7,M,12
28,1,2,2,M,14
28,2,5,6,H,11
29,1,6,1,H,13
29,2,6,6,H,10
30,1,0,6,M,13
30,2,6,7,H,9
31,1,2,5,M,13
31,2,5,5,M,9
32,1,1,5,M,13
32,2,7,6,M,9
33,1,6,7,M,13
33,2,2,6,H,8
34,1,3,6,M,13
34,2,6,5,M,8
35,1,2,1,M,13
35,2,7,7,H,7
36,1,5,0,M,13
36,2,7,8,M,7
37,1,4,7,M,13
37,2,5,7,H,6
38,1,5,8,M,13
38,2,6,8,M,6
39,1,3,3,M,13
39,2,8,7,H,5
40,1,4,9,M,13
40,2,2,5,M,5
41,1,7,2,M,13
41,2,5,8,M,5
42,1,4,2,M,13
42,2,2,7,M,5
43,1,7,4,M,13
43,2,8,8,M,5
44,1,1,6,M,13
44,2,9,7,M,5
45,1,2,7,M,13
45,2,8,6,M,5
46,1,4,8,M,13
46,2,9,0,M,5
47,1,1,2,H,12
47,2,6,9,M,5
48,1,2,4,M,12
48,2,0,8,M,5
49,1,8,6,M,12
49,2,4,0,M,5
50,1,5,2,M,12
50,2,5,1,M,5
51,1,9,2,M,12
51,2,1,5,M,5
52,1,9,3,M,12
52,2,6,3,M,5
53,1,1,0,H,11
53,2,5,9,M,5
54,1,2,9,M,11
54,2,9,1,M,5
55,1,8,5,M,11
55,2,4,2,M,5
56,1,1,7,M,11
56,2,7,3,M,5
57,1,5,9,H,10
57,2,0,2,M,5
58,1,3,9,M,10
58,2,1,0,M,5
59,1,4,3,M,10
59,2,9,5,M,5
60,1,2,8,M,10
60,2,7,5,M,5
61,1,5,4,M,10
61,2,2,4,M,5
62,1,7,6,M,10
62,2,2,1,M,5
63,1,6,5,H,9
63,2,7,4,M,5
64,1,3,5,M,9
64,2,4,8,M,5
65,1,9,1,M,9
65,2,7,1,M,5
66,1,5,6,M,9
66,2,8,3,M,5
67,1,7,5,H,8
67,2,3,1,M,5
68,1,6,0,M,8
68,2,8,0,M,5
69,1,1,1,H,7
69,2,5,3,M,5
70,1,4,5,M,7
70,2,0,4,M,5
71,1,7,0,H,6
71,2,5,2,M,5
72,1,2,3,M,6
72,2,2,3,M,5
73,1,3,4,M,6
73,2,1,2,M,5
74,1,5,7,M,6
74,2,5,0,M,5
75,1,8,8,M,6
75,2,0,5,H,4
76,1,6,6,M,6
76,2,0,6,H,3
77,1,8,2,M,6
77,2,0,7,H,2
78,1,3,0,M,6
78,2,1,7,M,2
79,1,9,6,M,6
79,2,4,1,M,2
80,1,1,9,M,6
80,2,4,4,M,2
81,1,1,4,H,5
81,2,3,3,H,1
82,1,8,1,M,5
82,2,3,4,H,0
83,1,7,9,H,4
83,2,3,2,M,0
84,1,1,3,H,3
84,2,8,2,M,0
85,1,5,5,H,2
85,2,8,4,M,0
86,1,7,1,M,2
86,2,8,5,M,0
87,1,1,8,M,2
87,2,1,3,M,0
88,1,6,9,H,1
88,2,9,3,M,0
89,1,9,9,M,1
89,2,1,1,M,0
90,1,0,7,M,1
90,2,9,9,M,0
91,1,4,4,M,1
91,2,0,0,M,0
92,1,7,7,M,1
92,2,2,0,M,0
93,1,5,3,M,1
93,2,6,1,M,0
94,1,3,8,M,1
94,2,7,0,M,0
95,1,0,2,M,1
95,2,9,8,M,0
96,1,9,8,M,1
96,2,2,2,M,0
97,1,6,8,M,1
97,2,1,4,M,0
98,1,6,2,M,1
98,2,0,3,M,0
99,1,5,1,H,0
99,2,9,2,M,0
