Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,7,M,17
1,2,4,1,M,17
2,1,9,7,M,17
2,2,4,7,M,17
3,1,6,2,M,17
3,2,3,9,H,16
4,1,6,1,M,17
4,2,4,9,H,15
5,1,4,7,M,17
5,2,4,8,H,14
6,1,5,6,M,17
6,2,5,9,M,14
7,1,4,5,H,16
7,2,3,8,H,13
8,1,5,5,M,16
8,2,2,8,H,12
9,1,3,5,H,15
9,2,3,7,H,11
10,1,3,4,M,15
10,2,5,8,M,11
11,1,4,4,M,15
11,2,3,6,M,11
12,1,2,5,H,14
12,2,2,9,H,10
13,1,2,4,M,14
13,2,1,9,H,9
14,1,2,6,M,14
14,2,0,9,H,8
15,1,1,5,H,13
15,2,2,7,H,7
16,1,1,4,M,13
16,2,2,6,M,7
17,1,3,6,M,13
17,2,1,8,H,6
18,1,4,6,M,13
18,2,0,8,M,6
19,1,1,6,M,13
19,2,1,7,H,5
20,1,0,5,M,13
20,2,1,6,M,5
21,1,3,1,M,13
21,2,0,7,M,5
22,1,1,9,M,13
22,2,3,5,H,4
23,1,4,8,M,13
23,2,2,5,H,3
24,1,3,8,M,13
24,2,4,5,H,2
25,1,8,7,M,13
25,2,4,6,M,2
26,1,2,8,H,12
26,2,1,5,M,2
27,1,2,7,H,11
27,2,4,4,M,2
28,1,3,7,M,11
28,2,2,4,M,2
29,1,2,9,H,10
29,2,3,4,M,2
30,1,1,8,M,10
30,2,5,5,M,2
31,1,3,9,M,10
31,2,9,7,M,2
32,1,1,7,M,10
32,2,9,6,M,2
33,1,7,2,M,10
33,2,5,6,M,2
34,1,7,7,M,10
34,2,6,8,M,2
35,1,6,6,M,10
35,2,5,4,M,2
36,1,9,2,H,9
36,2,9,3,M,2
37,1,9,3,H,8
37,2,1,4,M,2
38,1,8,2,M,8
38,2,0,0,M,2
39,1,8,3,M,8
39,2,8,0,M,2
40,1,9,4,H,7
40,2,5,1,H,1
41,1,9,1,M,7
41,2,5,0,M,1
42,1,9,5,H,6
42,2,6,1,M,1
43,1,8,4,H,5
43,2,5,2,H,0
44,1,7,4,M,5
44,2,4,2,M,0
45,1,9,6,H,4
45,2,5,3,M,0
46,1,8,5,H,3
46,2,6,2,M,0
47,1,7,5,M,3
47,2,9,0,M,0
48,1,8,6,H,2
48,2,0,6,M,0
49,1,7,6,M,2
49,2,3,2,M,0
50,1,6,5,M,2
50,2,3,0,M,0
51,1,1,1,M,2
51,2,3,3,M,0
52,1,0,8,M,2
52,2,7,3,M,0
53,1,9,9,M,2
53,2,7,7,M,0
54,1,8,9,H,1
54,2,2,0,M,0
55,1,7,9,H,0
55,2,9,1,M,0
