Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,8,M,17
1,2,6,1,M,17
2,1,0,4,M,17
2,2,7,2,H,16
3,1,6,9,H,16
3,2,7,1,M,16
4,1,6,8,M,16
4,2,6,2,M,16
5,1,7,9,M,16
5,2,7,3,H,15
6,1,5,9,H,15
6,2,7,4,M,15
7,1,5,8,M,15
7,2,8,2,H,14
8,1,4,9,H,14
8,2,8,3,M,14
9,1,4,8,M,14
9,2,8,1,M,14
10,1,3,9,H,13
10,2,6,3,H,13
11,1,3,8,M,13
11,2,5,3,H,12
12,1,2,9,M,13
12,2,4,3,M,12
13,1,5,2,M,13
13,2,6,4,M,12
14,1,8,4,M,13
14,2,9,2,M,12
15,1,6,5,M,13
15,2,5,4,M,12
16,1,0,6,M,13
16,2,5,2,M,12
17,1,0,1,M,13
17,2,5,7,H,11
18,1,7,7,H,12
18,2,5,8,M,11
19,1,6,7,H,11
19,2,4,7,H,10
20,1,8,7,M,11
20,2,4,6,M,10
21,1,7,6,M,11
21,2,6,7,H,9
22,1,6,6,M,11
22,2,6,8,M,9
23,1,5,7,H,10
23,2,6,6,H,8
24,1,5,6,H,9
24,2,3,7,H,7
25,1,4,7,M,9
25,2,2,7,M,7
26,1,5,5,H,8
26,2,5,6,M,7
27,1,5,4,M,8
27,2,4,8,M,7
28,1,4,5,M,8
28,2,3,8,M,7
29,1,4,6,M,8
29,2,3,6,M,7
30,1,0,7,M,8
30,2,7,6,H,6
31,1,6,4,M,8
31,2,6,5,M,6
32,1,9,0,M,8
32,2,8,6,H,5
33,1,7,4,M,8
33,2,9,6,M,5
34,1,1,1,H,7
34,2,8,5,M,5
35,1,1,2,M,7
35,2,7,5,M,5
36,1,1,0,M,7
36,2,8,7,M,5
37,1,2,1,H,6
37,2,7,7,H,4
38,1,2,2,M,6
38,2,7,8,M,4
39,1,2,0,M,6
39,2,9,1,M,4
40,1,3,1,H,5
40,2,4,5,M,4
41,1,3,2,M,5
41,2,0,5,M,4
42,1,3,0,M,5
42,2,3,5,M,4
43,1,4,1,H,4
43,2,1,8,M,4
44,1,4,0,M,4
44,2,7,9,M,4
45,1,4,2,M,4
45,2,1,2,M,4
46,1,5,1,H,3
46,2,6,0,M,4
47,1,5,0,M,3
47,2,1,0,M,4
48,1,6,1,M,3
48,2,9,4,M,4
49,1,1,7,M,3
49,2,0,3,M,4
50,1,1,4,M,3
50,2,0,2,M,4
51,1,0,3,M,3
51,2,3,2,M,4
52,1,3,4,M,3
52,2,1,6,M,4
53,1,3,3,M,3
53,2,1,3,M,4
54,1,7,3,M,3
54,2,0,9,M,4
55,1,0,0,M,3
55,2,2,8,M,4
56,1,7,1,M,3
56,2,5,5,M,4
57,1,6,3,M,3
57,2,1,7,M,4
58,1,8,5,M,3
58,2,4,1,M,4
59,1,8,8,M,3
59,2,1,4,H,3
60,1,2,4,H,2
60,2,0,4,M,3
61,1,2,3,M,2
61,2,1,5,M,3
62,1,2,5,H,1
62,2,2,4,H,2
63,1,3,5,M,1
63,2,2,5,M,2
64,1,1,5,M,1
64,2,2,3,M,2
65,1,2,6,H,0
65,2,3,4,H,1
66,1,1,6,M,0
66,2,3,3,M,1
67,1,3,6,M,0
67,2,4,4,H,0
