Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,6,M,17
1,2,5,5,M,17
2,1,3,1,M,17
2,2,2,9,M,17
3,1,6,6,M,17
3,2,2,5,M,17
4,1,4,8,M,17
4,2,5,3,M,17
5,1,6,3,M,17
5,2,4,4,M,17
6,1,4,7,M,17
6,2,7,8,M,17
7,1,1,8,M,17
7,2,0,9,M,17
8,1,8,0,M,17
8,2,0,8,H,16
9,1,1,5,M,17
9,2,0,7,M,16
10,1,5,4,M,17
10,2,1,8,H,15
11,1,2,7,M,17
11,2,2,8,M,15
12,1,5,0,M,17
12,2,1,7,M,15
13,1,6,2,M,17
13,2,1,9,M,15
14,1,7,2,H,16
14,2,0,4,M,15
15,1,7,3,H,15
15,2,9,4,M,15
16,1,8,3,M,15
16,2,8,2,H,14
17,1,7,1,M,15
17,2,9,2,M,14
18,1,8,2,M,15
18,2,8,3,M,14
19,1,7,4,H,14
19,2,8,1,H,13
20,1,8,4,M,14
20,2,7,1,M,13
21,1,7,5,M,14
21,2,9,1,M,13
22,1,6,4,M,14
22,2,7,2,H,12
23,1,9,0,M,14
23,2,6,2,H,11
24,1,8,8,M,14
24,2,7,3,H,10
25,1,5,8,M,14
25,2,8,0,H,9
26,1,0,4,M,14
26,2,7,4,H,8
27,1,8,7,M,14
27,2,6,4,M,8
28,1,9,6,H,13
28,2,9,0,M,8
29,1,8,6,M,13
29,2,5,2,H,7
30,1,9,5,M,13
30,2,4,2,H,6
31,1,9,7,H,12
31,2,7,5,H,5
32,1,9,8,H,11
32,2,5,1,M,5
33,1,9,9,H,10
33,2,6,3,M,5
34,1,8,9,M,10
34,2,8,4,M,5
35,1,2,4,M,10
35,2,8,5,M,5
36,1,4,0,H,9
36,2,4,3,M,5
37,1,4,1,M,9
37,2,3,2,H,4
38,1,3,0,H,8
38,2,3,3,M,4
39,1,2,0,H,7
39,2,4,1,M,4
40,1,2,1,M,7
40,2,7,6,H,3
41,1,1,0,M,7
41,2,6,5,M,3
42,1,5,1,M,7
42,2,7,0,M,3
43,1,5,3,H,6
43,2,6,1,M,3
44,1,4,3,H,5
44,2,7,7,M,3
45,1,4,4,M,5
45,2,2,2,M,3
46,1,5,2,M,5
46,2,8,6,M,3
47,1,3,3,H,4
47,2,6,6,M,3
48,1,3,4,M,4
48,2,3,1,M,3
49,1,2,3,H,3
49,2,1,5,M,3
50,1,1,3,H,2
50,2,8,7,M,3
51,1,0,3,M,2
51,2,2,4,M,3
52,1,4,2,M,2
52,2,4,0,M,3
53,1,1,4,M,2
53,2,3,9,M,3
54,1,2,2,M,2
54,2,2,1,M,3
55,1,3,2,M,2
55,2,5,6,M,3
56,1,1,2,M,2
56,2,1,1,M,3
57,1,9,3,H,1
57,2,6,8,M,3
58,1,9,4,H,0
58,2,9,3,M,3
59,1,9,2,M,0
59,2,1,0,M,3
60,1,6,9,M,0
60,2,7,9,M,3
61,1,1,1,M,0
61,2,0,3,M,3
62,1,3,9,M,0
62,2,4,8,M,3
63,1,8,1,M,0
63,2,1,3,M,3
64,1,6,8,M,0
64,2,1,4,M,3
65,1,1,9,M,0
65,2,9,8,M,3
66,1,3,5,M,0
66,2,0,2,M,3
67,1,7,0,M,0
67,2,0,5,M,3
68,1,6,7,M,0
68,2,3,5,M,3
69,1,8,5,M,0
69,2,9,7,M,3
70,1,4,9,M,0
70,2,4,5,H,2
71,1,6,1,M,0
71,2,4,6,H,1
72,1,0,8,M,0
72,2,3,6,M,1
73,1,7,6,M,0
73,2,4,7,H,0
