Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,3,M,17
1,2,8,3,M,17
2,1,6,9,M,17
2,2,7,0,M,17
3,1,1,6,M,17
3,2,3,2,M,17
4,1,9,4,H,16
4,2,6,4,M,17
5,1,8,4,H,15
5,2,4,5,M,17
6,1,8,5,M,15
6,2,8,4,H,16
7,1,8,3,M,15
7,2,9,4,H,15
8,1,9,5,M,15
8,2,9,5,H,14
9,1,7,4,H,14
9,2,9,6,H,13
10,1,7,3,H,13
10,2,8,5,H,12
11,1,7,5,H,12
11,2,7,5,M,12
12,1,6,4,H,11
12,2,9,7,M,12
13,1,6,5,H,10
13,2,8,6,H,11
14,1,5,4,M,10
14,2,7,6,M,11
15,1,6,3,H,9
15,2,7,4,M,11
16,1,7,2,M,9
16,2,9,3,H,10
17,1,6,2,M,9
17,2,9,2,H,9
18,1,5,5,M,9
18,2,8,2,M,9
19,1,6,6,M,9
19,2,8,7,H,8
20,1,9,3,M,9
20,2,7,7,M,8
21,1,7,6,H,8
21,2,8,8,M,8
22,1,7,7,H,7
22,2,9,1,M,8
23,1,5,3,M,7
23,2,6,7,M,8
24,1,8,7,M,7
24,2,5,5,M,8
25,1,6,7,M,7
25,2,4,4,M,8
26,1,7,8,M,7
26,2,5,9,M,8
27,1,8,6,M,7
27,2,6,0,M,8
28,1,8,2,M,7
28,2,8,0,M,8
29,1,4,9,M,7
29,2,7,2,M,8
30,1,2,4,M,7
30,2,6,5,M,8
31,1,6,0,M,7
31,2,4,6,M,8
32,1,6,1,M,7
32,2,4,7,H,7
33,1,8,1,M,7
33,2,5,7,H,6
34,1,9,7,M,7
34,2,3,7,H,5
35,1,2,6,M,7
35,2,5,8,M,5
36,1,5,2,M,7
36,2,2,7,M,5
37,1,2,5,M,7
37,2,5,6,M,5
38,1,3,2,M,7
38,2,3,6,M,5
39,1,0,3,M,7
39,2,3,8,M,5
40,1,1,1,M,7
40,2,4,8,M,5
41,1,0,8,H,6
41,2,0,0,M,5
42,1,0,9,M,6
42,2,1,7,M,5
43,1,1,8,M,6
43,2,2,9,M,5
44,1,0,7,H,5
44,2,6,3,M,5
45,1,0,6,H,4
45,2,1,4,M,5
46,1,1,7,M,4
46,2,0,7,M,5
47,1,0,5,H,3
47,2,3,5,H,4
48,1,0,4,M,3
48,2,3,4,M,4
49,1,1,5,M,3
49,2,2,5,H,3
50,1,4,3,M,3
50,2,2,6,M,3
51,1,1,4,M,3
51,2,2,4,M,3
52,1,5,0,M,3
52,2,1,5,M,3
53,1,5,1,M,3
53,2,1,0,M,3
54,1,0,1,M,3
54,2,9,8,M,3
55,1,4,4,M,3
55,2,3,0,M,3
56,1,7,9,M,3
56,2,6,1,M,3
57,1,0,0,M,3
57,2,0,1,M,3
58,1,9,6,M,3
58,2,0,4,M,3
59,1,2,9,M,3
59,2,6,8,M,3
60,1,1,9,M,3
60,2,5,1,M,3
61,1,3,5,M,3
61,2,2,3,M,3
62,1,2,3,M,3
62,2,0,9,M,3
63,1,9,1,M,3
63,2,0,6,M,3
64,1,1,2,M,3
64,2,1,8,M,3
65,1,3,0,M,3
65,2,4,9,M,3
66,1,9,0,H,2
66,2,5,3,M,3
67,1,8,0,H,1
67,2,7,3,M,3
68,1,7,0,H,0
68,2,1,1,H,2
69,1,7,1,M,0
69,2,2,1,H,1
70,1,2,0,M,0
70,2,2,2,M,1
71,1,3,9,M,0
71,2,2,0,M,1
72,1,5,8,M,0
72,2,1,2,M,1
73,1,4,7,M,0
73,2,3,1,H,0
