Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,2,M,17
1,2,3,1,M,17
2,1,0,0,M,17
2,2,0,3,M,17
3,1,6,3,M,17
3,2,1,7,H,16
4,1,8,3,M,17
4,2,2,7,M,16
5,1,8,9,H,16
5,2,1,8,H,15
6,1,7,9,H,15
6,2,1,9,M,15
7,1,8,8,M,15
7,2,0,7,H,14
8,1,9,9,M,15
8,2,0,6,H,13
9,1,6,9,H,14
9,2,0,5,H,12
10,1,7,8,M,14
10,2,2,8,M,12
11,1,5,9,H,13
11,2,0,4,H,11
12,1,4,9,H,12
12,2,1,6,M,11
13,1,6,8,M,12
13,2,0,8,H,10
14,1,3,9,M,12
14,2,0,9,M,10
15,1,4,8,M,12
15,2,1,4,M,10
16,1,5,8,M,12
16,2,1,5,M,10
17,1,8,6,M,12
17,2,5,9,M,10
18,1,4,2,M,12
18,2,0,1,M,10
19,1,5,6,M,12
19,2,5,2,M,10
20,1,9,8,M,12
20,2,3,7,M,10
21,1,9,5,M,12
21,2,6,7,M,10
22,1,4,4,M,12
22,2,4,8,M,10
23,1,0,6,M,12
23,2,3,4,M,10
24,1,5,5,M,12
24,2,1,2,M,10
25,1,2,4,H,11
25,2,7,0,H,9
26,1,1,4,M,11
26,2,8,0,M,9
27,1,2,3,H,10
27,2,6,0,H,8
28,1,3,4,M,10
28,2,5,0,H,7
29,1,3,3,M,10
29,2,7,1,M,7
30,1,2,5,M,10
30,2,5,1,M,7
31,1,2,2,H,9
31,2,4,0,M,7
32,1,2,1,M,9
32,2,6,1,M,7
33,1,1,3,H,8
33,2,6,5,M,7
34,1,0,3,M,8
34,2,7,7,M,7
35,1,1,2,H,7
35,2,4,6,M,7
36,1,1,1,H,6
36,2,9,5,M,7
37,1,0,1,M,6
37,2,4,3,M,7
38,1,0,2,M,6
38,2,5,3,M,7
39,1,1,0,M,6
39,2,3,2,M,7
40,1,2,9,M,6
40,2,5,8,M,7
41,1,7,2,H,5
41,2,2,1,M,7
42,1,8,2,H,4
42,2,6,8,M,7
43,1,7,1,M,4
43,2,8,2,M,7
44,1,6,2,H,3
44,2,6,3,M,7
45,1,5,2,M,3
45,2,7,8,M,7
46,1,6,1,M,3
46,2,3,6,M,7
47,1,7,3,M,3
47,2,7,6,H,6
48,1,8,1,M,3
48,2,7,5,H,5
49,1,9,2,H,2
49,2,7,4,H,4
50,1,9,3,M,2
50,2,7,3,H,3
51,1,9,1,M,2
51,2,8,3,M,3
52,1,7,5,M,2
52,2,8,5,M,3
53,1,3,8,M,2
53,2,6,4,M,3
54,1,5,0,M,2
54,2,8,4,M,3
55,1,8,7,M,2
55,2,7,2,M,3
56,1,0,7,M,2
56,2,6,6,M,3
57,1,0,4,M,2
57,2,8,6,M,3
58,1,7,6,M,2
58,2,3,5,M,3
59,1,9,6,M,2
59,2,0,2,M,3
60,1,4,6,M,2
60,2,4,1,M,3
61,1,9,0,M,2
61,2,3,0,M,3
62,1,8,0,M,2
62,2,1,3,M,3
63,1,0,5,M,2
63,2,2,0,M,3
64,1,5,7,M,2
64,2,2,5,M,3
65,1,3,7,M,2
65,2,9,2,M,3
66,1,2,8,M,2
66,2,8,1,M,3
67,1,6,6,M,2
67,2,5,5,M,3
68,1,1,6,M,2
68,2,2,9,M,3
69,1,8,5,M,2
69,2,4,7,M,3
70,1,1,9,M,2
70,2,2,2,M,3
71,1,0,8,M,2
71,2,5,4,M,3
72,1,1,5,M,2
72,2,9,1,M,3
73,1,2,0,M,2
73,2,6,9,M,3
74,1,7,4,H,1
74,2,9,4,M,3
75,1,6,4,M,1
75,2,7,9,H,2
76,1,8,4,H,0
76,2,8,9,H,1
77,1,9,4,M,0
77,2,8,8,M,1
78,1,6,7,M,0
78,2,9,9,H,0
