Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,6,M,17
1,2,4,9,M,17
2,1,9,7,H,16
2,2,3,6,H,16
3,1,9,6,H,15
3,2,4,6,H,15
4,1,9,5,H,14
4,2,4,5,M,15
5,1,8,7,M,14
5,2,3,7,H,14
6,1,8,5,M,14
6,2,5,6,M,14
7,1,9,4,M,14
7,2,2,7,M,14
8,1,8,6,M,14
8,2,4,7,H,13
9,1,9,8,M,14
9,2,5,7,M,13
10,1,0,1,M,14
10,2,2,6,M,13
11,1,1,1,H,13
11,2,3,5,H,12
12,1,1,0,M,13
12,2,2,5,M,12
13,1,1,2,M,13
13,2,3,8,H,11
14,1,2,1,H,12
14,2,3,9,H,10
15,1,3,1,H,11
15,2,3,4,M,10
16,1,2,2,M,11
16,2,4,8,H,9
17,1,3,0,M,11
17,2,2,9,M,9
18,1,4,1,H,10
18,2,2,8,M,9
19,1,5,1,H,9
19,2,5,8,M,9
20,1,4,0,M,9
20,2,8,4,M,9
21,1,6,1,M,9
21,2,6,3,M,9
22,1,3,2,M,9
22,2,4,2,M,9
23,1,5,0,M,9
23,2,9,8,H,8
24,1,4,2,M,9
24,2,9,9,H,7
25,1,5,2,M,9
25,2,8,9,M,7
26,1,2,0,M,9
26,2,9,7,H,6
27,1,7,5,M,9
27,2,9,6,M,6
28,1,7,7,M,9
28,2,8,8,M,6
29,1,8,2,M,9
29,2,8,7,M,6
30,1,0,5,M,9
30,2,5,5,M,6
31,1,7,0,H,8
31,2,0,1,M,6
32,1,8,0,H,7
32,2,2,0,M,6
33,1,9,0,M,7
33,2,6,0,M,6
34,1,6,0,M,7
34,2,8,5,M,6
35,1,8,1,M,7
35,2,6,7,M,6
36,1,7,1,M,7
36,2,6,6,M,6
37,1,8,9,M,7
37,2,1,7,M,6
38,1,8,3,M,7
38,2,7,4,M,6
39,1,0,9,M,7
39,2,3,0,M,6
40,1,4,9,M,7
40,2,9,4,M,6
41,1,4,5,H,6
41,2,0,2,M,6
42,1,4,4,M,6
42,2,9,3,M,6
43,1,3,5,H,5
43,2,4,3,H,5
44,1,5,5,M,5
44,2,3,3,H,4
45,1,4,6,M,5
45,2,5,3,M,4
46,1,2,5,H,4
46,2,2,3,H,3
47,1,2,4,M,4
47,2,2,4,M,3
48,1,3,4,M,4
48,2,2,2,M,3
49,1,1,5,H,3
49,2,3,2,M,3
50,1,2,6,H,2
50,2,1,3,H,2
51,1,1,6,M,2
51,2,0,3,M,2
52,1,1,4,M,2
52,2,4,4,M,2
53,1,2,7,H,1
53,2,1,2,M,2
54,1,3,6,M,1
54,2,1,4,M,2
55,1,2,8,H,0
55,2,7,9,M,2
56,1,2,9,M,0
56,2,7,1,M,2
57,1,3,8,M,0
57,2,0,5,M,2
58,1,3,7,M,0
58,2,8,6,M,2
59,1,1,7,M,0
59,2,6,8,H,1
60,1,1,8,M,0
60,2,7,8,M,1
61,1,7,2,M,0
61,2,6,9,H,0
