Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,6,M,17
1,2,9,0,M,17
2,1,5,5,M,17
2,2,7,1,H,16
3,1,3,6,H,16
3,2,7,0,M,16
4,1,4,6,M,16
4,2,6,1,H,15
5,1,3,5,H,15
5,2,6,2,H,14
6,1,3,4,M,15
6,2,7,2,M,14
7,1,3,7,H,14
7,2,6,0,M,14
8,1,4,7,M,14
8,2,6,3,H,13
9,1,3,8,H,13
9,2,5,3,M,13
10,1,2,7,M,13
10,2,8,1,M,13
11,1,2,6,M,13
11,2,5,1,H,12
12,1,2,8,M,13
12,2,7,3,M,12
13,1,4,5,M,13
13,2,4,1,M,12
14,1,3,9,H,12
14,2,6,4,H,11
15,1,2,9,M,12
15,2,6,5,H,10
16,1,4,8,M,12
16,2,5,4,M,10
17,1,4,9,M,12
17,2,5,0,M,10
18,1,2,5,M,12
18,2,6,6,H,9
19,1,8,0,M,12
19,2,7,4,M,9
20,1,0,7,H,11
20,2,7,6,M,9
21,1,0,8,H,10
21,2,6,7,M,9
22,1,1,7,M,10
22,2,7,5,M,9
23,1,0,9,M,10
23,2,5,5,M,9
24,1,0,6,H,9
24,2,5,6,M,9
25,1,1,6,M,9
25,2,5,2,M,9
26,1,0,5,H,8
26,2,8,2,M,9
27,1,1,5,M,8
27,2,2,6,M,9
28,1,0,4,M,8
28,2,1,2,H,8
29,1,1,8,M,8
29,2,1,3,H,7
30,1,2,4,M,8
30,2,0,2,M,7
31,1,6,1,M,8
31,2,1,1,H,6
32,1,0,0,M,8
32,2,0,1,M,6
33,1,3,2,H,7
33,2,1,0,M,6
34,1,3,3,M,7
34,2,2,1,H,5
35,1,4,2,M,7
35,2,3,1,M,5
36,1,3,1,H,6
36,2,1,4,H,4
37,1,3,0,H,5
37,2,2,2,H,3
38,1,2,2,M,5
38,2,1,5,M,3
39,1,4,0,M,5
39,2,2,0,M,3
40,1,2,1,M,5
40,2,0,4,H,2
41,1,2,0,M,5
41,2,0,5,M,2
42,1,4,1,M,5
42,2,2,4,H,1
43,1,8,7,M,5
43,2,2,3,H,0
44,1,8,4,M,5
44,2,3,3,M,0
45,1,7,7,M,5
45,2,2,5,M,0
46,1,6,6,H,4
46,2,3,2,M,0
47,1,6,5,H,3
47,2,0,3,M,0
48,1,6,7,M,3
48,2,3,4,M,0
49,1,7,5,M,3
49,2,2,7,M,0
50,1,5,6,M,3
50,2,4,0,M,0
51,1,6,4,M,3
51,2,9,8,M,0
52,1,0,1,M,3
52,2,0,6,M,0
53,1,9,3,M,3
53,2,6,8,M,0
54,1,7,0,M,3
54,2,0,0,M,0
55,1,9,8,M,3
55,2,8,8,M,0
56,1,9,1,M,3
56,2,4,4,M,0
57,1,8,2,M,3
57,2,5,8,M,0
58,1,7,1,M,3
58,2,3,5,M,0
59,1,7,9,M,3
59,2,6,9,M,0
60,1,6,9,M,3
60,2,3,6,M,0
61,1,8,1,M,3
61,2,9,3,M,0
62,1,8,9,M,3
62,2,9,6,M,0
63,1,1,4,M,3
63,2,3,9,M,0
64,1,8,3,M,3
64,2,9,7,M,0
65,1,4,4,M,3
65,2,1,9,M,0
66,1,6,8,M,3
66,2,8,3,M,0
67,1,5,4,M,3
67,2,2,9,M,0
68,1,1,3,M,3
68,2,1,6,M,0
69,1,5,8,M,3
69,2,9,9,M,0
70,1,9,5,M,3
70,2,9,5,M,0
71,1,8,5,M,3
71,2,9,2,M,0
72,1,7,4,M,3
72,2,4,6,M,0
73,1,5,7,M,3
73,2,0,7,M,0
74,1,7,8,M,3
74,2,4,9,M,0
75,1,5,9,M,3
75,2,8,0,M,0
76,1,6,3,M,3
76,2,3,7,M,0
77,1,9,7,M,3
77,2,8,5,M,0
78,1,9,2,M,3
78,2,4,2,M,0
79,1,4,3,M,3
79,2,4,5,M,0
80,1,5,1,M,3
80,2,2,8,M,0
81,1,0,3,M,3
81,2,4,3,M,0
82,1,5,3,M,3
82,2,0,9,M,0
83,1,7,3,M,3
83,2,4,8,M,0
84,1,8,6,M,3
84,2,7,9,M,0
85,1,6,2,M,3
85,2,7,8,M,0
86,1,1,2,H,2
86,2,3,0,M,0
87,1,0,2,M,2
87,2,9,1,M,0
88,1,1,1,H,1
88,2,8,4,M,0
89,1,1,0,H,0
89,2,4,7,M,0
