Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,6,H,16
1,2,6,7,M,17
2,1,0,5,M,16
2,2,2,1,H,16
3,1,0,7,M,16
3,2,2,2,H,15
4,1,1,6,H,15
4,2,3,1,M,15
5,1,1,5,M,15
5,2,3,2,M,15
6,1,1,7,M,15
6,2,2,3,H,14
7,1,2,6,H,14
7,2,1,3,M,14
8,1,3,6,H,13
8,2,3,3,M,14
9,1,2,7,M,13
9,2,1,2,M,14
10,1,4,6,H,12
10,2,2,0,H,13
11,1,2,5,M,12
11,2,2,4,M,13
12,1,3,7,M,12
12,2,3,0,M,13
13,1,4,7,M,12
13,2,1,0,M,13
14,1,4,5,M,12
14,2,1,1,M,13
15,1,5,6,M,12
15,2,7,3,M,13
16,1,3,5,H,11
16,2,3,7,M,13
17,1,3,4,H,10
17,2,1,9,M,13
18,1,4,4,M,10
18,2,2,7,M,13
19,1,3,3,M,10
19,2,1,6,M,13
20,1,2,4,M,10
20,2,0,0,M,13
21,1,8,4,M,10
21,2,8,7,H,12
22,1,0,2,M,10
22,2,7,7,H,11
23,1,9,9,M,10
23,2,8,8,M,11
24,1,6,0,M,10
24,2,7,8,M,11
25,1,2,0,M,10
25,2,7,6,M,11
26,1,9,7,H,9
26,2,9,7,M,11
27,1,9,8,M,9
27,2,8,6,M,11
28,1,8,7,H,8
28,2,2,6,M,11
29,1,7,7,H,7
29,2,0,2,M,11
30,1,7,8,M,7
30,2,9,6,M,11
31,1,6,7,H,6
31,2,4,4,H,10
32,1,6,6,M,6
32,2,4,5,M,10
33,1,8,6,M,6
33,2,3,4,H,9
34,1,8,8,M,6
34,2,5,4,H,8
35,1,6,8,M,6
35,2,6,4,H,7
36,1,5,7,M,6
36,2,5,5,M,7
37,1,9,6,M,6
37,2,3,5,M,7
38,1,7,6,M,6
38,2,7,4,H,6
39,1,8,3,M,6
39,2,6,5,M,6
40,1,4,1,M,6
40,2,8,4,M,6
41,1,1,2,M,6
41,2,7,5,M,6
42,1,6,5,M,6
42,2,6,3,M,6
43,1,4,2,M,6
43,2,4,3,M,6
44,1,2,3,M,6
44,2,5,3,M,6
45,1,9,2,M,6
45,2,7,9,M,6
46,1,6,4,M,6
46,2,8,9,M,6
47,1,6,9,M,6
47,2,5,2,M,6
48,1,1,4,M,6
48,2,1,8,H,5
49,1,9,4,M,6
49,2,0,8,M,5
50,1,5,4,M,6
50,2,1,7,M,5
51,1,8,0,H,5
51,2,2,8,H,4
52,1,8,1,M,5
52,2,2,9,M,4
53,1,9,0,H,4
53,2,3,8,H,3
54,1,9,1,M,4
54,2,4,8,M,3
55,1,7,0,H,3
55,2,3,9,M,3
56,1,7,1,M,3
56,2,0,5,M,3
57,1,7,5,M,3
57,2,0,6,M,3
58,1,2,8,M,3
58,2,6,1,M,3
59,1,0,9,M,3
59,2,8,3,M,3
60,1,7,3,M,3
60,2,9,8,M,3
61,1,9,5,M,3
61,2,9,9,M,3
62,1,3,0,M,3
62,2,9,0,M,3
63,1,3,2,M,3
63,2,0,1,M,3
64,1,5,1,M,3
64,2,5,1,M,3
65,1,8,5,M,3
65,2,2,5,M,3
66,1,5,8,M,3
66,2,9,5,M,3
67,1,1,1,M,3
67,2,5,9,M,3
68,1,0,1,M,3
68,2,9,1,M,3
69,1,5,3,M,3
69,2,9,2,M,3
70,1,4,8,M,3
70,2,3,6,M,3
71,1,0,4,M,3
71,2,4,9,M,3
72,1,3,8,M,3
72,2,0,4,M,3
73,1,5,9,M,3
73,2,0,3,M,3
74,1,6,3,M,3
74,2,8,5,M,3
75,1,0,8,M,3
75,2,5,8,H,2
76,1,1,9,M,3
76,2,5,7,H,1
77,1,3,1,M,3
77,2,5,6,H,0
78,1,7,9,M,3
78,2,4,7,M,0
79,1,1,8,M,3
79,2,6,8,M,0
80,1,7,2,M,3
80,2,4,6,M,0
81,1,2,2,M,3
81,2,6,6,M,0
82,1,5,2,M,3
82,2,8,0,M,0
83,1,5,0,M,3
83,2,9,4,M,0
84,1,8,2,M,3
84,2,6,0,M,0
85,1,0,3,M,3
85,2,0,9,M,0
86,1,3,9,H,2
86,2,4,0,M,0
87,1,2,9,H,1
87,2,0,7,M,0
88,1,4,9,H,0
88,2,4,2,M,0
