Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,9,7,M,17
1,2,6,6,M,17
2,1,0,1,M,17
2,2,1,2,M,17
3,1,3,8,M,17
3,2,7,5,M,17
4,1,5,7,H,16
4,2,0,3,M,17
5,1,6,7,M,16
5,2,4,6,M,17
6,1,5,6,M,16
6,2,0,1,M,17
7,1,5,8,M,16
7,2,6,3,M,17
8,1,4,7,H,15
8,2,3,5,M,17
9,1,3,7,M,15
9,2,0,9,M,17
10,1,4,8,M,15
10,2,7,7,H,16
11,1,4,6,M,15
11,2,7,6,M,16
12,1,0,2,M,15
12,2,6,7,H,15
13,1,0,4,M,15
13,2,6,8,M,15
14,1,3,3,M,15
14,2,5,7,M,15
15,1,1,6,H,14
15,2,8,7,H,14
16,1,1,7,M,14
16,2,8,6,M,14
17,1,0,6,M,14
17,2,7,8,M,14
18,1,1,5,H,13
18,2,9,7,M,14
19,1,2,6,H,12
19,2,8,8,M,14
20,1,2,7,H,11
20,2,9,1,H,13
21,1,3,6,M,11
21,2,9,0,M,13
22,1,1,4,H,10
22,2,9,2,H,12
23,1,1,3,M,10
23,2,9,3,H,11
24,1,0,5,M,10
24,2,8,2,M,11
25,1,2,8,M,10
25,2,9,4,H,10
26,1,2,5,H,9
26,2,8,3,M,10
27,1,2,4,H,8
27,2,8,4,M,10
28,1,3,5,M,8
28,2,8,1,M,10
29,1,3,4,M,8
29,2,9,5,M,10
30,1,2,3,M,8
30,2,4,1,M,10
31,1,9,8,M,8
31,2,9,8,M,10
32,1,3,1,M,8
32,2,4,7,M,10
33,1,9,1,M,8
33,2,4,5,H,9
34,1,5,9,M,8
34,2,4,4,M,9
35,1,1,1,M,8
35,2,5,5,H,8
36,1,5,3,M,8
36,2,5,6,M,8
37,1,3,0,H,7
37,2,6,5,M,8
38,1,4,0,H,6
38,2,5,4,M,8
39,1,5,0,H,5
39,2,2,8,M,8
40,1,4,1,M,5
40,2,6,2,M,8
41,1,6,0,M,5
41,2,0,0,M,8
42,1,2,0,M,5
42,2,3,6,M,8
43,1,5,1,M,5
43,2,7,3,M,8
44,1,9,3,M,5
44,2,9,6,M,8
45,1,7,1,M,5
45,2,7,0,M,8
46,1,1,2,M,5
46,2,2,5,M,8
47,1,5,4,M,5
47,2,0,7,M,8
48,1,8,1,M,5
48,2,7,9,M,8
49,1,2,2,M,5
49,2,5,0,H,7
50,1,2,1,M,5
50,2,4,0,H,6
51,1,6,8,M,5
51,2,6,0,M,6
52,1,4,2,M,5
52,2,3,0,H,5
53,1,0,7,M,5
53,2,5,1,M,5
54,1,7,7,M,5
54,2,2,0,H,4
55,1,7,6,M,5
55,2,1,0,H,3
56,1,8,3,M,5
56,2,3,1,M,3
57,1,9,0,M,5
57,2,1,1,M,3
58,1,1,8,M,5
58,2,2,1,M,3
59,1,8,4,M,5
59,2,3,2,M,3
60,1,3,9,M,5
60,2,8,5,M,3
61,1,1,9,M,5
61,2,7,1,M,3
62,1,7,8,M,5
62,2,1,3,M,3
63,1,8,9,M,5
63,2,6,9,M,3
64,1,1,0,M,5
64,2,5,9,M,3
65,1,8,2,H,4
65,2,2,7,M,3
66,1,9,2,H,3
66,2,5,8,M,3
67,1,7,2,H,2
67,2,7,2,M,3
68,1,6,2,H,1
68,2,0,6,M,3
69,1,6,1,M,1
69,2,1,4,M,3
70,1,5,2,H,0
70,2,2,2,M,3
71,1,7,3,M,0
71,2,3,9,M,3
72,1,6,3,M,0
72,2,2,4,M,3
73,1,8,8,M,0
73,2,5,3,M,3
74,1,8,0,M,0
74,2,3,4,M,3
75,1,8,6,M,0
75,2,7,4,M,3
76,1,6,4,M,0
76,2,1,9,M,3
77,1,0,0,M,0
77,2,3,7,M,3
78,1,8,5,M,0
78,2,6,1,M,3
79,1,0,9,M,0
79,2,2,6,M,3
80,1,6,5,M,0
80,2,3,3,M,3
81,1,7,4,M,0
81,2,4,2,M,3
82,1,4,9,M,0
82,2,0,8,M,3
83,1,8,7,M,0
83,2,4,9,M,3
84,1,0,3,M,0
84,2,1,5,H,2
85,1,0,8,M,0
85,2,0,5,M,2
86,1,9,6,M,0
86,2,1,6,H,1
87,1,4,4,M,0
87,2,1,7,H,0
