Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,5,M,17
1,2,9,2,M,17
2,1,1,5,M,17
2,2,4,5,M,17
3,1,0,6,M,17
3,2,5,3,H,16
4,1,8,6,M,17
4,2,4,3,M,16
5,1,4,3,H,16
5,2,5,2,H,15
6,1,5,3,H,15
6,2,6,3,M,15
7,1,3,3,H,14
7,2,5,1,M,15
8,1,4,4,H,13
8,2,6,2,M,15
9,1,5,2,M,13
9,2,5,4,H,14
10,1,3,4,M,13
10,2,5,5,H,13
11,1,3,2,M,13
11,2,4,4,M,13
12,1,5,4,M,13
12,2,4,2,M,13
13,1,4,5,H,12
13,2,6,5,M,13
14,1,6,3,H,11
14,2,6,4,M,13
15,1,5,5,M,11
15,2,5,6,H,12
16,1,4,6,M,11
16,2,5,7,M,12
17,1,6,4,M,11
17,2,6,6,M,12
18,1,3,5,M,11
18,2,4,6,M,12
19,1,6,2,M,11
19,2,2,1,M,12
20,1,4,2,M,11
20,2,1,9,H,11
21,1,7,3,H,10
21,2,1,8,M,11
22,1,2,3,H,9
22,2,0,9,H,10
23,1,7,2,M,9
23,2,2,9,H,9
24,1,2,4,M,9
24,2,3,9,M,9
25,1,7,4,M,9
25,2,0,8,M,9
26,1,1,3,H,8
26,2,2,8,M,9
27,1,0,3,M,8
27,2,5,9,M,9
28,1,2,2,M,8
28,2,8,0,M,9
29,1,1,4,M,8
29,2,2,2,M,9
30,1,1,2,M,8
30,2,1,3,H,8
31,1,8,3,H,7
31,2,2,3,M,8
32,1,8,4,M,7
32,2,1,2,H,7
33,1,9,3,H,6
33,2,1,1,M,7
34,1,8,2,M,6
34,2,1,4,H,6
35,1,9,4,M,6
35,2,0,4,M,6
36,1,9,2,M,6
36,2,1,5,M,6
37,1,0,9,M,6
37,2,2,4,M,6
38,1,8,7,M,6
38,2,0,3,M,6
39,1,3,6,M,6
39,2,0,2,M,6
40,1,7,9,M,6
40,2,9,7,M,6
41,1,4,1,M,6
41,2,9,3,M,6
42,1,2,1,M,6
42,2,2,6,M,6
43,1,3,9,H,5
43,2,6,8,H,5
44,1,4,9,M,5
44,2,5,8,H,4
45,1,3,8,H,4
45,2,4,8,H,3
46,1,2,8,M,4
46,2,3,8,H,2
47,1,3,7,H,3
47,2,4,9,M,2
48,1,4,8,M,3
48,2,6,9,M,2
49,1,2,9,M,3
49,2,3,7,M,2
50,1,2,7,M,3
50,2,7,8,M,2
51,1,4,7,M,3
51,2,6,7,M,2
52,1,1,9,M,3
52,2,4,7,M,2
53,1,5,8,H,2
53,2,8,8,M,2
54,1,5,7,H,1
54,2,0,0,M,2
55,1,5,6,H,0
55,2,0,5,M,2
56,1,6,6,M,0
56,2,7,9,M,2
57,1,5,9,M,0
57,2,2,5,M,2
58,1,6,7,M,0
58,2,9,8,M,2
59,1,6,8,M,0
59,2,3,2,M,2
60,1,7,8,M,0
60,2,7,7,M,2
61,1,1,6,M,0
61,2,3,6,M,2
62,1,2,5,M,0
62,2,0,7,M,2
63,1,1,1,M,0
63,2,2,0,M,2
64,1,3,1,M,0
64,2,7,0,M,2
65,1,1,8,M,0
65,2,8,7,M,2
66,1,5,0,M,0
66,2,1,7,M,2
67,1,0,7,M,0
67,2,9,4,M,2
68,1,9,7,M,0
68,2,6,1,M,2
69,1,0,1,M,0
69,2,9,6,M,2
70,1,7,7,M,0
70,2,3,5,M,2
71,1,9,1,M,0
71,2,0,1,M,2
72,1,9,5,M,0
72,2,3,4,M,2
73,1,8,0,M,0
73,2,4,0,M,2
74,1,7,6,M,0
74,2,3,0,M,2
75,1,7,5,M,0
75,2,7,6,H,1
76,1,1,7,M,0
76,2,8,6,M,1
77,1,0,4,M,0
77,2,7,5,H,0
