Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,2,M,17
1,2,6,6,M,17
2,1,3,5,M,17
2,2,7,9,M,17
3,1,7,8,M,17
3,2,7,1,M,17
4,1,8,8,M,17
4,2,8,8,M,17
5,1,6,3,H,16
5,2,1,6,M,17
6,1,6,2,H,15
6,2,2,7,M,17
7,1,5,2,M,15
7,2,5,8,M,17
8,1,6,4,M,15
8,2,9,6,H,16
9,1,6,1,M,15
9,2,9,5,M,16
10,1,7,2,H,14
10,2,8,6,M,16
11,1,8,2,H,13
11,2,9,7,H,15
12,1,5,3,H,12
12,2,8,7,M,15
13,1,7,1,M,12
13,2,9,8,H,14
14,1,8,1,M,12
14,2,9,9,M,14
15,1,4,3,M,12
15,2,6,7,M,14
16,1,7,3,M,12
16,2,0,5,M,14
17,1,8,3,M,12
17,2,1,5,M,14
18,1,9,2,H,11
18,2,2,9,H,13
19,1,9,1,M,11
19,2,2,8,M,13
20,1,5,4,M,11
20,2,1,9,H,12
21,1,9,3,M,11
21,2,3,9,M,12
22,1,7,0,M,11
22,2,0,9,M,12
23,1,5,5,M,11
23,2,1,8,M,12
24,1,1,1,M,11
24,2,1,2,M,12
25,1,7,7,M,11
25,2,3,7,M,12
26,1,0,0,M,11
26,2,0,0,M,12
27,1,4,7,M,11
27,2,5,4,M,12
28,1,5,0,M,11
28,2,9,0,M,12
29,1,6,0,M,11
29,2,4,2,M,12
30,1,2,4,M,11
30,2,3,4,M,12
31,1,0,1,M,11
31,2,4,0,M,12
32,1,4,8,M,11
32,2,4,4,M,12
33,1,2,9,M,11
33,2,4,5,M,12
34,1,6,8,M,11
34,2,7,5,H,11
35,1,0,2,M,11
35,2,6,5,M,11
36,1,2,8,M,11
36,2,7,6,H,10
37,1,1,5,H,10
37,2,8,5,M,10
38,1,2,5,M,10
38,2,7,7,H,9
39,1,1,6,H,9
39,2,7,8,M,9
40,1,2,6,M,9
40,2,7,4,M,9
41,1,1,4,M,9
41,2,9,1,H,8
42,1,0,6,M,9
42,2,8,1,M,8
43,1,0,5,M,9
43,2,9,2,H,7
44,1,1,7,H,8
44,2,8,2,M,7
45,1,1,8,H,7
45,2,9,3,H,6
46,1,2,7,M,7
46,2,9,4,H,5
47,1,0,7,M,7
47,2,8,3,M,5
48,1,0,8,M,7
48,2,8,4,M,5
49,1,1,9,H,6
49,2,0,6,M,5
50,1,0,9,M,6
50,2,5,6,M,5
51,1,9,8,M,6
51,2,5,5,M,5
52,1,8,6,H,5
52,2,5,2,M,5
53,1,7,6,H,4
53,2,3,2,M,5
54,1,9,6,M,4
54,2,3,5,M,5
55,1,6,6,H,3
55,2,7,0,M,5
56,1,7,5,H,2
56,2,6,0,M,5
57,1,8,7,M,2
57,2,0,8,M,5
58,1,8,5,H,1
58,2,0,7,M,5
59,1,7,4,M,1
59,2,4,8,M,5
60,1,5,6,M,1
60,2,5,9,M,5
61,1,6,7,M,1
61,2,3,8,M,5
62,1,8,4,M,1
62,2,1,7,M,5
63,1,6,5,M,1
63,2,7,3,M,5
64,1,9,5,H,0
64,2,5,7,M,5
65,1,9,4,M,0
65,2,3,3,M,5
66,1,4,9,M,0
66,2,6,4,M,5
67,1,2,3,M,0
67,2,0,2,M,5
68,1,3,1,M,0
68,2,5,3,M,5
69,1,4,5,M,0
69,2,4,3,M,5
70,1,3,0,M,0
70,2,6,1,M,5
71,1,0,4,M,0
71,2,2,5,M,5
72,1,5,1,M,0
72,2,4,9,M,5
73,1,2,2,M,0
73,2,3,6,M,5
74,1,8,0,M,0
74,2,2,2,M,5
75,1,5,7,M,0
75,2,2,0,M,5
76,1,6,9,M,0
76,2,1,4,M,5
77,1,1,0,M,0
77,2,6,2,M,5
78,1,3,2,M,0
78,2,8,9,M,5
79,1,3,9,M,0
79,2,5,0,M,5
80,1,3,3,M,0
80,2,6,3,M,5
81,1,2,1,M,0
81,2,3,0,M,5
82,1,3,4,M,0
82,2,5,1,M,5
83,1,3,6,M,0
83,2,2,6,M,5
84,1,9,0,M,0
84,2,4,6,M,5
85,1,4,0,M,0
85,2,0,4,M,5
86,1,9,9,M,0
86,2,2,1,H,4
87,1,5,9,M,0
87,2,1,1,H,3
88,1,4,6,M,0
88,2,0,1,H,2
89,1,0,3,M,0
89,2,1,0,M,2
90,1,9,7,M,0
90,2,3,1,H,1
91,1,3,7,M,0
91,2,4,1,H,0
