Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,4,M,17
1,2,1,9,M,17
2,1,5,0,M,17
2,2,3,0,M,17
3,1,0,6,M,17
3,2,5,6,M,17
4,1,2,4,H,16
4,2,6,7,M,17
5,1,2,3,H,15
5,2,1,5,H,16
6,1,2,5,H,14
6,2,0,5,M,16
7,1,2,6,M,14
7,2,2,5,M,16
8,1,3,4,M,14
8,2,1,4,H,15
9,1,2,2,H,13
9,2,2,4,M,15
10,1,2,1,H,12
10,2,1,6,H,14
11,1,3,3,M,12
11,2,0,6,M,14
12,1,3,5,M,12
12,2,1,3,H,13
13,1,3,2,M,12
13,2,0,3,M,13
14,1,1,4,M,12
14,2,0,4,M,13
15,1,2,0,M,12
15,2,1,7,M,13
16,1,1,1,M,12
16,2,1,2,H,12
17,1,3,1,M,12
17,2,2,6,M,12
18,1,1,5,M,12
18,2,2,3,M,12
19,1,1,2,M,12
19,2,0,2,M,12
20,1,1,3,M,12
20,2,2,2,M,12
21,1,6,8,M,12
21,2,1,1,H,11
22,1,8,3,H,11
22,2,0,1,M,11
23,1,7,3,M,11
23,2,2,1,H,10
24,1,8,2,H,10
24,2,2,0,M,10
25,1,8,4,H,9
25,2,1,0,M,10
26,1,7,4,M,9
26,2,3,1,H,9
27,1,9,3,M,9
27,2,4,1,M,9
28,1,9,4,H,8
28,2,3,2,M,9
29,1,8,5,M,8
29,2,4,3,M,9
30,1,9,5,H,7
30,2,3,6,M,9
31,1,9,6,H,6
31,2,8,4,M,9
32,1,8,1,H,5
32,2,6,5,H,8
33,1,8,6,M,5
33,2,6,4,M,8
34,1,7,2,M,5
34,2,5,5,M,8
35,1,9,1,M,5
35,2,7,5,H,7
36,1,9,2,M,5
36,2,8,5,H,6
37,1,7,1,M,5
37,2,7,6,M,6
38,1,8,0,M,5
38,2,9,5,H,5
39,1,9,7,M,5
39,2,8,6,M,5
40,1,9,8,M,5
40,2,9,4,M,5
41,1,9,0,M,5
41,2,7,4,M,5
42,1,0,3,M,5
42,2,9,6,M,5
43,1,6,9,M,5
43,2,6,6,M,5
44,1,1,0,M,5
44,2,4,6,M,5
45,1,5,2,M,5
45,2,5,3,M,5
46,1,4,3,M,5
46,2,4,0,M,5
47,1,0,8,M,5
47,2,3,4,M,5
48,1,9,9,M,5
48,2,9,0,M,5
49,1,3,0,M,5
49,2,9,7,M,5
50,1,5,6,M,5
50,2,4,8,M,5
51,1,4,2,M,5
51,2,7,9,M,5
52,1,6,3,M,5
52,2,9,1,H,4
53,1,5,3,M,5
53,2,8,1,H,3
54,1,7,5,M,5
54,2,9,2,M,3
55,1,4,6,M,5
55,2,8,0,M,3
56,1,5,5,M,5
56,2,7,1,M,3
57,1,4,1,M,5
57,2,8,2,M,3
58,1,6,0,M,5
58,2,1,8,M,3
59,1,6,1,M,5
59,2,5,8,M,3
60,1,1,6,M,5
60,2,5,9,M,3
61,1,4,9,M,5
61,2,0,7,M,3
62,1,7,7,M,5
62,2,5,4,M,3
63,1,5,4,M,5
63,2,3,7,M,3
64,1,5,1,M,5
64,2,2,7,M,3
65,1,5,9,M,5
65,2,3,3,M,3
66,1,2,9,M,5
66,2,6,1,M,3
67,1,7,8,M,5
67,2,5,0,M,3
68,1,1,9,M,5
68,2,0,8,M,3
69,1,5,8,M,5
69,2,6,8,H,2
70,1,0,2,M,5
70,2,7,8,H,1
71,1,0,1,H,4
71,2,7,7,M,1
72,1,0,0,H,3
72,2,6,9,M,1
73,1,6,7,M,3
73,2,8,8,H,0
74,1,7,0,M,3
74,2,9,8,M,0
75,1,6,5,M,3
75,2,8,7,M,0
76,1,7,9,M,3
76,2,8,9,M,0
77,1,0,4,M,3
77,2,6,3,M,0
78,1,3,8,M,3
78,2,9,9,M,0
79,1,6,6,M,3
79,2,0,0,M,0
80,1,0,9,M,3
80,2,7,3,M,0
81,1,3,9,M,3
81,2,5,1,M,0
82,1,6,2,M,3
82,2,4,5,M,0
83,1,2,8,M,3
83,2,4,4,M,0
84,1,8,9,M,3
84,2,2,8,M,0
85,1,3,7,H,2
85,2,5,7,M,0
86,1,3,6,M,2
86,2,3,9,M,0
87,1,4,7,H,1
87,2,2,9,M,0
88,1,2,7,H,0
88,2,8,3,M,0
