Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,8,2,M,17
1,2,3,5,M,17
2,1,0,2,M,17
2,2,8,4,M,17
3,1,2,5,M,17
3,2,9,6,H,16
4,1,5,2,M,17
4,2,9,5,M,16
5,1,2,0,M,17
5,2,9,7,H,15
6,1,6,0,M,17
6,2,8,7,M,15
7,1,4,8,M,17
7,2,8,6,M,15
8,1,0,1,M,17
8,2,9,8,H,14
9,1,2,6,H,16
9,2,8,8,M,14
10,1,1,6,H,15
10,2,9,9,M,14
11,1,1,5,M,15
11,2,2,2,M,14
12,1,3,6,H,14
12,2,2,4,M,14
13,1,0,6,H,13
13,2,3,2,M,14
14,1,4,6,H,12
14,2,0,2,M,14
15,1,3,7,M,12
15,2,0,1,M,14
16,1,0,5,M,12
16,2,4,7,M,14
17,1,4,7,M,12
17,2,6,5,M,14
18,1,1,7,M,12
18,2,0,8,M,14
19,1,4,5,M,12
19,2,0,9,M,14
20,1,0,7,M,12
20,2,3,6,M,14
21,1,5,6,M,12
21,2,2,3,H,13
22,1,2,7,M,12
22,2,3,3,H,12
23,1,3,5,M,12
23,2,1,3,H,11
24,1,1,8,H,11
24,2,0,3,M,11
25,1,2,8,H,10
25,2,1,2,M,11
26,1,3,8,H,9
26,2,3,4,M,11
27,1,2,9,M,9
27,2,1,4,M,11
28,1,3,9,M,9
28,2,4,3,H,10
29,1,0,8,H,8
29,2,4,4,M,10
30,1,0,9,M,8
30,2,5,3,M,10
31,1,1,9,M,8
31,2,4,2,M,10
32,1,9,5,M,8
32,2,9,0,M,10
33,1,5,7,M,8
33,2,7,6,M,10
34,1,5,4,M,8
34,2,3,0,H,9
35,1,2,2,M,8
35,2,4,0,H,8
36,1,7,7,M,8
36,2,2,0,M,8
37,1,5,3,M,8
37,2,3,1,H,7
38,1,3,4,M,8
38,2,5,0,H,6
39,1,4,0,M,8
39,2,6,0,M,6
40,1,4,3,M,8
40,2,2,1,H,5
41,1,8,5,M,8
41,2,5,1,H,4
42,1,2,3,M,8
42,2,5,2,M,4
43,1,0,3,M,8
43,2,6,1,H,3
44,1,3,3,M,8
44,2,7,1,M,3
45,1,7,0,M,8
45,2,4,1,H,2
46,1,9,8,H,7
46,2,6,2,M,2
47,1,9,7,H,6
47,2,1,1,M,2
48,1,8,8,M,6
48,2,1,7,M,2
49,1,9,6,H,5
49,2,0,4,M,2
50,1,9,9,H,4
50,2,9,2,M,2
51,1,8,9,H,3
51,2,9,1,M,2
52,1,8,6,M,3
52,2,7,8,M,2
53,1,7,9,H,2
53,2,5,9,M,2
54,1,7,8,M,2
54,2,5,4,M,2
55,1,8,7,M,2
55,2,6,7,M,2
56,1,6,9,M,2
56,2,2,8,M,2
57,1,7,4,M,2
57,2,8,2,M,2
58,1,4,1,M,2
58,2,5,7,M,2
59,1,2,1,M,2
59,2,1,9,H,1
60,1,4,2,M,2
60,2,2,9,M,1
61,1,3,0,M,2
61,2,1,8,H,0
62,1,7,3,M,2
62,2,7,5,M,0
63,1,5,8,M,2
63,2,9,3,M,0
64,1,6,7,M,2
64,2,6,6,M,0
65,1,6,4,H,1
65,2,5,6,M,0
66,1,6,5,M,1
66,2,0,7,M,0
67,1,6,3,H,0
67,2,1,6,M,0
