Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,6,M,17
1,2,4,2,M,17
2,1,3,0,M,17
2,2,8,0,M,17
3,1,0,9,H,16
3,2,4,9,H,16
4,1,0,8,M,16
4,2,3,9,M,16
5,1,1,9,H,15
5,2,4,8,M,16
6,1,1,8,M,15
6,2,5,9,H,15
7,1,2,9,H,14
7,2,5,8,M,15
8,1,2,8,M,14
8,2,6,9,H,14
9,1,3,9,H,13
9,2,7,9,M,14
10,1,4,9,H,12
10,2,6,8,H,13
11,1,3,8,M,12
11,2,7,8,M,13
12,1,4,8,H,11
12,2,6,7,H,12
13,1,5,9,H,10
13,2,5,7,M,12
14,1,4,7,H,9
14,2,6,6,H,11
15,1,4,6,H,8
15,2,7,7,M,11
16,1,5,8,M,8
16,2,7,6,M,11
17,1,5,6,M,8
17,2,6,5,M,11
18,1,6,9,M,8
18,2,5,6,M,11
19,1,3,6,M,8
19,2,4,5,M,11
20,1,5,7,M,8
20,2,2,0,M,11
21,1,3,7,M,8
21,2,3,7,M,11
22,1,4,5,H,7
22,2,9,6,M,11
23,1,4,4,M,7
23,2,0,0,M,11
24,1,3,5,M,7
24,2,4,1,M,11
25,1,5,5,M,7
25,2,2,5,M,11
26,1,9,4,H,6
26,2,8,4,H,10
27,1,9,5,H,5
27,2,9,4,H,9
28,1,9,6,M,5
28,2,9,3,H,8
29,1,8,4,M,5
29,2,8,5,M,8
30,1,9,3,M,5
30,2,9,2,M,8
31,1,8,5,M,5
31,2,9,5,M,8
32,1,0,6,M,5
32,2,7,4,H,7
33,1,8,7,M,5
33,2,7,3,H,6
34,1,9,7,M,5
34,2,7,2,M,6
35,1,8,2,M,5
35,2,6,4,H,5
36,1,3,4,M,5
36,2,8,3,H,4
37,1,8,9,M,5
37,2,6,3,H,3
38,1,7,1,H,4
38,2,5,4,M,3
39,1,6,1,H,3
39,2,7,5,M,3
40,1,7,0,M,3
40,2,6,2,M,3
41,1,6,0,M,3
41,2,5,3,H,2
42,1,8,1,H,2
42,2,8,2,M,2
43,1,6,2,M,2
43,2,5,2,M,2
44,1,5,1,H,1
44,2,4,3,M,2
45,1,5,2,M,1
45,2,2,6,M,2
46,1,7,2,M,1
46,2,8,6,M,2
47,1,9,1,H,0
47,2,2,8,M,2
48,1,8,0,M,0
48,2,2,1,M,2
49,1,9,2,M,0
49,2,0,3,M,2
50,1,9,0,M,0
50,2,9,7,M,2
51,1,5,0,M,0
51,2,2,4,M,2
52,1,4,1,M,0
52,2,4,6,M,2
53,1,2,5,M,0
53,2,0,4,M,2
54,1,5,4,M,0
54,2,6,0,M,2
55,1,1,5,M,0
55,2,8,1,M,2
56,1,8,8,M,0
56,2,0,6,M,2
57,1,1,0,M,0
57,2,0,1,M,2
58,1,1,2,M,0
58,2,3,0,M,2
59,1,2,4,M,0
59,2,0,9,M,2
60,1,2,1,M,0
60,2,0,2,M,2
61,1,1,7,M,0
61,2,5,5,M,2
62,1,0,3,M,0
62,2,1,4,M,2
63,1,1,1,M,0
63,2,0,5,M,2
64,1,7,9,M,0
64,2,1,5,M,2
65,1,0,7,M,0
65,2,9,9,M,2
66,1,7,4,M,0
66,2,2,9,M,2
67,1,5,3,M,0
67,2,5,1,M,2
68,1,7,8,M,0
68,2,3,2,M,2
69,1,3,1,M,0
69,2,3,5,M,2
70,1,7,5,M,0
70,2,1,1,M,2
71,1,0,1,M,0
71,2,9,8,M,2
72,1,7,6,M,0
72,2,1,0,M,2
73,1,0,5,M,0
73,2,1,8,M,2
74,1,7,7,M,0
74,2,5,0,M,2
75,1,1,6,M,0
75,2,4,4,M,2
76,1,2,2,M,0
76,2,0,8,M,2
77,1,1,3,M,0
77,2,9,1,M,2
78,1,4,0,M,0
78,2,1,6,M,2
79,1,4,3,M,0
79,2,3,1,M,2
80,1,4,2,M,0
80,2,3,3,M,2
81,1,6,5,M,0
81,2,3,4,M,2
82,1,6,6,M,0
82,2,9,0,M,2
83,1,6,7,M,0
83,2,8,9,M,2
84,1,0,0,M,0
84,2,6,1,M,2
85,1,9,9,M,0
85,2,4,0,M,2
86,1,3,2,M,0
86,2,1,3,H,1
87,1,8,6,M,0
87,2,2,3,H,0
