Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,6,M,17
1,2,1,6,M,17
2,1,9,8,M,17
2,2,4,0,M,17
3,1,5,0,M,17
3,2,1,9,M,17
4,1,4,5,H,16
4,2,8,0,M,17
5,1,4,4,H,15
5,2,5,2,M,17
6,1,4,3,M,15
6,2,3,3,M,17
7,1,5,4,M,15
7,2,8,2,M,17
8,1,4,6,H,14
8,2,1,5,M,17
9,1,3,6,M,14
9,2,8,4,H,16
10,1,3,5,M,14
10,2,8,5,H,15
11,1,4,7,H,13
11,2,7,5,M,15
12,1,5,5,M,13
12,2,9,4,M,15
13,1,5,7,H,12
13,2,8,6,H,14
14,1,6,7,M,12
14,2,9,6,H,13
15,1,3,4,M,12
15,2,7,4,M,13
16,1,3,7,M,12
16,2,7,6,M,13
17,1,5,6,H,11
17,2,8,3,H,12
18,1,6,6,M,11
18,2,9,7,H,11
19,1,4,8,M,11
19,2,9,3,M,11
20,1,5,8,H,10
20,2,9,8,H,10
21,1,6,8,M,10
21,2,9,9,M,10
22,1,5,9,M,10
22,2,8,7,M,10
23,1,4,1,M,10
23,2,7,3,M,10
24,1,0,9,M,10
24,2,9,5,M,10
25,1,2,0,M,10
25,2,8,8,M,10
26,1,7,8,M,10
26,2,6,5,H,9
27,1,7,0,M,10
27,2,5,5,M,9
28,1,2,2,M,10
28,2,6,4,H,8
29,1,4,9,M,10
29,2,6,6,H,7
30,1,2,3,M,10
30,2,6,3,H,6
31,1,5,2,M,10
31,2,5,6,M,6
32,1,2,8,H,9
32,2,5,3,M,6
33,1,2,7,H,8
33,2,6,2,M,6
34,1,3,8,M,8
34,2,5,4,M,6
35,1,1,8,M,8
35,2,6,7,H,5
36,1,2,6,H,7
36,2,7,7,M,5
37,1,1,7,M,7
37,2,6,8,M,5
38,1,2,9,M,7
38,2,5,7,M,5
39,1,2,5,H,6
39,2,0,3,M,5
40,1,1,5,M,6
40,2,4,5,H,4
41,1,2,4,H,5
41,2,4,6,M,4
42,1,1,4,M,5
42,2,4,4,H,3
43,1,8,9,M,5
43,2,3,5,H,2
44,1,1,2,M,5
44,2,3,6,M,2
45,1,7,9,M,5
45,2,3,4,M,2
46,1,3,9,M,5
46,2,4,3,H,1
47,1,7,4,M,5
47,2,4,2,H,0
48,1,8,2,M,5
48,2,4,1,M,0
49,1,0,7,M,5
49,2,3,2,M,0
50,1,0,8,M,5
50,2,2,5,M,0
51,1,6,5,M,5
51,2,2,2,M,0
52,1,0,0,M,5
52,2,6,1,M,0
53,1,6,9,M,5
53,2,3,0,M,0
54,1,1,0,M,5
54,2,0,7,M,0
55,1,9,9,M,5
55,2,9,0,M,0
56,1,5,3,M,5
56,2,7,2,M,0
57,1,9,5,M,5
57,2,0,2,M,0
58,1,8,0,M,5
58,2,6,0,M,0
59,1,9,2,M,5
59,2,9,2,M,0
60,1,4,2,M,5
60,2,0,0,M,0
61,1,9,4,M,5
61,2,9,1,M,0
62,1,3,0,M,5
62,2,2,9,M,0
63,1,3,3,M,5
63,2,2,7,M,0
64,1,1,9,M,5
64,2,4,7,M,0
65,1,5,1,M,5
65,2,3,1,M,0
66,1,8,6,M,5
66,2,2,8,M,0
67,1,9,6,M,5
67,2,2,6,M,0
68,1,7,3,M,5
68,2,7,0,M,0
69,1,6,0,H,4
69,2,5,0,M,0
70,1,6,1,H,3
70,2,0,9,M,0
71,1,6,2,H,2
71,2,5,8,M,0
72,1,7,1,M,2
72,2,4,9,M,0
73,1,7,2,M,2
73,2,3,8,M,0
74,1,6,3,M,2
74,2,2,1,M,0
75,1,3,1,M,2
75,2,3,7,M,0
76,1,0,2,M,2
76,2,0,4,M,0
77,1,8,7,M,2
77,2,8,9,M,0
78,1,4,0,M,2
78,2,6,9,M,0
79,1,0,1,M,2
79,2,4,8,M,0
80,1,3,2,M,2
80,2,2,3,M,0
81,1,7,6,H,1
81,2,1,8,M,0
82,1,7,5,M,1
82,2,1,1,M,0
83,1,7,7,H,0
83,2,1,0,M,0
