Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,7,H,16
1,2,6,7,H,16
2,1,4,8,M,16
2,2,5,7,H,15
3,1,3,7,M,16
3,2,6,6,M,15
4,1,5,7,M,16
4,2,7,7,H,14
5,1,4,6,H,15
5,2,4,7,H,13
6,1,5,6,M,15
6,2,3,7,M,13
7,1,3,6,M,15
7,2,7,8,M,13
8,1,4,5,H,14
8,2,8,7,H,12
9,1,5,5,M,14
9,2,5,8,M,12
10,1,3,5,M,14
10,2,9,7,M,12
11,1,4,4,M,14
11,2,4,6,M,12
12,1,1,6,M,14
12,2,4,8,M,12
13,1,1,1,M,14
13,2,5,6,M,12
14,1,9,3,M,14
14,2,7,6,M,12
15,1,1,0,M,14
15,2,8,8,M,12
16,1,6,7,M,14
16,2,6,8,M,12
17,1,7,4,M,14
17,2,8,6,M,12
18,1,5,0,M,14
18,2,2,2,M,12
19,1,8,0,M,14
19,2,0,7,H,11
20,1,8,3,M,14
20,2,0,8,M,11
21,1,8,6,M,14
21,2,1,7,H,10
22,1,5,3,M,14
22,2,1,6,M,10
23,1,7,6,M,14
23,2,2,7,H,9
24,1,8,2,M,14
24,2,2,6,M,9
25,1,9,8,H,13
25,2,0,6,M,9
26,1,9,9,M,13
26,2,2,8,M,9
27,1,9,7,M,13
27,2,1,8,M,9
28,1,8,8,H,12
28,2,2,1,M,9
29,1,8,7,M,12
29,2,1,9,M,9
30,1,7,8,H,11
30,2,5,5,M,9
31,1,8,9,M,11
31,2,6,9,H,8
32,1,6,8,H,10
32,2,7,9,H,7
33,1,7,7,M,10
33,2,8,9,M,7
34,1,7,9,M,10
34,2,5,9,H,6
35,1,6,9,M,10
35,2,4,9,H,5
36,1,5,8,H,9
36,2,3,9,M,5
37,1,5,9,M,9
37,2,2,0,M,5
38,1,8,4,M,9
38,2,1,4,H,4
39,1,0,9,M,9
39,2,1,5,M,4
40,1,3,9,M,9
40,2,1,3,H,3
41,1,8,1,M,9
41,2,2,4,M,3
42,1,3,8,M,9
42,2,2,3,H,2
43,1,5,2,M,9
43,2,0,3,H,1
44,1,3,0,M,9
44,2,3,3,M,1
45,1,0,7,M,9
45,2,0,2,M,1
46,1,0,3,M,9
46,2,0,4,H,0
47,1,2,5,M,9
47,2,0,5,M,0
48,1,7,5,M,9
48,2,1,2,M,0
49,1,2,6,M,9
49,2,8,4,M,0
50,1,2,0,M,9
50,2,0,9,M,0
51,1,2,2,M,9
51,2,3,4,M,0
52,1,1,8,M,9
52,2,7,0,M,0
53,1,7,1,M,9
53,2,4,5,M,0
54,1,3,4,M,9
54,2,9,6,M,0
55,1,4,9,M,9
55,2,6,0,M,0
56,1,7,3,M,9
56,2,7,1,M,0
57,1,6,1,H,8
57,2,7,2,M,0
58,1,6,2,M,8
58,2,2,9,M,0
59,1,5,1,H,7
59,2,5,0,M,0
60,1,6,0,H,6
60,2,6,5,M,0
61,1,7,0,M,6
61,2,5,4,M,0
62,1,4,1,H,5
62,2,9,9,M,0
63,1,4,2,M,5
63,2,6,1,M,0
64,1,4,0,M,5
64,2,8,3,M,0
65,1,3,1,H,4
65,2,7,3,M,0
66,1,3,2,M,4
66,2,8,5,M,0
67,1,2,1,H,3
67,2,9,5,M,0
68,1,1,5,H,2
68,2,5,2,M,0
69,1,1,4,H,1
69,2,2,5,M,0
70,1,2,4,M,1
70,2,7,5,M,0
71,1,0,4,M,1
71,2,9,4,M,0
72,1,1,3,H,0
72,2,6,4,M,0
