Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,4,M,17
1,2,7,1,M,17
2,1,3,3,M,17
2,2,9,7,M,17
3,1,5,0,H,16
3,2,7,9,H,16
4,1,5,1,H,15
4,2,6,9,H,15
5,1,5,2,H,14
5,2,7,8,M,15
6,1,4,1,M,14
6,2,8,9,H,14
7,1,5,3,M,14
7,2,8,8,M,14
8,1,6,1,M,14
8,2,9,9,M,14
9,1,6,0,M,14
9,2,5,9,M,14
10,1,4,2,M,14
10,2,6,8,M,14
11,1,4,0,M,14
11,2,5,3,M,14
12,1,6,2,M,14
12,2,4,4,H,13
13,1,0,1,M,14
13,2,4,3,M,13
14,1,1,3,M,14
14,2,5,4,M,13
15,1,4,3,M,14
15,2,4,5,H,12
16,1,8,1,M,14
16,2,3,4,M,12
17,1,4,7,H,13
17,2,5,5,M,12
18,1,4,6,M,13
18,2,3,5,M,12
19,1,4,8,M,13
19,2,4,6,H,11
20,1,5,7,M,13
20,2,4,7,H,10
21,1,3,7,H,12
21,2,5,7,M,10
22,1,3,8,M,12
22,2,5,6,M,10
23,1,3,6,M,12
23,2,4,8,M,10
24,1,2,7,H,11
24,2,3,6,M,10
25,1,1,7,H,10
25,2,3,7,M,10
26,1,2,6,M,10
26,2,4,0,M,10
27,1,0,7,H,9
27,2,6,5,H,9
28,1,1,6,M,9
28,2,6,6,M,9
29,1,2,8,M,9
29,2,7,5,M,9
30,1,1,8,M,9
30,2,6,4,H,8
31,1,0,8,M,9
31,2,6,3,H,7
32,1,0,6,M,9
32,2,6,2,H,6
33,1,7,3,M,9
33,2,7,3,M,6
34,1,6,4,H,8
34,2,5,2,M,6
35,1,6,3,H,7
35,2,6,1,H,5
36,1,5,4,M,7
36,2,5,1,M,5
37,1,6,5,H,6
37,2,7,2,M,5
38,1,6,6,M,6
38,2,6,0,M,5
39,1,5,5,M,6
39,2,7,4,M,5
40,1,7,5,M,6
40,2,0,2,M,5
41,1,9,9,M,6
41,2,5,0,M,5
42,1,9,1,H,5
42,2,8,3,M,5
43,1,9,2,H,4
43,2,2,4,M,5
44,1,9,3,H,3
44,2,2,6,M,5
45,1,8,3,M,3
45,2,0,5,M,5
46,1,9,4,M,3
46,2,8,5,M,5
47,1,8,2,M,3
47,2,9,6,M,5
48,1,9,0,H,2
48,2,3,1,M,5
49,1,8,0,M,2
49,2,8,1,M,5
50,1,7,9,M,2
50,2,7,0,M,5
51,1,3,0,M,2
51,2,0,8,M,5
52,1,2,1,M,2
52,2,8,6,M,5
53,1,0,5,M,2
53,2,4,9,M,5
54,1,2,9,M,2
54,2,9,3,M,5
55,1,2,5,M,2
55,2,5,8,M,5
56,1,9,8,M,2
56,2,1,8,M,5
57,1,3,5,M,2
57,2,1,1,M,5
58,1,8,6,M,2
58,2,3,9,M,5
59,1,3,4,M,2
59,2,2,0,M,5
60,1,1,5,M,2
60,2,2,2,M,5
61,1,4,9,M,2
61,2,2,3,H,4
62,1,1,1,M,2
62,2,1,3,H,3
63,1,6,8,M,2
63,2,3,3,H,2
64,1,2,0,M,2
64,2,1,2,M,2
65,1,8,8,M,2
65,2,0,3,M,2
66,1,1,0,M,2
66,2,1,4,M,2
67,1,9,5,M,2
67,2,3,2,M,2
68,1,0,3,M,2
68,2,1,7,M,2
69,1,7,0,M,2
69,2,0,1,M,2
70,1,0,0,M,2
70,2,9,0,M,2
71,1,3,2,M,2
71,2,2,7,M,2
72,1,8,9,M,2
72,2,7,6,M,2
73,1,7,2,M,2
73,2,1,5,M,2
74,1,3,9,M,2
74,2,2,9,M,2
75,1,1,2,M,2
75,2,9,4,M,2
76,1,1,4,M,2
76,2,2,5,M,2
77,1,7,1,M,2
77,2,1,9,M,2
78,1,9,6,M,2
78,2,2,1,M,2
79,1,2,2,M,2
79,2,4,1,H,1
80,1,5,8,M,2
80,2,4,2,H,0
81,1,4,4,M,2
81,2,8,0,M,0
82,1,2,4,M,2
82,2,8,2,M,0
83,1,6,7,M,2
83,2,9,1,M,0
84,1,8,7,H,1
84,2,9,2,M,0
85,1,7,7,H,0
85,2,0,0,M,0
