Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,4,H,16
1,2,4,7,M,17
2,1,6,4,M,16
2,2,2,1,M,17
3,1,8,4,M,16
3,2,6,6,M,17
4,1,7,3,H,15
4,2,9,5,M,17
5,1,7,5,H,14
5,2,5,5,M,17
6,1,8,5,M,14
6,2,5,1,M,17
7,1,8,3,M,14
7,2,1,1,M,17
8,1,7,2,M,14
8,2,3,7,H,16
9,1,7,6,H,13
9,2,3,6,H,15
10,1,6,3,M,13
10,2,3,8,M,15
11,1,6,5,M,13
11,2,4,6,M,15
12,1,6,6,M,13
12,2,2,6,M,15
13,1,8,6,M,13
13,2,3,5,M,15
14,1,7,7,H,12
14,2,2,7,M,15
15,1,7,8,H,11
15,2,5,0,M,15
16,1,6,8,M,11
16,2,8,6,M,15
17,1,6,7,M,11
17,2,6,0,M,15
18,1,7,9,M,11
18,2,3,3,M,15
19,1,8,8,M,11
19,2,8,4,M,15
20,1,8,7,M,11
20,2,7,4,H,14
21,1,1,6,M,11
21,2,7,3,M,14
22,1,0,2,M,11
22,2,7,5,M,14
23,1,0,9,M,11
23,2,6,4,H,13
24,1,9,4,M,11
24,2,6,5,M,13
25,1,0,0,M,11
25,2,5,4,H,12
26,1,8,1,M,11
26,2,4,4,H,11
27,1,9,1,M,11
27,2,6,3,M,11
28,1,9,8,H,10
28,2,4,3,H,10
29,1,9,7,H,9
29,2,4,2,M,10
30,1,9,6,H,8
30,2,5,3,M,10
31,1,9,9,H,7
31,2,4,5,H,9
32,1,8,9,M,7
32,2,3,4,M,9
33,1,9,5,H,6
33,2,7,2,H,8
34,1,1,1,H,5
34,2,8,2,H,7
35,1,0,1,M,5
35,2,7,1,M,7
36,1,1,2,H,4
36,2,8,3,M,7
37,1,2,1,M,4
37,2,9,2,H,6
38,1,2,2,H,3
38,2,9,3,M,6
39,1,2,3,M,3
39,2,6,2,H,5
40,1,1,0,M,3
40,2,9,1,M,5
41,1,1,3,H,2
41,2,8,1,M,5
42,1,3,2,H,1
42,2,5,2,M,5
43,1,3,3,M,1
43,2,6,1,M,5
44,1,1,4,M,1
44,2,9,4,M,5
45,1,4,2,H,0
45,2,0,5,M,5
46,1,4,1,M,0
46,2,9,8,M,5
47,1,3,1,M,0
47,2,2,8,M,5
48,1,0,3,M,0
48,2,0,6,M,5
49,1,5,2,M,0
49,2,8,0,M,5
50,1,4,3,M,0
50,2,4,9,M,5
51,1,3,9,M,0
51,2,3,0,M,5
52,1,0,7,M,0
52,2,1,0,M,5
53,1,5,6,M,0
53,2,2,5,M,5
54,1,3,5,M,0
54,2,7,9,M,5
55,1,5,5,M,0
55,2,9,0,M,5
56,1,6,2,M,0
56,2,9,7,M,5
57,1,8,2,M,0
57,2,1,5,H,4
58,1,2,8,M,0
58,2,1,6,H,3
59,1,5,8,M,0
59,2,1,7,H,2
60,1,4,9,M,0
60,2,0,7,M,2
61,1,9,3,M,0
61,2,1,4,M,2
62,1,3,6,M,0
62,2,1,8,H,1
63,1,1,8,M,0
63,2,1,9,H,0
