Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,9,0,M,17
1,2,5,5,M,17
2,1,9,8,M,17
2,2,5,0,M,17
3,1,9,2,H,16
3,2,3,0,M,17
4,1,8,2,M,16
4,2,1,7,M,17
5,1,9,3,H,15
5,2,9,7,M,17
6,1,8,3,M,15
6,2,9,4,M,17
7,1,9,1,M,15
7,2,7,8,M,17
8,1,9,4,H,14
8,2,5,8,M,17
9,1,9,5,H,13
9,2,7,2,M,17
10,1,8,4,M,13
10,2,7,6,M,17
11,1,9,6,M,13
11,2,3,8,H,16
12,1,8,5,M,13
12,2,3,9,M,16
13,1,2,9,M,13
13,2,3,7,H,15
14,1,7,6,H,12
14,2,4,8,M,15
15,1,8,6,M,12
15,2,3,6,H,14
16,1,7,5,H,11
16,2,2,6,M,14
17,1,6,6,M,11
17,2,2,8,M,14
18,1,6,5,M,11
18,2,4,6,M,14
19,1,7,4,M,11
19,2,3,5,H,13
20,1,7,7,H,10
20,2,4,5,M,13
21,1,6,7,M,10
21,2,2,7,M,13
22,1,8,7,M,10
22,2,2,5,M,13
23,1,7,8,H,9
23,2,4,7,M,13
24,1,6,8,M,9
24,2,3,4,M,13
25,1,7,9,H,8
25,2,3,1,H,12
26,1,8,8,M,8
26,2,4,1,H,11
27,1,6,9,M,8
27,2,5,1,M,11
28,1,8,9,M,8
28,2,3,2,M,11
29,1,3,2,M,8
29,2,4,0,M,11
30,1,6,3,M,8
30,2,4,2,M,11
31,1,0,8,M,8
31,2,2,1,H,10
32,1,4,2,M,8
32,2,1,1,M,10
33,1,2,0,M,8
33,2,2,2,M,10
34,1,2,7,M,8
34,2,2,0,M,10
35,1,3,7,M,8
35,2,8,3,M,10
36,1,5,0,M,8
36,2,1,9,M,10
37,1,6,2,M,8
37,2,3,3,H,9
38,1,0,0,M,8
38,2,4,3,H,8
39,1,4,6,M,8
39,2,2,3,M,8
40,1,0,1,M,8
40,2,5,3,H,7
41,1,0,9,M,8
41,2,6,3,H,6
42,1,3,3,M,8
42,2,7,3,H,5
43,1,5,2,M,8
43,2,7,4,M,5
44,1,3,6,M,8
44,2,6,2,M,5
45,1,0,2,H,7
45,2,4,4,M,5
46,1,0,3,M,7
46,2,5,2,M,5
47,1,1,2,H,6
47,2,5,4,M,5
48,1,1,1,M,6
48,2,6,4,M,5
49,1,1,3,M,6
49,2,8,6,H,4
50,1,2,2,H,5
50,2,8,5,H,3
51,1,2,1,M,5
51,2,9,5,M,3
52,1,2,3,M,5
52,2,9,6,M,3
53,1,3,0,M,5
53,2,8,7,M,3
54,1,1,0,M,5
54,2,8,4,H,2
55,1,3,5,M,5
55,2,7,5,M,2
56,1,9,9,M,5
56,2,1,6,M,2
57,1,7,0,M,5
57,2,6,5,M,2
58,1,4,9,M,5
58,2,7,0,M,2
59,1,1,5,M,5
59,2,9,9,M,2
60,1,5,5,M,5
60,2,6,1,M,2
61,1,1,7,M,5
61,2,0,2,M,2
62,1,2,4,M,5
62,2,6,7,M,2
63,1,3,9,M,5
63,2,6,9,M,2
64,1,4,5,M,5
64,2,6,0,M,2
65,1,3,1,M,5
65,2,8,9,M,2
66,1,5,8,M,5
66,2,0,9,M,2
67,1,0,7,M,5
67,2,9,8,M,2
68,1,7,1,H,4
68,2,0,8,M,2
69,1,6,1,M,4
69,2,2,9,M,2
70,1,7,2,H,3
70,2,1,5,M,2
71,1,7,3,H,2
71,2,0,5,M,2
72,1,8,1,M,2
72,2,1,8,M,2
73,1,1,8,M,2
73,2,0,6,M,2
74,1,2,5,M,2
74,2,0,0,M,2
75,1,5,9,M,2
75,2,5,7,M,2
76,1,4,4,M,2
76,2,5,6,M,2
77,1,5,7,M,2
77,2,6,8,M,2
78,1,4,8,M,2
78,2,1,3,H,1
79,1,2,8,M,2
79,2,1,4,M,1
80,1,6,4,H,1
80,2,0,3,H,0
81,1,5,4,H,0
81,2,1,2,M,0
