Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,4,H,16
1,2,1,2,M,17
2,1,2,3,M,16
2,2,6,3,H,16
3,1,3,4,M,16
3,2,5,3,H,15
4,1,1,4,M,16
4,2,5,4,H,14
5,1,2,5,H,15
5,2,4,4,M,14
6,1,3,5,M,15
6,2,6,2,M,14
7,1,2,6,H,14
7,2,6,4,M,14
8,1,3,6,M,14
8,2,5,2,M,14
9,1,1,5,M,14
9,2,5,5,H,13
10,1,1,6,M,14
10,2,5,6,M,13
11,1,2,7,H,13
11,2,4,5,M,13
12,1,1,7,M,13
12,2,7,3,H,12
13,1,3,7,M,13
13,2,7,4,M,12
14,1,2,8,H,12
14,2,7,2,M,12
15,1,3,8,M,12
15,2,6,5,M,12
16,1,2,9,M,12
16,2,4,3,H,11
17,1,1,8,M,12
17,2,3,3,M,11
18,1,8,5,M,12
18,2,4,2,M,11
19,1,6,9,M,12
19,2,8,3,M,11
20,1,0,5,M,12
20,2,9,3,M,11
21,1,6,6,M,12
21,2,3,6,M,11
22,1,0,8,M,12
22,2,1,6,M,11
23,1,0,9,M,12
23,2,1,9,M,11
24,1,7,3,M,12
24,2,0,5,H,10
25,1,5,5,H,11
25,2,0,6,H,9
26,1,5,6,H,10
26,2,1,5,M,9
27,1,5,4,M,10
27,2,0,4,M,9
28,1,5,7,H,9
28,2,0,7,H,8
29,1,6,7,M,9
29,2,1,7,M,8
30,1,4,5,M,9
30,2,0,8,M,8
31,1,6,5,M,9
31,2,2,1,H,7
32,1,4,6,M,9
32,2,1,1,M,7
33,1,4,7,M,9
33,2,3,1,M,7
34,1,5,8,M,9
34,2,2,0,H,6
35,1,1,3,M,9
35,2,1,0,M,6
36,1,3,3,H,8
36,2,2,2,H,5
37,1,3,2,M,8
37,2,3,0,M,5
38,1,4,3,H,7
38,2,2,3,H,4
39,1,5,3,H,6
39,2,1,3,M,4
40,1,4,2,M,6
40,2,2,4,H,3
41,1,6,3,H,5
41,2,1,4,M,3
42,1,5,2,M,5
42,2,3,4,M,3
43,1,6,2,M,5
43,2,3,2,M,3
44,1,6,4,M,5
44,2,2,5,M,3
45,1,4,4,M,5
45,2,8,2,M,3
46,1,0,4,M,5
46,2,5,7,M,3
47,1,8,0,M,5
47,2,0,2,M,3
48,1,9,5,H,4
48,2,4,9,M,3
49,1,9,4,H,3
49,2,3,7,M,3
50,1,8,4,H,2
50,2,0,1,M,3
51,1,9,3,M,2
51,2,8,5,M,3
52,1,7,4,H,1
52,2,0,9,M,3
53,1,9,6,H,0
53,2,2,8,M,3
54,1,8,3,M,0
54,2,3,5,M,3
55,1,7,5,M,0
55,2,8,9,M,3
56,1,9,7,M,0
56,2,8,0,M,3
57,1,8,6,M,0
57,2,8,6,M,3
58,1,7,9,M,0
58,2,9,0,M,3
59,1,1,1,M,0
59,2,6,0,M,3
60,1,3,1,M,0
60,2,9,7,M,3
61,1,6,1,M,0
61,2,7,1,H,2
62,1,0,2,M,0
62,2,8,1,H,1
63,1,2,2,M,0
63,2,6,1,M,1
64,1,8,7,M,0
64,2,7,0,M,1
65,1,9,8,M,0
65,2,9,1,H,0
