Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,0,M,17
1,2,0,2,M,17
2,1,3,6,M,17
2,2,3,9,M,17
3,1,4,3,H,16
3,2,4,3,M,17
4,1,4,2,M,16
4,2,7,7,M,17
5,1,5,3,H,15
5,2,5,0,M,17
6,1,4,4,M,15
6,2,3,3,M,17
7,1,5,2,M,15
7,2,6,2,H,16
8,1,6,3,H,14
8,2,5,2,M,16
9,1,7,3,M,14
9,2,7,2,M,16
10,1,6,2,H,13
10,2,6,1,M,16
11,1,3,3,H,12
11,2,6,3,H,15
12,1,5,4,M,12
12,2,5,3,M,15
13,1,6,1,H,11
13,2,6,4,H,14
14,1,3,4,M,11
14,2,6,5,M,14
15,1,5,1,M,11
15,2,7,4,H,13
16,1,2,3,M,11
16,2,7,5,M,13
17,1,6,4,M,11
17,2,5,4,M,13
18,1,7,2,M,11
18,2,7,3,M,13
19,1,3,2,M,11
19,2,8,4,H,12
20,1,6,0,H,10
20,2,9,4,H,11
21,1,5,0,M,10
21,2,8,3,M,11
22,1,7,1,M,10
22,2,9,5,M,11
23,1,5,5,M,10
23,2,9,3,M,11
24,1,0,2,H,9
24,2,8,5,M,11
25,1,0,3,H,8
25,2,3,4,M,11
26,1,1,2,M,8
26,2,9,6,M,11
27,1,1,3,M,8
27,2,2,7,M,11
28,1,0,1,M,8
28,2,0,0,M,11
29,1,0,4,M,8
29,2,8,0,M,11
30,1,4,0,M,8
30,2,5,5,H,10
31,1,4,8,M,8
31,2,4,5,H,9
32,1,8,9,M,8
32,2,5,6,H,8
33,1,7,8,M,8
33,2,3,5,M,8
34,1,8,6,M,8
34,2,4,4,M,8
35,1,1,5,M,8
35,2,6,6,M,8
36,1,9,9,M,8
36,2,4,6,H,7
37,1,8,4,M,8
37,2,3,6,M,7
38,1,7,7,M,8
38,2,5,7,M,7
39,1,2,5,H,7
39,2,4,7,H,6
40,1,2,4,M,7
40,2,3,7,M,6
41,1,2,6,H,6
41,2,4,8,H,5
42,1,1,6,M,6
42,2,3,8,M,5
43,1,2,7,H,5
43,2,5,8,M,5
44,1,2,8,H,4
44,2,4,9,H,4
45,1,3,5,M,4
45,2,5,9,M,4
46,1,1,7,M,4
46,2,2,3,M,4
47,1,3,8,M,4
47,2,2,5,M,4
48,1,1,8,M,4
48,2,3,1,M,4
49,1,2,9,H,3
49,2,6,9,M,4
50,1,3,9,M,3
50,2,3,2,M,4
51,1,3,7,M,3
51,2,9,9,M,4
52,1,1,9,M,3
52,2,2,4,M,4
53,1,4,1,M,3
53,2,8,8,M,4
54,1,9,6,M,3
54,2,9,0,M,4
55,1,9,5,M,3
55,2,0,6,M,4
56,1,0,9,M,3
56,2,8,1,M,4
57,1,1,4,M,3
57,2,5,1,M,4
58,1,8,5,M,3
58,2,2,6,M,4
59,1,8,2,M,3
59,2,0,1,M,4
60,1,7,9,M,3
60,2,2,0,M,4
61,1,7,5,M,3
61,2,2,8,M,4
62,1,8,0,M,3
62,2,8,9,M,4
63,1,9,3,M,3
63,2,1,3,H,3
64,1,8,7,M,3
64,2,1,2,H,2
65,1,4,7,H,2
65,2,0,3,M,2
66,1,5,7,H,1
66,2,1,4,H,1
67,1,5,6,M,1
67,2,1,1,M,1
68,1,4,6,M,1
68,2,1,5,H,0
69,1,6,7,H,0
69,2,2,2,M,0
