Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,9,9,M,17
1,2,1,4,M,17
2,1,0,1,H,16
2,2,7,4,M,17
3,1,0,2,M,16
3,2,4,5,M,17
4,1,1,1,M,16
4,2,4,0,M,17
5,1,0,0,H,15
5,2,8,7,M,17
6,1,1,0,M,15
6,2,2,8,M,17
7,1,5,6,H,14
7,2,8,8,M,17
8,1,4,6,M,14
8,2,8,1,M,17
9,1,5,7,H,13
9,2,2,7,M,17
10,1,4,7,M,13
10,2,5,3,H,16
11,1,5,8,M,13
11,2,5,4,M,16
12,1,6,6,M,13
12,2,5,2,H,15
13,1,6,7,M,13
13,2,4,3,H,14
14,1,5,5,H,12
14,2,6,3,H,13
15,1,4,5,H,11
15,2,6,4,M,13
16,1,6,5,M,11
16,2,6,2,H,12
17,1,3,5,M,11
17,2,7,2,H,11
18,1,5,4,M,11
18,2,7,3,M,11
19,1,4,4,H,10
19,2,6,1,M,11
20,1,3,4,M,10
20,2,4,2,M,11
21,1,4,3,H,9
21,2,8,2,M,11
22,1,3,3,M,9
22,2,3,3,H,10
23,1,5,3,M,9
23,2,5,1,H,9
24,1,4,2,H,8
24,2,3,4,M,9
25,1,5,2,M,8
25,2,4,4,M,9
26,1,3,2,M,8
26,2,4,1,H,8
27,1,4,1,H,7
27,2,3,1,H,7
28,1,3,1,H,6
28,2,7,1,M,7
29,1,3,0,M,6
29,2,3,2,M,7
30,1,2,1,M,6
30,2,3,0,M,7
31,1,4,0,M,6
31,2,2,3,H,6
32,1,5,1,H,5
32,2,5,0,M,6
33,1,6,1,H,4
33,2,2,2,M,6
34,1,6,2,M,4
34,2,2,1,M,6
35,1,5,0,M,4
35,2,1,3,M,6
36,1,7,1,H,3
36,2,2,4,M,6
37,1,7,0,M,3
37,2,0,3,M,6
38,1,7,2,M,3
38,2,2,9,M,6
39,1,8,1,M,3
39,2,0,9,M,6
40,1,6,0,M,3
40,2,0,1,M,6
41,1,2,2,M,3
41,2,9,9,M,6
42,1,1,8,M,3
42,2,5,8,M,6
43,1,1,6,M,3
43,2,9,3,M,6
44,1,6,9,M,3
44,2,3,7,M,6
45,1,7,4,M,3
45,2,9,2,M,6
46,1,8,3,M,3
46,2,0,5,M,6
47,1,0,9,M,3
47,2,6,5,M,6
48,1,3,7,M,3
48,2,6,9,H,5
49,1,2,9,H,2
49,2,5,9,M,5
50,1,1,9,M,2
50,2,6,8,H,4
51,1,2,8,M,2
51,2,7,8,M,4
52,1,3,9,H,1
52,2,7,9,M,4
53,1,3,8,M,1
53,2,6,7,M,4
54,1,4,9,H,0
54,2,0,7,M,4
55,1,5,9,M,0
55,2,4,8,M,4
56,1,4,8,M,0
56,2,1,6,M,4
57,1,7,9,M,0
57,2,1,5,M,4
58,1,1,3,M,0
58,2,8,3,H,3
59,1,9,3,M,0
59,2,8,4,H,2
60,1,8,7,M,0
60,2,8,5,H,1
61,1,1,4,M,0
61,2,7,5,M,1
62,1,2,6,M,0
62,2,8,6,H,0
