Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,5,M,17
1,2,7,2,M,17
2,1,5,9,H,16
2,2,8,8,H,16
3,1,4,9,M,16
3,2,9,8,M,16
4,1,6,9,H,15
4,2,8,9,M,16
5,1,5,8,M,15
5,2,8,7,H,15
6,1,7,9,H,14
6,2,7,7,M,15
7,1,8,9,H,13
7,2,8,6,H,14
8,1,9,9,M,13
8,2,9,6,M,14
9,1,8,8,M,13
9,2,7,8,M,14
10,1,7,8,M,13
10,2,8,5,M,14
11,1,6,8,M,13
11,2,9,7,M,14
12,1,3,3,M,13
12,2,7,6,M,14
13,1,9,5,M,13
13,2,1,0,M,14
14,1,0,4,M,13
14,2,2,3,M,14
15,1,1,2,M,13
15,2,0,4,M,14
16,1,9,8,M,13
16,2,4,0,H,13
17,1,4,1,M,13
17,2,5,0,H,12
18,1,1,7,M,13
18,2,5,1,M,12
19,1,7,5,M,13
19,2,6,0,M,12
20,1,7,7,M,13
20,2,4,1,M,12
21,1,2,8,M,13
21,2,3,0,H,11
22,1,0,0,M,13
22,2,3,1,M,11
23,1,6,6,M,13
23,2,2,0,M,11
24,1,2,4,M,13
24,2,8,1,M,11
25,1,7,2,H,12
25,2,1,2,M,11
26,1,6,2,H,11
26,2,6,1,M,11
27,1,8,2,M,11
27,2,2,2,M,11
28,1,7,1,M,11
28,2,1,8,M,11
29,1,6,3,H,10
29,2,6,3,M,11
30,1,6,4,H,9
30,2,7,3,M,11
31,1,6,5,H,8
31,2,8,2,M,11
32,1,5,3,M,8
32,2,5,6,M,11
33,1,7,4,M,8
33,2,9,3,M,11
34,1,5,4,M,8
34,2,4,2,M,11
35,1,5,2,H,7
35,2,9,0,H,10
36,1,6,1,M,7
36,2,8,0,H,9
37,1,5,1,M,7
37,2,7,0,M,9
38,1,4,2,H,6
38,2,9,1,M,9
39,1,3,2,H,5
39,2,8,4,H,8
40,1,2,2,H,4
40,2,7,4,H,7
41,1,2,3,M,4
41,2,8,3,M,7
42,1,2,1,H,3
42,2,9,4,M,7
43,1,1,1,M,3
43,2,6,4,H,6
44,1,2,0,M,3
44,2,7,5,M,6
45,1,3,1,M,3
45,2,6,5,M,6
46,1,4,3,M,3
46,2,5,4,H,5
47,1,7,3,M,3
47,2,4,4,H,4
48,1,5,5,M,3
48,2,4,3,M,4
49,1,3,5,M,3
49,2,3,4,M,4
50,1,4,8,M,3
50,2,4,5,M,4
51,1,4,6,H,2
51,2,5,5,M,4
52,1,4,7,M,2
52,2,5,3,M,4
53,1,5,6,H,1
53,2,9,9,M,4
54,1,3,6,H,0
54,2,6,6,M,4
55,1,3,7,M,0
55,2,2,8,M,4
56,1,2,6,M,0
56,2,4,8,H,3
57,1,5,7,M,0
57,2,3,8,H,2
58,1,7,0,M,0
58,2,3,9,M,2
59,1,9,7,M,0
59,2,4,9,M,2
60,1,0,5,M,0
60,2,4,7,M,2
61,1,1,6,M,0
61,2,3,7,M,2
62,1,1,4,M,0
62,2,5,8,H,1
63,1,6,0,M,0
63,2,5,9,M,1
64,1,9,2,M,0
64,2,6,8,H,0
