Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,0,8,M,17
1,2,7,8,M,17
2,1,0,2,M,17
2,2,0,3,M,17
3,1,4,9,M,17
3,2,2,9,M,17
4,1,6,1,M,17
4,2,7,5,H,16
5,1,3,1,M,17
5,2,7,4,H,15
6,1,7,0,M,17
6,2,7,3,H,14
7,1,9,9,H,16
7,2,6,5,M,14
8,1,9,8,M,16
8,2,7,2,H,13
9,1,8,9,H,15
9,2,7,1,M,13
10,1,8,8,M,15
10,2,6,4,M,13
11,1,7,9,H,14
11,2,6,2,M,13
12,1,6,9,H,13
12,2,8,2,M,13
13,1,5,9,H,12
13,2,8,3,M,13
14,1,7,8,M,12
14,2,8,4,M,13
15,1,6,8,H,11
15,2,6,3,M,13
16,1,6,7,H,10
16,2,8,5,M,13
17,1,7,7,M,10
17,2,7,6,H,12
18,1,5,8,M,10
18,2,8,6,M,12
19,1,5,7,M,10
19,2,7,7,M,12
20,1,6,6,H,9
20,2,6,6,M,12
21,1,6,5,H,8
21,2,8,9,M,12
22,1,5,5,M,8
22,2,0,7,M,12
23,1,7,6,M,8
23,2,9,4,M,12
24,1,7,5,M,8
24,2,4,9,M,12
25,1,6,4,M,8
25,2,0,6,M,12
26,1,5,6,M,8
26,2,2,0,H,11
27,1,0,3,M,8
27,2,1,0,M,11
28,1,2,7,M,8
28,2,3,0,M,11
29,1,5,3,M,8
29,2,2,1,H,10
30,1,8,3,H,7
30,2,1,1,M,10
31,1,7,3,M,7
31,2,2,2,M,10
32,1,8,2,M,7
32,2,3,1,M,10
33,1,9,3,M,7
33,2,9,7,H,9
34,1,8,4,H,6
34,2,8,7,M,9
35,1,9,4,M,6
35,2,9,6,M,9
36,1,7,4,M,6
36,2,9,8,H,8
37,1,8,5,H,5
37,2,9,9,H,7
38,1,9,5,M,5
38,2,8,8,M,7
39,1,8,6,M,5
39,2,3,3,M,7
40,1,7,1,M,5
40,2,8,0,M,7
41,1,1,8,M,5
41,2,3,9,M,7
42,1,3,2,M,5
42,2,2,4,M,7
43,1,0,1,M,5
43,2,2,6,M,7
44,1,5,2,M,5
44,2,5,1,H,6
45,1,4,8,M,5
45,2,5,2,H,5
46,1,4,1,M,5
46,2,5,0,M,5
47,1,1,6,M,5
47,2,4,1,M,5
48,1,2,2,M,5
48,2,4,2,M,5
49,1,9,7,M,5
49,2,5,3,H,4
50,1,4,5,M,5
50,2,4,3,H,3
51,1,1,5,M,5
51,2,4,4,H,2
52,1,3,9,M,5
52,2,5,4,M,2
53,1,8,1,M,5
53,2,3,4,M,2
54,1,5,4,M,5
54,2,4,5,H,1
55,1,2,8,M,5
55,2,6,1,M,1
56,1,1,4,M,5
56,2,5,5,M,1
57,1,6,3,M,5
57,2,3,5,M,1
58,1,2,5,H,4
58,2,4,6,H,0
59,1,2,4,H,3
59,2,4,7,M,0
60,1,2,6,H,2
60,2,5,6,M,0
61,1,2,3,M,2
61,2,3,6,M,0
62,1,3,4,M,2
62,2,0,9,M,0
63,1,3,6,M,2
63,2,0,0,M,0
64,1,3,5,M,2
64,2,9,2,M,0
65,1,4,7,M,2
65,2,8,1,M,0
66,1,1,7,M,2
66,2,1,8,M,0
67,1,9,0,M,2
67,2,2,7,M,0
68,1,4,2,M,2
68,2,9,3,M,0
69,1,4,4,M,2
69,2,1,3,M,0
70,1,1,1,M,2
70,2,2,8,M,0
71,1,0,6,M,2
71,2,9,0,M,0
72,1,2,1,M,2
72,2,3,7,M,0
73,1,2,0,M,2
73,2,2,5,M,0
74,1,0,4,M,2
74,2,1,2,M,0
75,1,5,1,M,2
75,2,0,4,M,0
76,1,0,5,M,2
76,2,3,8,M,0
77,1,3,7,M,2
77,2,4,8,M,0
78,1,1,2,M,2
78,2,1,7,M,0
79,1,7,2,M,2
79,2,9,5,M,0
80,1,0,0,M,2
80,2,5,7,M,0
81,1,9,6,M,2
81,2,7,0,M,0
82,1,1,3,M,2
82,2,7,9,M,0
83,1,5,0,M,2
83,2,0,1,M,0
84,1,8,7,M,2
84,2,6,8,M,0
85,1,9,2,M,2
85,2,5,8,M,0
86,1,3,0,H,1
86,2,1,4,M,0
87,1,4,0,H,0
87,2,0,2,M,0
