Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,8,M,17
1,2,9,8,M,17
2,1,3,6,M,17
2,2,3,7,M,17
3,1,6,1,M,17
3,2,2,0,H,16
4,1,5,5,M,17
4,2,3,0,H,15
5,1,9,8,M,17
5,2,4,0,H,14
6,1,8,1,M,17
6,2,3,1,M,14
7,1,5,4,M,17
7,2,5,0,M,14
8,1,6,6,M,17
8,2,2,1,M,14
9,1,5,7,H,16
9,2,1,0,H,13
10,1,4,7,H,15
10,2,4,1,H,12
11,1,5,6,M,15
11,2,1,1,M,12
12,1,3,7,H,14
12,2,5,1,M,12
13,1,4,8,M,14
13,2,4,2,H,11
14,1,4,6,M,14
14,2,5,2,M,11
15,1,5,8,M,14
15,2,0,0,M,11
16,1,2,7,M,14
16,2,3,2,M,11
17,1,6,7,H,13
17,2,4,3,H,10
18,1,7,7,H,12
18,2,3,3,M,10
19,1,7,8,M,12
19,2,5,3,M,10
20,1,8,7,M,12
20,2,4,4,H,9
21,1,7,6,M,12
21,2,5,4,M,9
22,1,6,8,M,12
22,2,4,5,H,8
23,1,6,9,H,11
23,2,3,5,M,8
24,1,5,9,H,10
24,2,5,5,M,8
25,1,7,9,H,9
25,2,3,4,M,8
26,1,8,9,H,8
26,2,4,6,M,8
27,1,9,9,M,8
27,2,0,6,H,7
28,1,8,8,M,8
28,2,1,6,M,7
29,1,4,9,M,8
29,2,0,5,M,7
30,1,5,3,M,8
30,2,0,7,H,6
31,1,9,1,M,8
31,2,0,8,M,6
32,1,0,5,M,8
32,2,1,7,M,6
33,1,0,3,M,8
33,2,4,8,M,6
34,1,3,5,M,8
34,2,0,4,M,6
35,1,2,0,M,8
35,2,7,0,M,6
36,1,5,2,M,8
36,2,9,7,M,6
37,1,1,2,H,7
37,2,7,6,M,6
38,1,2,2,H,6
38,2,6,5,H,5
39,1,0,2,M,6
39,2,6,4,M,5
40,1,3,2,H,5
40,2,6,6,H,4
41,1,4,2,M,5
41,2,7,5,M,4
42,1,3,3,M,5
42,2,5,6,H,3
43,1,3,1,M,5
43,2,6,7,H,2
44,1,1,1,M,5
44,2,6,8,M,2
45,1,2,1,M,5
45,2,7,7,M,2
46,1,2,3,M,5
46,2,5,7,H,1
47,1,1,3,H,4
47,2,5,8,H,0
48,1,1,4,H,3
48,2,4,7,M,0
49,1,1,5,H,2
49,2,5,9,M,0
50,1,2,5,M,2
50,2,1,2,M,0
51,1,0,4,M,2
51,2,3,8,M,0
52,1,2,4,M,2
52,2,9,0,M,0
53,1,1,6,M,2
53,2,9,3,M,0
54,1,9,5,M,2
54,2,8,6,M,0
55,1,3,9,M,2
55,2,2,4,M,0
56,1,4,3,M,2
56,2,4,9,M,0
57,1,7,3,M,2
57,2,1,5,M,0
58,1,9,3,M,2
58,2,8,1,M,0
59,1,8,4,M,2
59,2,1,3,M,0
60,1,5,1,M,2
60,2,0,2,M,0
61,1,1,8,M,2
61,2,2,3,M,0
62,1,6,4,M,2
62,2,1,8,M,0
63,1,4,5,M,2
63,2,9,6,M,0
64,1,7,4,M,2
64,2,1,9,M,0
65,1,7,0,M,2
65,2,7,2,M,0
66,1,7,5,M,2
66,2,6,1,M,0
67,1,2,6,M,2
67,2,8,9,M,0
68,1,8,6,M,2
68,2,7,4,M,0
69,1,6,2,M,2
69,2,8,8,M,0
70,1,6,5,M,2
70,2,2,5,M,0
71,1,9,6,M,2
71,2,2,9,M,0
72,1,9,2,M,2
72,2,0,3,M,0
73,1,0,9,M,2
73,2,6,9,M,0
74,1,8,3,M,2
74,2,0,9,M,0
75,1,0,8,M,2
75,2,8,7,M,0
76,1,0,6,M,2
76,2,8,3,M,0
77,1,0,1,M,2
77,2,2,7,M,0
78,1,8,2,M,2
78,2,2,2,M,0
79,1,7,1,M,2
79,2,7,9,M,0
80,1,0,7,M,2
80,2,7,1,M,0
81,1,9,0,M,2
81,2,6,2,M,0
82,1,8,5,M,2
82,2,7,3,M,0
83,1,4,1,M,2
83,2,8,5,M,0
84,1,9,4,M,2
84,2,8,2,M,0
85,1,2,8,M,2
85,2,3,6,M,0
86,1,6,0,M,2
86,2,2,8,M,0
87,1,0,0,M,2
87,2,2,6,M,0
88,1,2,9,M,2
88,2,9,4,M,0
89,1,1,7,M,2
89,2,1,4,M,0
90,1,4,4,H,1
90,2,6,0,M,0
91,1,3,4,H,0
91,2,9,1,M,0
