Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,9,M,17
1,2,5,4,H,16
2,1,6,0,M,17
2,2,5,3,H,15
3,1,5,0,M,17
3,2,4,3,M,15
4,1,6,7,H,16
4,2,5,5,M,15
5,1,5,7,M,16
5,2,5,2,H,14
6,1,6,6,H,15
6,2,4,4,M,14
7,1,5,6,M,15
7,2,4,2,M,14
8,1,6,8,M,15
8,2,5,1,M,14
9,1,7,6,M,15
9,2,6,3,M,14
10,1,7,7,M,15
10,2,6,4,M,14
11,1,6,5,H,14
11,2,6,2,M,14
12,1,7,5,M,14
12,2,8,2,M,14
13,1,5,5,M,14
13,2,2,4,M,14
14,1,6,4,M,14
14,2,3,6,M,14
15,1,4,6,M,14
15,2,6,5,M,14
16,1,4,4,M,14
16,2,3,7,M,14
17,1,3,2,M,14
17,2,8,1,M,14
18,1,1,8,M,14
18,2,4,6,M,14
19,1,9,9,M,14
19,2,3,9,M,14
20,1,4,3,M,14
20,2,6,9,M,14
21,1,3,6,H,13
21,2,1,3,M,14
22,1,2,6,H,12
22,2,4,9,M,14
23,1,2,7,M,12
23,2,5,0,M,14
24,1,3,7,H,11
24,2,0,7,M,14
25,1,2,5,M,11
25,2,7,5,H,13
26,1,3,5,H,10
26,2,8,5,M,13
27,1,1,6,H,9
27,2,7,4,H,12
28,1,3,8,H,8
28,2,8,4,H,11
29,1,1,7,M,8
29,2,9,4,M,11
30,1,4,7,M,8
30,2,7,6,H,10
31,1,3,9,H,7
31,2,8,6,M,10
32,1,0,6,M,7
32,2,7,3,M,10
33,1,4,9,M,7
33,2,8,3,H,9
34,1,2,8,M,7
34,2,9,3,M,9
35,1,4,8,M,7
35,2,7,7,H,8
36,1,1,5,M,7
36,2,6,7,M,8
37,1,2,9,M,7
37,2,6,6,M,8
38,1,3,4,M,7
38,2,8,7,M,8
39,1,4,5,M,7
39,2,7,8,H,7
40,1,9,7,M,7
40,2,8,8,M,7
41,1,8,3,M,7
41,2,7,9,M,7
42,1,9,6,M,7
42,2,6,8,M,7
43,1,7,4,M,7
43,2,9,6,M,7
44,1,5,1,M,7
44,2,3,3,M,7
45,1,5,9,M,7
45,2,6,1,M,7
46,1,5,3,M,7
46,2,2,9,H,6
47,1,0,7,M,7
47,2,1,9,M,6
48,1,0,5,M,7
48,2,2,8,H,5
49,1,0,1,M,7
49,2,2,7,H,4
50,1,2,2,M,7
50,2,1,8,M,4
51,1,1,9,M,7
51,2,2,6,M,4
52,1,9,3,M,7
52,2,1,7,M,4
53,1,0,9,M,7
53,2,3,8,M,4
54,1,4,0,M,7
54,2,9,0,M,4
55,1,4,1,M,7
55,2,4,5,M,4
56,1,8,7,H,6
56,2,1,2,M,4
57,1,8,6,H,5
57,2,4,0,M,4
58,1,8,5,M,5
58,2,4,7,M,4
59,1,8,8,H,4
59,2,2,5,M,4
60,1,9,8,M,4
60,2,9,9,M,4
61,1,8,9,H,3
61,2,4,1,M,4
62,1,7,9,M,3
62,2,7,0,M,4
63,1,7,8,M,3
63,2,0,6,M,4
64,1,1,4,M,3
64,2,1,0,M,4
65,1,7,3,M,3
65,2,3,4,M,4
66,1,0,3,M,3
66,2,3,1,M,4
67,1,1,0,M,3
67,2,0,5,M,4
68,1,2,0,M,3
68,2,1,4,M,4
69,1,2,4,M,3
69,2,7,1,M,4
70,1,5,4,M,3
70,2,2,3,M,4
71,1,0,4,M,3
71,2,2,1,M,4
72,1,3,1,M,3
72,2,9,2,M,4
73,1,9,5,M,3
73,2,2,2,M,4
74,1,3,3,M,3
74,2,6,0,M,4
75,1,6,2,M,3
75,2,5,6,M,4
76,1,6,3,M,3
76,2,5,7,M,4
77,1,9,4,M,3
77,2,9,1,M,4
78,1,8,0,H,2
78,2,9,7,M,4
79,1,8,1,H,1
79,2,5,8,M,4
80,1,9,0,M,1
80,2,7,2,M,4
81,1,8,2,H,0
81,2,9,8,M,4
82,1,9,1,M,0
82,2,2,0,M,4
83,1,7,1,M,0
83,2,1,5,M,4
84,1,9,2,M,0
84,2,1,6,M,4
85,1,7,0,M,0
85,2,5,9,M,4
86,1,7,2,M,0
86,2,0,2,H,3
87,1,2,3,M,0
87,2,0,1,H,2
88,1,1,1,M,0
88,2,0,3,H,1
89,1,5,2,M,0
89,2,0,4,H,0
