Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,0,H,16
1,2,1,9,M,17
2,1,5,0,H,15
2,2,7,4,H,16
3,1,6,0,H,14
3,2,6,4,M,16
4,1,5,1,M,14
4,2,7,3,H,15
5,1,4,1,M,14
5,2,8,4,M,15
6,1,7,0,M,14
6,2,7,2,M,15
7,1,6,1,M,14
7,2,7,5,H,14
8,1,3,0,H,13
8,2,6,5,M,14
9,1,2,0,M,13
9,2,8,3,M,14
10,1,3,1,M,13
10,2,6,3,H,13
11,1,5,7,H,12
11,2,7,6,M,13
12,1,5,8,H,11
12,2,6,2,M,13
13,1,4,8,M,11
13,2,8,5,M,13
14,1,6,7,M,11
14,2,5,3,H,12
15,1,4,7,H,10
15,2,5,2,M,12
16,1,5,9,M,10
16,2,4,3,H,11
17,1,5,6,M,10
17,2,3,3,H,10
18,1,3,7,H,9
18,2,3,4,M,10
19,1,3,8,M,9
19,2,3,2,M,10
20,1,6,8,H,8
20,2,2,3,M,10
21,1,4,6,M,8
21,2,5,4,M,10
22,1,7,8,M,8
22,2,4,2,M,10
23,1,6,9,M,8
23,2,4,4,M,10
24,1,3,6,M,8
24,2,8,7,M,10
25,1,2,7,H,7
25,2,5,8,M,10
26,1,2,8,M,7
26,2,4,7,M,10
27,1,2,6,M,7
27,2,9,3,M,10
28,1,1,7,H,6
28,2,8,2,M,10
29,1,0,7,M,6
29,2,2,0,M,10
30,1,1,6,M,6
30,2,5,1,M,10
31,1,1,8,M,6
31,2,9,5,M,10
32,1,2,5,M,6
32,2,4,0,M,10
33,1,9,4,M,6
33,2,0,0,M,10
34,1,8,3,M,6
34,2,5,7,H,9
35,1,7,9,M,6
35,2,5,6,M,9
36,1,4,3,M,6
36,2,6,7,H,8
37,1,9,3,M,6
37,2,7,7,H,7
38,1,0,3,M,6
38,2,6,8,M,7
39,1,0,1,M,6
39,2,7,8,M,7
40,1,9,0,M,6
40,2,6,6,M,7
41,1,9,9,M,6
41,2,4,5,H,6
42,1,3,9,M,6
42,2,4,6,M,6
43,1,1,4,M,6
43,2,3,5,H,5
44,1,8,1,M,6
44,2,5,5,H,4
45,1,6,5,M,6
45,2,3,6,M,4
46,1,0,0,M,6
46,2,2,5,H,3
47,1,2,4,M,6
47,2,2,6,M,3
48,1,9,8,M,6
48,2,2,4,M,3
49,1,3,4,M,6
49,2,1,5,M,3
50,1,6,6,M,6
50,2,8,9,M,3
51,1,0,6,M,6
51,2,9,8,M,3
52,1,0,2,M,6
52,2,2,8,M,3
53,1,7,1,M,6
53,2,6,0,M,3
54,1,3,5,M,6
54,2,6,1,M,3
55,1,0,5,M,6
55,2,0,8,M,3
56,1,1,5,M,6
56,2,1,4,M,3
57,1,8,6,H,5
57,2,2,9,M,3
58,1,8,5,M,5
58,2,9,6,M,3
59,1,9,6,M,5
59,2,0,7,H,2
60,1,8,7,H,4
60,2,0,6,H,1
61,1,8,8,H,3
61,2,0,5,H,0
62,1,7,6,H,2
62,2,1,6,M,0
63,1,7,5,H,1
63,2,0,4,M,0
64,1,7,7,M,1
64,2,1,7,M,0
65,1,7,4,H,0
65,2,1,1,M,0
