Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,9,M,17
1,2,0,3,M,17
2,1,5,2,M,17
2,2,6,9,M,17
3,1,1,8,M,17
3,2,9,3,M,17
4,1,2,9,M,17
4,2,5,8,M,17
5,1,5,6,M,17
5,2,0,7,M,17
6,1,2,3,H,16
6,2,1,5,M,17
7,1,1,3,H,15
7,2,0,8,M,17
8,1,3,3,H,14
8,2,5,3,M,17
9,1,2,4,M,14
9,2,9,8,M,17
10,1,3,2,M,14
10,2,8,4,M,17
11,1,1,2,H,13
11,2,7,5,H,16
12,1,2,2,M,13
12,2,7,4,M,16
13,1,3,4,M,13
13,2,6,5,H,15
14,1,1,4,M,13
14,2,7,6,M,15
15,1,4,3,H,12
15,2,5,5,H,14
16,1,0,2,M,12
16,2,6,6,M,14
17,1,4,2,M,12
17,2,8,5,M,14
18,1,5,3,H,11
18,2,6,4,M,14
19,1,1,1,H,10
19,2,4,5,H,13
20,1,0,3,M,10
20,2,5,4,H,12
21,1,2,1,M,10
21,2,3,5,M,12
22,1,6,3,M,10
22,2,4,4,H,11
23,1,5,4,M,10
23,2,4,3,M,11
24,1,1,0,M,10
24,2,5,6,M,11
25,1,0,1,M,10
25,2,4,6,M,11
26,1,4,4,M,10
26,2,3,4,M,11
27,1,6,8,M,10
27,2,5,9,M,11
28,1,4,5,H,9
28,2,9,2,H,10
29,1,3,5,H,8
29,2,9,1,H,9
30,1,4,6,M,8
30,2,9,0,H,8
31,1,3,6,M,8
31,2,8,1,M,8
32,1,2,5,M,8
32,2,8,2,M,8
33,1,5,5,H,7
33,2,8,0,M,8
34,1,6,5,M,7
34,2,9,4,M,8
35,1,7,2,M,7
35,2,6,7,M,8
36,1,4,1,M,7
36,2,2,4,M,8
37,1,6,9,M,7
37,2,4,7,M,8
38,1,4,0,M,7
38,2,1,6,M,8
39,1,3,1,M,7
39,2,0,0,M,8
40,1,6,4,M,7
40,2,1,1,H,7
41,1,9,8,M,7
41,2,1,2,M,7
42,1,3,9,M,7
42,2,2,1,H,6
43,1,9,4,M,7
43,2,0,1,M,6
44,1,5,8,M,7
44,2,3,1,H,5
45,1,9,3,M,7
45,2,2,0,M,5
46,1,8,2,M,7
46,2,3,0,M,5
47,1,0,5,M,7
47,2,4,1,H,4
48,1,9,7,H,6
48,2,1,0,M,4
49,1,9,6,M,6
49,2,4,0,M,4
50,1,8,7,H,5
50,2,5,1,H,3
51,1,7,7,H,4
51,2,4,2,M,3
52,1,8,8,M,4
52,2,5,0,M,3
53,1,7,6,M,4
53,2,3,2,M,3
54,1,8,6,M,4
54,2,5,2,M,3
55,1,7,8,M,4
55,2,6,1,M,3
56,1,6,7,H,3
56,2,2,2,M,3
57,1,6,6,M,3
57,2,0,5,M,3
58,1,5,7,H,2
58,2,0,9,M,3
59,1,4,7,M,2
59,2,9,5,M,3
60,1,2,7,M,2
60,2,8,7,M,3
61,1,8,9,M,2
61,2,0,2,M,3
62,1,5,9,M,2
62,2,8,9,M,3
63,1,8,5,H,1
63,2,4,8,M,3
64,1,7,5,H,0
64,2,3,3,M,3
65,1,8,4,M,0
65,2,7,3,M,3
66,1,9,5,M,0
66,2,8,6,M,3
67,1,7,4,M,0
67,2,4,9,M,3
68,1,3,7,M,0
68,2,3,9,M,3
69,1,9,0,M,0
69,2,3,8,M,3
70,1,9,1,M,0
70,2,7,0,M,3
71,1,1,5,M,0
71,2,3,6,M,3
72,1,6,0,M,0
72,2,1,3,M,3
73,1,1,6,M,0
73,2,5,7,M,3
74,1,0,4,M,0
74,2,1,7,M,3
75,1,2,6,M,0
75,2,2,5,M,3
76,1,7,0,M,0
76,2,2,9,M,3
77,1,2,8,M,0
77,2,9,7,M,3
78,1,0,8,M,0
78,2,7,9,M,3
79,1,8,1,M,0
79,2,6,2,M,3
80,1,7,3,M,0
80,2,7,7,M,3
81,1,6,2,M,0
81,2,2,8,H,2
82,1,5,1,M,0
82,2,2,7,H,1
83,1,0,7,M,0
83,2,1,8,M,1
84,1,7,9,M,0
84,2,3,7,M,1
85,1,0,0,M,0
85,2,2,6,H,0
