Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,7,M,17
1,2,3,9,M,17
2,1,4,9,M,17
2,2,8,1,M,17
3,1,7,0,M,17
3,2,5,8,M,17
4,1,1,3,H,16
4,2,4,7,H,16
5,1,1,2,M,16
5,2,4,6,M,16
6,1,2,3,M,16
6,2,3,7,M,16
7,1,1,4,H,15
7,2,4,8,M,16
8,1,0,4,M,15
8,2,5,7,H,15
9,1,0,3,M,15
9,2,5,6,M,15
10,1,1,5,H,14
10,2,6,7,H,14
11,1,2,4,M,14
11,2,7,7,H,13
12,1,2,5,H,13
12,2,6,6,M,13
13,1,2,6,M,13
13,2,7,6,H,12
14,1,1,6,M,13
14,2,7,8,M,12
15,1,3,5,H,12
15,2,8,6,M,12
16,1,4,5,H,11
16,2,6,8,M,12
17,1,3,4,M,11
17,2,7,5,H,11
18,1,4,6,M,11
18,2,6,5,M,11
19,1,3,6,M,11
19,2,7,4,H,10
20,1,5,5,M,11
20,2,6,4,M,10
21,1,0,5,H,10
21,2,8,7,M,10
22,1,4,4,H,9
22,2,7,3,H,9
23,1,0,6,M,9
23,2,8,5,H,8
24,1,4,3,H,8
24,2,7,2,M,8
25,1,4,2,H,7
25,2,8,4,H,7
26,1,4,1,M,7
26,2,9,4,M,7
27,1,5,2,M,7
27,2,6,3,M,7
28,1,5,3,M,7
28,2,9,5,M,7
29,1,5,4,M,7
29,2,8,3,M,7
30,1,3,2,M,7
30,2,1,6,M,7
31,1,3,3,M,7
31,2,9,0,M,7
32,1,6,3,M,7
32,2,6,9,M,7
33,1,6,9,M,7
33,2,3,0,M,7
34,1,7,1,H,6
34,2,1,8,H,6
35,1,8,1,M,6
35,2,1,9,M,6
36,1,7,2,H,5
36,2,0,8,M,6
37,1,6,1,M,5
37,2,1,7,M,6
38,1,8,2,M,5
38,2,2,8,H,5
39,1,6,2,M,5
39,2,3,8,H,4
40,1,7,3,H,4
40,2,2,7,M,4
41,1,8,3,M,4
41,2,2,9,M,4
42,1,7,4,M,4
42,2,6,1,M,4
43,1,8,8,M,4
43,2,8,9,M,4
44,1,9,6,M,4
44,2,2,1,M,4
45,1,8,0,M,4
45,2,0,9,M,4
46,1,5,1,M,4
46,2,5,9,M,4
47,1,5,8,M,4
47,2,9,3,M,4
48,1,4,7,M,4
48,2,1,3,M,4
49,1,8,7,M,4
49,2,0,5,M,4
50,1,9,8,M,4
50,2,2,4,M,4
51,1,7,5,M,4
51,2,2,6,M,4
52,1,8,4,M,4
52,2,2,5,H,3
53,1,3,7,M,4
53,2,1,5,H,2
54,1,0,1,M,4
54,2,1,4,M,2
55,1,0,7,M,4
55,2,3,5,H,1
56,1,4,0,M,4
56,2,3,4,M,1
57,1,9,1,M,4
57,2,4,5,H,0
58,1,5,6,M,4
58,2,3,6,M,0
59,1,0,8,M,4
59,2,4,4,M,0
60,1,6,0,M,4
60,2,5,5,M,0
61,1,9,3,M,4
61,2,4,9,M,0
62,1,1,8,M,4
62,2,9,9,M,0
63,1,1,9,M,4
63,2,5,2,M,0
64,1,8,6,M,4
64,2,8,2,M,0
65,1,7,8,H,3
65,2,9,1,M,0
66,1,7,7,H,2
66,2,8,0,M,0
67,1,7,6,H,1
67,2,5,3,M,0
68,1,6,8,M,1
68,2,5,4,M,0
69,1,6,6,M,1
69,2,3,3,M,0
70,1,6,7,M,1
70,2,4,3,M,0
71,1,7,9,H,0
71,2,0,0,M,0
