Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,7,H,16
1,2,5,2,M,17
2,1,7,7,H,15
2,2,0,0,M,17
3,1,6,8,M,15
3,2,3,4,H,16
4,1,6,6,H,14
4,2,3,5,H,15
5,1,6,5,M,14
5,2,3,3,H,14
6,1,5,6,H,13
6,2,2,4,M,14
7,1,4,6,H,12
7,2,3,6,H,13
8,1,8,7,M,12
8,2,4,3,M,13
9,1,3,6,M,12
9,2,2,3,M,13
10,1,5,7,H,11
10,2,3,2,M,13
11,1,7,8,M,11
11,2,3,7,M,13
12,1,5,8,M,11
12,2,4,6,M,13
13,1,4,7,M,11
13,2,4,5,M,13
14,1,7,6,M,11
14,2,4,4,M,13
15,1,4,5,M,11
15,2,2,5,M,13
16,1,5,5,M,11
16,2,2,6,M,13
17,1,9,1,M,11
17,2,0,4,M,13
18,1,7,2,H,10
18,2,5,3,M,13
19,1,7,1,M,10
19,2,8,3,M,13
20,1,6,2,H,9
20,2,8,7,M,13
21,1,6,3,M,9
21,2,7,7,M,13
22,1,8,2,M,9
22,2,0,6,M,13
23,1,5,2,H,8
23,2,4,9,M,13
24,1,5,3,M,8
24,2,0,3,M,13
25,1,7,3,M,8
25,2,9,6,M,13
26,1,6,1,M,8
26,2,5,5,H,12
27,1,5,1,M,8
27,2,5,6,H,11
28,1,4,2,H,7
28,2,5,7,H,10
29,1,3,2,H,6
29,2,5,4,M,10
30,1,4,1,M,6
30,2,5,8,M,10
31,1,2,2,M,6
31,2,6,7,M,10
32,1,4,3,M,6
32,2,6,5,M,10
33,1,3,1,M,6
33,2,4,7,M,10
34,1,3,3,M,6
34,2,6,6,M,10
35,1,2,6,H,5
35,2,3,8,M,10
36,1,1,6,M,5
36,2,3,9,M,10
37,1,2,7,M,5
37,2,1,2,M,10
38,1,2,5,H,4
38,2,2,0,M,10
39,1,3,5,M,4
39,2,8,6,M,10
40,1,2,4,H,3
40,2,6,9,H,9
41,1,1,5,M,3
41,2,5,9,M,9
42,1,2,3,H,2
42,2,6,8,M,9
43,1,3,4,M,2
43,2,7,9,H,8
44,1,1,4,M,2
44,2,7,8,M,8
45,1,1,3,M,2
45,2,8,9,H,7
46,1,8,4,M,2
46,2,9,9,M,7
47,1,1,2,M,2
47,2,8,8,M,7
48,1,8,9,M,2
48,2,5,0,M,7
49,1,0,0,M,2
49,2,2,2,M,7
50,1,9,7,M,2
50,2,5,1,M,7
51,1,3,9,M,2
51,2,9,8,M,7
52,1,0,4,H,1
52,2,0,5,M,7
53,1,0,5,M,1
53,2,9,2,M,7
54,1,0,3,H,0
54,2,8,5,M,7
55,1,0,2,M,0
55,2,2,1,M,7
56,1,1,0,M,0
56,2,9,0,M,7
57,1,5,9,M,0
57,2,7,2,M,7
58,1,0,6,M,0
58,2,2,9,M,7
59,1,2,8,M,0
59,2,2,8,M,7
60,1,2,9,M,0
60,2,7,4,M,7
61,1,2,0,M,0
61,2,7,1,M,7
62,1,0,8,M,0
62,2,7,3,M,7
63,1,7,0,M,0
63,2,6,3,M,7
64,1,9,6,M,0
64,2,4,0,M,7
65,1,8,6,M,0
65,2,1,4,M,7
66,1,6,0,M,0
66,2,7,0,M,7
67,1,7,5,M,0
67,2,1,1,M,7
68,1,9,8,M,0
68,2,1,5,H,6
69,1,9,4,M,0
69,2,1,6,H,5
70,1,0,1,M,0
70,2,1,7,H,4
71,1,4,8,M,0
71,2,1,8,H,3
72,1,9,3,M,0
72,2,0,7,M,3
73,1,1,7,M,0
73,2,2,7,M,3
74,1,1,1,M,0
74,2,0,8,M,3
75,1,8,8,M,0
75,2,1,9,H,2
76,1,2,1,M,0
76,2,0,9,M,2
77,1,4,4,M,0
77,2,6,2,M,2
78,1,8,1,M,0
78,2,9,7,M,2
79,1,1,8,M,0
79,2,3,0,M,2
80,1,3,8,M,0
80,2,7,6,H,1
81,1,9,5,M,0
81,2,7,5,H,0
