Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,2,M,17
1,2,7,4,M,17
2,1,7,4,M,17
2,2,7,5,M,17
3,1,3,1,M,17
3,2,0,9,M,17
4,1,1,8,M,17
4,2,1,2,M,17
5,1,8,7,M,17
5,2,3,9,M,17
6,1,1,1,M,17
6,2,2,7,M,17
7,1,6,0,M,17
7,2,0,4,M,17
8,1,9,6,M,17
8,2,5,1,H,16
9,1,5,4,M,17
9,2,4,1,M,16
10,1,6,5,M,17
10,2,6,1,H,15
11,1,2,3,M,17
11,2,6,0,M,15
12,1,6,7,M,17
12,2,5,2,M,15
13,1,5,1,H,16
13,2,7,1,H,14
14,1,4,1,M,16
14,2,7,2,M,14
15,1,5,0,M,16
15,2,7,0,M,14
16,1,5,2,M,16
16,2,5,0,M,14
17,1,6,1,H,15
17,2,8,1,M,14
18,1,7,1,H,14
18,2,6,2,M,14
19,1,7,0,M,14
19,2,2,0,M,14
20,1,8,1,M,14
20,2,4,8,M,14
21,1,7,2,M,14
21,2,6,3,M,14
22,1,1,4,M,14
22,2,9,9,M,14
23,1,8,8,M,14
23,2,9,1,M,14
24,1,3,6,M,14
24,2,7,9,H,13
25,1,2,4,M,14
25,2,7,8,M,13
26,1,8,3,M,14
26,2,6,9,H,12
27,1,9,9,M,14
27,2,6,8,M,12
28,1,4,9,M,14
28,2,5,9,H,11
29,1,4,0,M,14
29,2,4,9,H,10
30,1,8,0,M,14
30,2,5,8,M,10
31,1,9,7,M,14
31,2,8,9,H,9
32,1,4,6,H,13
32,2,8,8,M,9
33,1,5,6,M,13
33,2,4,7,M,9
34,1,4,7,H,12
34,2,0,2,M,9
35,1,4,5,H,11
35,2,4,0,M,9
36,1,4,4,M,11
36,2,8,0,M,9
37,1,5,5,M,11
37,2,1,4,H,8
38,1,5,7,M,11
38,2,2,4,H,7
39,1,3,5,M,11
39,2,1,5,M,7
40,1,3,7,M,11
40,2,3,4,M,7
41,1,4,8,H,10
41,2,1,3,M,7
42,1,5,8,M,10
42,2,2,3,M,7
43,1,3,8,H,9
43,2,2,5,M,7
44,1,2,8,H,8
44,2,1,1,M,7
45,1,2,9,M,8
45,2,7,6,H,6
46,1,3,9,M,8
46,2,8,6,H,5
47,1,2,7,M,8
47,2,8,5,M,5
48,1,3,0,M,8
48,2,8,7,M,5
49,1,2,1,M,8
49,2,6,6,H,4
50,1,9,2,M,8
50,2,5,6,H,3
51,1,0,3,M,8
51,2,7,7,M,3
52,1,6,4,M,8
52,2,5,5,M,3
53,1,0,6,H,7
53,2,9,6,M,3
54,1,0,5,H,6
54,2,6,5,M,3
55,1,0,7,H,5
55,2,6,7,M,3
56,1,0,4,M,5
56,2,5,7,M,3
57,1,1,7,M,5
57,2,4,6,M,3
58,1,0,8,H,4
58,2,1,0,M,3
59,1,1,5,M,4
59,2,1,8,M,3
60,1,0,9,H,3
60,2,9,8,M,3
61,1,1,6,M,3
61,2,8,3,M,3
62,1,1,9,M,3
62,2,3,3,M,3
63,1,0,0,M,3
63,2,8,4,M,3
64,1,0,2,M,3
64,2,6,4,M,3
65,1,1,0,M,3
65,2,3,6,M,3
66,1,9,4,M,3
66,2,5,3,M,3
67,1,8,4,M,3
67,2,2,8,M,3
68,1,0,1,M,3
68,2,1,9,M,3
69,1,8,9,M,3
69,2,2,9,M,3
70,1,7,3,M,3
70,2,0,3,M,3
71,1,3,3,M,3
71,2,5,4,M,3
72,1,5,9,M,3
72,2,2,1,M,3
73,1,4,3,M,3
73,2,9,4,H,2
74,1,8,5,M,3
74,2,9,3,H,1
75,1,7,5,M,3
75,2,9,2,H,0
76,1,9,8,M,3
76,2,9,5,M,0
77,1,7,6,H,2
77,2,8,2,M,0
78,1,7,7,H,1
78,2,1,7,M,0
79,1,7,8,H,0
79,2,0,6,M,0
