Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,5,H,16
1,2,3,7,M,17
2,1,4,5,H,15
2,2,8,9,M,17
3,1,5,4,H,14
3,2,3,3,H,16
4,1,6,4,M,14
4,2,2,3,M,16
5,1,4,4,M,14
5,2,3,2,H,15
6,1,3,5,H,13
6,2,3,1,H,14
7,1,2,5,H,12
7,2,2,1,M,14
8,1,2,4,M,12
8,2,3,0,M,14
9,1,5,3,H,11
9,2,3,4,M,14
10,1,3,4,M,11
10,2,4,3,H,13
11,1,4,3,M,11
11,2,4,4,H,12
12,1,6,3,M,11
12,2,4,5,M,12
13,1,5,6,M,11
13,2,4,2,H,11
14,1,2,6,M,11
14,2,5,2,M,11
15,1,5,2,H,10
15,2,2,2,M,11
16,1,6,5,M,10
16,2,4,1,M,11
17,1,3,6,M,10
17,2,5,3,M,11
18,1,5,1,M,10
18,2,5,4,M,11
19,1,1,5,H,9
19,2,7,6,M,11
20,1,0,5,M,9
20,2,0,3,M,11
21,1,6,2,M,9
21,2,8,1,M,11
22,1,1,4,M,9
22,2,7,3,M,11
23,1,4,6,M,9
23,2,0,8,M,11
24,1,1,6,M,9
24,2,8,8,M,11
25,1,4,2,M,9
25,2,5,5,M,11
26,1,6,1,M,9
26,2,8,6,M,11
27,1,2,9,M,9
27,2,0,0,M,11
28,1,8,6,M,9
28,2,6,9,M,11
29,1,2,7,M,9
29,2,9,1,M,11
30,1,9,5,M,9
30,2,1,7,M,11
31,1,9,7,M,9
31,2,5,6,M,11
32,1,3,9,M,9
32,2,3,9,M,11
33,1,4,9,M,9
33,2,3,5,M,11
34,1,8,9,M,9
34,2,7,1,M,11
35,1,4,1,M,9
35,2,0,6,M,11
36,1,8,2,H,8
36,2,4,7,M,11
37,1,8,3,M,8
37,2,9,4,H,10
38,1,8,1,M,8
38,2,9,3,H,9
39,1,9,2,H,7
39,2,9,2,M,9
40,1,9,1,M,7
40,2,8,4,M,9
41,1,7,2,H,6
41,2,8,3,M,9
42,1,7,1,M,6
42,2,9,5,H,8
43,1,7,3,M,6
43,2,8,5,M,8
44,1,9,3,M,6
44,2,9,6,H,7
45,1,1,3,M,6
45,2,9,7,M,7
46,1,2,0,M,6
46,2,5,1,M,7
47,1,0,0,M,6
47,2,3,6,M,7
48,1,7,6,M,6
48,2,1,8,M,7
49,1,5,0,M,6
49,2,9,9,M,7
50,1,0,9,M,6
50,2,6,3,M,7
51,1,3,8,M,6
51,2,7,2,M,7
52,1,2,2,M,6
52,2,0,9,M,7
53,1,9,8,M,6
53,2,2,8,H,6
54,1,5,8,M,6
54,2,2,7,H,5
55,1,7,7,M,6
55,2,2,6,H,4
56,1,4,7,M,6
56,2,2,9,M,4
57,1,0,2,M,6
57,2,1,6,M,4
58,1,6,8,M,6
58,2,2,5,H,3
59,1,8,7,M,6
59,2,2,4,H,2
60,1,7,9,M,6
60,2,1,4,M,2
61,1,9,4,M,6
61,2,3,8,M,2
62,1,3,2,H,5
62,2,1,5,M,2
63,1,3,3,H,4
63,2,6,4,M,2
64,1,3,1,H,3
64,2,9,8,M,2
65,1,3,0,H,2
65,2,6,0,M,2
66,1,4,0,M,2
66,2,0,5,M,2
67,1,2,3,M,2
67,2,6,1,M,2
68,1,2,1,M,2
68,2,0,7,M,2
69,1,4,8,M,2
69,2,5,0,M,2
70,1,1,7,M,2
70,2,6,7,H,1
71,1,6,0,M,2
71,2,6,6,M,1
72,1,0,6,M,2
72,2,5,7,M,1
73,1,0,3,M,2
73,2,7,7,H,0
74,1,1,0,M,2
74,2,7,8,M,0
75,1,5,9,M,2
75,2,6,8,M,0
76,1,3,7,M,2
76,2,8,7,M,0
77,1,8,0,M,2
77,2,8,2,M,0
78,1,9,9,M,2
78,2,7,0,M,0
79,1,6,7,M,2
79,2,1,9,M,0
80,1,6,6,M,2
80,2,8,0,M,0
81,1,7,0,M,2
81,2,4,0,M,0
82,1,1,2,M,2
82,2,1,2,M,0
83,1,2,8,M,2
83,2,4,8,M,0
84,1,7,4,H,1
84,2,9,0,M,0
85,1,8,4,M,1
85,2,1,0,M,0
86,1,7,5,H,0
86,2,1,1,M,0
