Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,1,M,17
1,2,4,0,M,17
2,1,6,3,H,16
2,2,7,6,M,17
3,1,6,2,M,16
3,2,7,2,H,16
4,1,5,3,M,16
4,2,7,3,M,16
5,1,6,4,M,16
5,2,6,2,H,15
6,1,7,3,H,15
6,2,8,2,M,15
7,1,7,4,M,15
7,2,6,3,M,15
8,1,8,3,M,15
8,2,6,1,M,15
9,1,7,2,M,15
9,2,7,1,M,15
10,1,7,5,M,15
10,2,5,2,H,14
11,1,9,7,M,15
11,2,5,1,M,14
12,1,8,4,M,15
12,2,5,3,M,14
13,1,8,8,M,15
13,2,4,2,H,13
14,1,7,8,M,15
14,2,4,1,M,13
15,1,1,9,M,15
15,2,4,3,M,13
16,1,8,7,M,15
16,2,3,2,M,13
17,1,2,1,M,15
17,2,1,7,M,13
18,1,4,8,H,14
18,2,9,0,M,13
19,1,5,8,H,13
19,2,5,8,M,13
20,1,4,7,M,13
20,2,6,6,H,12
21,1,4,9,M,13
21,2,6,5,H,11
22,1,5,9,M,13
22,2,5,6,M,11
23,1,5,7,M,13
23,2,6,4,H,10
24,1,6,8,H,12
24,2,7,4,M,10
25,1,6,7,M,12
25,2,7,5,M,10
26,1,6,9,M,12
26,2,5,5,M,10
27,1,3,8,H,11
27,2,6,7,M,10
28,1,3,9,M,11
28,2,5,4,M,10
29,1,2,8,H,10
29,2,8,1,M,10
30,1,2,9,M,10
30,2,4,4,M,10
31,1,3,7,M,10
31,2,8,4,M,10
32,1,1,8,M,10
32,2,1,0,M,10
33,1,2,7,M,10
33,2,9,5,M,10
34,1,0,5,M,10
34,2,7,8,M,10
35,1,9,0,M,10
35,2,4,5,M,10
36,1,0,3,M,10
36,2,6,9,H,9
37,1,2,4,H,9
37,2,6,8,M,9
38,1,2,3,H,8
38,2,7,9,M,9
39,1,3,3,M,8
39,2,5,9,H,8
40,1,3,4,M,8
40,2,4,9,H,7
41,1,1,3,M,8
41,2,3,9,H,6
42,1,1,4,M,8
42,2,2,9,H,5
43,1,2,2,M,8
43,2,2,8,M,5
44,1,2,5,H,7
44,2,1,9,M,5
45,1,3,5,M,7
45,2,3,8,M,5
46,1,2,6,M,7
46,2,4,8,M,5
47,1,1,5,M,7
47,2,8,8,H,4
48,1,8,9,M,7
48,2,9,8,M,4
49,1,0,2,M,7
49,2,8,7,H,3
50,1,5,5,M,7
50,2,8,6,H,2
51,1,0,9,M,7
51,2,7,7,M,2
52,1,1,1,H,6
52,2,9,7,M,2
53,1,1,2,H,5
53,2,9,6,M,2
54,1,0,1,M,5
54,2,8,9,M,2
55,1,1,0,H,4
55,2,8,5,M,2
56,1,0,0,M,4
56,2,7,0,M,2
57,1,2,0,M,4
57,2,0,0,M,2
58,1,9,9,M,4
58,2,3,7,M,2
59,1,0,7,M,4
59,2,9,9,M,2
60,1,8,6,H,3
60,2,0,7,M,2
61,1,7,6,H,2
61,2,2,5,M,2
62,1,9,6,M,2
62,2,4,7,M,2
63,1,8,5,M,2
63,2,3,5,M,2
64,1,7,7,M,2
64,2,3,4,M,2
65,1,6,6,H,1
65,2,6,0,M,2
66,1,6,5,M,1
66,2,4,6,M,2
67,1,5,6,H,0
67,2,8,0,M,2
68,1,4,6,M,0
68,2,0,6,M,2
69,1,1,7,M,0
69,2,0,9,M,2
70,1,4,2,M,0
70,2,9,2,M,2
71,1,4,5,M,0
71,2,0,4,M,2
72,1,0,4,M,0
72,2,0,5,M,2
73,1,4,4,M,0
73,2,2,6,M,2
74,1,4,3,M,0
74,2,3,6,M,2
75,1,9,2,M,0
75,2,5,7,M,2
76,1,0,8,M,0
76,2,2,3,M,2
77,1,3,2,M,0
77,2,2,2,M,2
78,1,9,4,M,0
78,2,0,8,M,2
79,1,7,0,M,0
79,2,2,7,M,2
80,1,5,0,M,0
80,2,9,3,M,2
81,1,3,0,M,0
81,2,1,4,M,2
82,1,5,4,M,0
82,2,0,3,M,2
83,1,3,1,M,0
83,2,1,8,M,2
84,1,7,9,M,0
84,2,9,1,M,2
85,1,4,0,M,0
85,2,3,1,M,2
86,1,9,1,M,0
86,2,8,3,M,2
87,1,8,1,M,0
87,2,1,6,M,2
88,1,7,1,M,0
88,2,2,4,M,2
89,1,8,0,M,0
89,2,5,0,M,2
90,1,9,5,M,0
90,2,3,0,H,1
91,1,8,2,M,0
91,2,2,0,H,0
