Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,3,M,17
1,2,9,7,M,17
2,1,6,0,M,17
2,2,7,5,M,17
3,1,0,3,M,17
3,2,3,0,M,17
4,1,0,6,M,17
4,2,1,1,M,17
5,1,4,2,H,16
5,2,9,0,M,17
6,1,5,2,H,15
6,2,8,8,M,17
7,1,3,2,H,14
7,2,5,6,H,16
8,1,5,1,M,14
8,2,5,5,M,16
9,1,4,3,M,14
9,2,4,6,H,15
10,1,3,1,M,14
10,2,4,7,H,14
11,1,5,3,M,14
11,2,3,7,M,14
12,1,3,3,M,14
12,2,4,5,M,14
13,1,2,2,H,13
13,2,4,8,H,13
14,1,6,2,H,12
14,2,5,7,H,12
15,1,1,2,M,12
15,2,5,8,H,11
16,1,6,3,M,12
16,2,3,6,M,11
17,1,2,1,M,12
17,2,3,8,M,11
18,1,4,1,M,12
18,2,6,8,M,11
19,1,6,1,M,12
19,2,6,7,M,11
20,1,7,2,H,11
20,2,5,9,H,10
21,1,7,3,M,11
21,2,4,9,M,10
22,1,8,2,H,10
22,2,6,9,M,10
23,1,8,1,M,10
23,2,6,6,M,10
24,1,9,2,H,9
24,2,8,0,M,10
25,1,9,3,M,9
25,2,9,3,M,10
26,1,9,1,M,9
26,2,8,2,M,10
27,1,8,3,M,9
27,2,0,9,M,10
28,1,7,1,M,9
28,2,3,4,M,10
29,1,8,9,H,8
29,2,5,4,M,10
30,1,8,8,M,8
30,2,3,5,M,10
31,1,9,9,H,7
31,2,7,8,M,10
32,1,9,8,M,7
32,2,6,0,M,10
33,1,7,9,H,6
33,2,3,1,M,10
34,1,6,9,H,5
34,2,1,6,M,10
35,1,7,8,M,5
35,2,6,5,M,10
36,1,5,9,M,5
36,2,5,3,H,9
37,1,6,8,M,5
37,2,6,3,M,9
38,1,3,0,M,5
38,2,4,3,H,8
39,1,6,7,H,4
39,2,3,3,H,7
40,1,5,7,M,4
40,2,4,4,M,7
41,1,7,7,H,3
41,2,4,2,M,7
42,1,8,7,H,2
42,2,3,2,M,7
43,1,8,6,M,2
43,2,5,2,M,7
44,1,7,6,M,2
44,2,2,3,H,6
45,1,6,6,H,1
45,2,2,2,H,5
46,1,5,6,M,1
46,2,1,2,M,5
47,1,6,5,M,1
47,2,2,4,M,5
48,1,9,7,H,0
48,2,2,1,H,4
49,1,9,6,M,0
49,2,2,0,M,4
50,1,5,8,M,0
50,2,1,3,H,3
51,1,0,8,M,0
51,2,1,4,M,3
52,1,3,7,M,0
52,2,0,3,M,3
53,1,0,1,M,0
53,2,9,9,M,3
54,1,4,6,M,0
54,2,0,4,M,3
55,1,1,3,M,0
55,2,6,1,M,3
56,1,5,5,M,0
56,2,2,5,H,2
57,1,2,9,M,0
57,2,2,6,M,2
58,1,0,7,M,0
58,2,1,5,H,1
59,1,8,4,M,0
59,2,0,5,H,0
