Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,6,M,17
1,2,5,9,M,17
2,1,8,7,M,17
2,2,5,1,M,17
3,1,5,4,M,17
3,2,3,4,M,17
4,1,9,3,M,17
4,2,8,8,M,17
5,1,2,8,M,17
5,2,9,0,M,17
6,1,4,8,M,17
6,2,7,3,M,17
7,1,8,5,M,17
7,2,6,9,M,17
8,1,6,7,H,16
8,2,8,7,M,17
9,1,6,6,M,16
9,2,1,2,H,16
10,1,7,7,M,16
10,2,1,1,M,16
11,1,5,7,H,15
11,2,1,3,M,16
12,1,6,8,M,15
12,2,0,2,H,15
13,1,5,8,H,14
13,2,0,3,M,15
14,1,5,9,H,13
14,2,2,2,H,14
15,1,4,7,H,12
15,2,3,2,H,13
16,1,4,9,M,12
16,2,4,2,H,12
17,1,4,6,M,12
17,2,4,1,M,12
18,1,5,6,M,12
18,2,3,3,M,12
19,1,6,9,M,12
19,2,0,1,M,12
20,1,3,7,H,11
20,2,2,1,M,12
21,1,2,7,M,11
21,2,3,1,M,12
22,1,3,8,M,11
22,2,5,2,M,12
23,1,3,6,M,11
23,2,2,3,M,12
24,1,1,4,M,11
24,2,4,3,M,12
25,1,7,5,M,11
25,2,6,4,M,12
26,1,5,0,M,11
26,2,7,2,M,12
27,1,6,0,M,11
27,2,0,8,H,11
28,1,1,9,H,10
28,2,0,7,M,11
29,1,1,8,M,10
29,2,1,8,H,10
30,1,2,9,H,9
30,2,1,9,M,10
31,1,0,9,H,8
31,2,0,9,M,10
32,1,0,8,M,8
32,2,2,8,H,9
33,1,3,9,M,8
33,2,3,8,H,8
34,1,0,7,M,8
34,2,3,7,H,7
35,1,5,1,M,8
35,2,2,7,M,7
36,1,5,2,M,8
36,2,2,9,M,7
37,1,5,3,M,8
37,2,3,6,M,7
38,1,9,7,M,8
38,2,4,7,H,6
39,1,3,1,M,8
39,2,4,8,M,6
40,1,1,3,M,8
40,2,3,9,M,6
41,1,7,9,M,8
41,2,4,6,M,6
42,1,6,5,M,8
42,2,5,7,H,5
43,1,4,2,H,7
43,2,6,7,M,5
44,1,4,3,H,6
44,2,5,6,M,5
45,1,4,1,H,5
45,2,1,7,M,5
46,1,4,0,H,4
46,2,5,8,M,5
47,1,3,2,M,4
47,2,4,4,M,5
48,1,3,3,M,4
48,2,8,9,M,5
49,1,4,4,H,3
49,2,5,3,M,5
50,1,4,5,M,3
50,2,2,0,M,5
51,1,3,4,M,3
51,2,5,5,M,5
52,1,3,0,M,3
52,2,7,7,H,4
53,1,9,2,M,3
53,2,7,8,H,3
54,1,7,8,M,3
54,2,7,9,M,3
55,1,7,6,M,3
55,2,7,6,H,2
56,1,8,1,M,3
56,2,6,8,M,2
57,1,0,2,H,2
57,2,7,5,M,2
58,1,0,1,M,2
58,2,6,6,M,2
59,1,0,3,H,1
59,2,8,6,M,2
60,1,1,2,M,1
60,2,9,5,M,2
61,1,0,4,H,0
61,2,2,5,M,2
62,1,0,5,M,0
62,2,9,1,M,2
63,1,9,8,M,0
63,2,6,5,M,2
64,1,6,3,M,0
64,2,2,4,M,2
65,1,2,0,M,0
65,2,4,0,M,2
66,1,2,2,M,0
66,2,2,6,M,2
67,1,0,0,M,0
67,2,1,0,M,2
68,1,9,4,M,0
68,2,8,4,M,2
69,1,6,4,M,0
69,2,4,5,M,2
70,1,8,9,M,0
70,2,0,6,M,2
71,1,9,6,M,0
71,2,6,3,M,2
72,1,2,1,M,0
72,2,7,1,M,2
73,1,1,1,M,0
73,2,9,3,M,2
74,1,8,4,M,0
74,2,7,4,M,2
75,1,8,0,M,0
75,2,8,2,H,1
76,1,1,0,M,0
76,2,8,3,H,0
