Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,7,M,17
1,2,2,2,H,16
2,1,3,1,H,16
2,2,3,2,M,16
3,1,4,1,H,15
3,2,2,3,H,15
4,1,2,1,M,15
4,2,2,4,H,14
5,1,4,0,H,14
5,2,2,5,M,14
6,1,4,2,H,13
6,2,1,2,M,14
7,1,3,0,H,12
7,2,3,3,M,14
8,1,5,1,M,12
8,2,1,4,M,14
9,1,2,0,M,12
9,2,1,3,M,14
10,1,5,2,M,12
10,2,3,4,H,13
11,1,5,0,M,12
11,2,2,1,H,12
12,1,4,3,M,12
12,2,1,1,M,12
13,1,3,2,H,11
13,2,4,4,M,12
14,1,3,3,M,11
14,2,3,1,M,12
15,1,2,2,M,11
15,2,3,5,H,11
16,1,9,7,M,11
16,2,2,0,H,10
17,1,7,5,M,11
17,2,3,0,M,10
18,1,8,7,H,10
18,2,3,6,H,9
19,1,8,8,M,10
19,2,1,0,M,9
20,1,7,7,M,10
20,2,4,6,M,9
21,1,8,6,H,9
21,2,4,5,M,9
22,1,9,6,M,9
22,2,3,7,M,9
23,1,7,6,M,9
23,2,2,6,M,9
24,1,8,5,H,8
24,2,4,9,M,9
25,1,8,4,H,7
25,2,1,9,M,9
26,1,9,4,M,7
26,2,9,6,M,9
27,1,9,5,M,7
27,2,5,5,M,9
28,1,7,4,M,7
28,2,5,2,M,9
29,1,8,3,H,6
29,2,8,3,M,9
30,1,8,2,M,6
30,2,5,9,M,9
31,1,9,3,M,6
31,2,8,5,M,9
32,1,7,3,M,6
32,2,8,0,M,9
33,1,7,2,M,6
33,2,5,7,M,9
34,1,0,1,M,6
34,2,9,4,M,9
35,1,3,9,H,5
35,2,5,1,M,9
36,1,2,9,M,5
36,2,4,2,M,9
37,1,4,9,M,5
37,2,9,7,M,9
38,1,3,8,H,4
38,2,0,9,M,9
39,1,4,8,M,4
39,2,5,8,H,8
40,1,2,8,M,4
40,2,4,8,H,7
41,1,3,7,M,4
41,2,6,8,M,7
42,1,9,8,M,4
42,2,4,7,M,7
43,1,6,8,M,4
43,2,3,8,H,6
44,1,5,7,M,4
44,2,3,9,M,6
45,1,6,9,M,4
45,2,2,8,M,6
46,1,2,3,M,4
46,2,9,1,M,6
47,1,6,1,M,4
47,2,4,3,H,5
48,1,0,2,M,4
48,2,5,3,H,4
49,1,0,0,M,4
49,2,5,4,M,4
50,1,6,2,M,4
50,2,6,3,H,3
51,1,9,0,M,4
51,2,6,2,M,3
52,1,7,9,M,4
52,2,7,3,H,2
53,1,6,7,M,4
53,2,7,2,M,2
54,1,5,9,M,4
54,2,7,4,M,2
55,1,7,8,M,4
55,2,6,4,M,2
56,1,2,6,M,4
56,2,2,9,M,2
57,1,6,0,M,4
57,2,6,0,M,2
58,1,6,4,M,4
58,2,6,9,M,2
59,1,0,7,M,4
59,2,7,8,M,2
60,1,0,3,M,4
60,2,6,5,M,2
61,1,2,4,M,4
61,2,6,7,M,2
62,1,0,6,M,4
62,2,7,7,H,1
63,1,0,5,M,4
63,2,7,6,M,1
64,1,1,2,H,3
64,2,8,7,H,0
65,1,1,1,M,3
65,2,8,8,M,0
66,1,1,3,H,2
66,2,8,6,M,0
67,1,1,4,H,1
67,2,7,9,M,0
68,1,0,4,M,1
68,2,4,1,M,0
69,1,1,5,H,0
69,2,8,4,M,0
