Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,5,M,17
1,2,7,3,M,17
2,1,5,0,M,17
2,2,6,2,M,17
3,1,8,1,M,17
3,2,8,1,H,16
4,1,8,6,M,17
4,2,7,1,M,16
5,1,6,9,M,17
5,2,8,2,M,16
6,1,1,6,M,17
6,2,9,1,H,15
7,1,8,9,M,17
7,2,8,0,H,14
8,1,9,7,M,17
8,2,7,0,M,14
9,1,7,7,M,17
9,2,9,2,H,13
10,1,9,2,M,17
10,2,9,3,H,12
11,1,4,4,M,17
11,2,9,4,H,11
12,1,5,1,M,17
12,2,9,0,M,11
13,1,5,2,M,17
13,2,8,4,M,11
14,1,0,7,M,17
14,2,9,5,M,11
15,1,8,0,M,17
15,2,8,3,M,11
16,1,1,1,M,17
16,2,6,1,M,11
17,1,2,1,M,17
17,2,2,6,M,11
18,1,3,2,M,17
18,2,2,1,H,10
19,1,6,2,M,17
19,2,2,2,M,10
20,1,0,1,M,17
20,2,3,1,H,9
21,1,9,6,M,17
21,2,3,0,M,9
22,1,4,7,M,17
22,2,4,1,H,8
23,1,3,5,M,17
23,2,5,1,H,7
24,1,1,3,M,17
24,2,1,1,H,6
25,1,0,6,M,17
25,2,4,0,M,6
26,1,0,0,M,17
26,2,5,0,M,6
27,1,7,5,M,17
27,2,1,0,M,6
28,1,6,3,M,17
28,2,0,1,M,6
29,1,6,6,H,16
29,2,5,2,M,6
30,1,6,7,M,16
30,2,1,2,M,6
31,1,5,6,H,15
31,2,4,2,M,6
32,1,4,6,H,14
32,2,2,0,M,6
33,1,6,5,M,14
33,2,3,2,M,6
34,1,5,7,M,14
34,2,8,9,M,6
35,1,3,6,H,13
35,2,5,4,M,6
36,1,3,7,M,13
36,2,0,4,M,6
37,1,7,6,M,13
37,2,7,4,M,6
38,1,2,6,H,12
38,2,6,8,M,6
39,1,2,5,M,12
39,2,5,8,H,5
40,1,2,7,M,12
40,2,5,7,M,5
41,1,5,5,M,12
41,2,5,9,M,5
42,1,6,4,M,12
42,2,4,8,H,4
43,1,0,4,M,12
43,2,4,9,M,4
44,1,9,1,M,12
44,2,4,7,M,4
45,1,4,0,M,12
45,2,3,8,H,3
46,1,5,4,M,12
46,2,3,9,M,3
47,1,2,3,M,12
47,2,3,7,M,3
48,1,3,0,M,12
48,2,2,8,M,3
49,1,5,9,H,11
49,2,9,8,M,3
50,1,4,9,H,10
50,2,9,9,M,3
51,1,3,9,H,9
51,2,1,9,M,3
52,1,3,8,M,9
52,2,8,6,H,2
53,1,2,9,M,9
53,2,9,6,M,2
54,1,4,8,M,9
54,2,8,5,M,2
55,1,5,8,M,9
55,2,8,7,M,2
56,1,7,9,M,9
56,2,7,6,H,1
57,1,2,2,M,9
57,2,7,7,M,1
58,1,1,8,H,8
58,2,7,5,M,1
59,1,1,9,M,8
59,2,6,6,H,0
60,1,0,8,H,7
60,2,6,7,M,0
61,1,0,9,M,7
61,2,5,6,M,0
62,1,2,8,H,6
62,2,6,5,M,0
63,1,1,7,M,6
63,2,7,9,M,0
64,1,1,4,M,6
64,2,0,6,M,0
65,1,6,0,M,6
65,2,4,6,M,0
66,1,7,2,H,5
66,2,6,9,M,0
67,1,7,1,H,4
67,2,0,9,M,0
68,1,7,0,H,3
68,2,0,8,M,0
69,1,8,2,M,3
69,2,2,5,M,0
70,1,7,3,H,2
70,2,0,7,M,0
71,1,7,4,M,2
71,2,6,0,M,0
72,1,8,3,M,2
72,2,2,7,M,0
73,1,6,1,M,2
73,2,4,4,M,0
74,1,9,5,M,2
74,2,7,2,M,0
75,1,0,3,M,2
75,2,6,3,M,0
76,1,3,3,M,2
76,2,1,7,M,0
77,1,6,8,M,2
77,2,0,2,M,0
78,1,2,4,M,2
78,2,2,9,M,0
79,1,2,0,M,2
79,2,4,5,M,0
80,1,3,4,M,2
80,2,1,3,M,0
81,1,9,0,M,2
81,2,0,0,M,0
82,1,1,5,M,2
82,2,9,7,M,0
83,1,8,8,H,1
83,2,5,3,M,0
84,1,8,7,M,1
84,2,6,4,M,0
85,1,9,8,H,0
85,2,1,5,M,0
