Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,8,M,17
1,2,4,2,M,17
2,1,8,2,H,16
2,2,3,9,M,17
3,1,8,1,H,15
3,2,7,7,M,17
4,1,7,1,M,15
4,2,6,4,M,17
5,1,7,2,M,15
5,2,4,0,M,17
6,1,8,3,H,14
6,2,5,7,H,16
7,1,7,3,M,14
7,2,5,6,H,15
8,1,8,0,M,14
8,2,5,5,H,14
9,1,9,1,M,14
9,2,4,5,M,14
10,1,9,3,M,14
10,2,5,4,M,14
11,1,8,4,M,14
11,2,4,6,M,14
12,1,9,2,M,14
12,2,4,7,M,14
13,1,1,9,H,13
13,2,6,5,H,13
14,1,2,9,M,13
14,2,5,8,H,12
15,1,0,9,M,13
15,2,5,9,H,11
16,1,1,8,H,12
16,2,6,8,M,11
17,1,1,7,M,12
17,2,4,9,M,11
18,1,0,8,M,12
18,2,6,7,M,11
19,1,2,8,M,12
19,2,4,8,M,11
20,1,8,6,M,12
20,2,7,5,H,10
21,1,9,0,M,12
21,2,6,9,M,10
22,1,1,5,M,12
22,2,7,4,M,10
23,1,9,8,M,12
23,2,6,6,M,10
24,1,6,1,H,11
24,2,7,6,M,10
25,1,5,1,M,11
25,2,8,5,H,9
26,1,6,2,H,10
26,2,9,5,H,8
27,1,6,3,H,9
27,2,9,6,M,8
28,1,5,3,M,9
28,2,8,4,M,8
29,1,6,4,M,9
29,2,9,4,M,8
30,1,6,0,H,8
30,2,8,6,M,8
31,1,5,0,M,8
31,2,2,4,M,8
32,1,7,0,M,8
32,2,0,8,M,8
33,1,5,2,M,8
33,2,8,2,M,8
34,1,1,0,M,8
34,2,2,2,M,8
35,1,8,7,M,8
35,2,3,6,H,7
36,1,3,6,M,8
36,2,3,5,M,7
37,1,9,9,M,8
37,2,2,6,M,7
38,1,7,7,M,8
38,2,3,7,H,6
39,1,6,8,M,8
39,2,3,8,H,5
40,1,2,2,M,8
40,2,2,7,M,5
41,1,1,3,M,8
41,2,2,8,M,5
42,1,4,3,M,8
42,2,8,1,M,5
43,1,3,8,M,8
43,2,7,0,M,5
44,1,0,7,M,8
44,2,4,3,M,5
45,1,3,1,M,8
45,2,9,8,H,4
46,1,2,1,M,8
46,2,9,7,M,4
47,1,0,2,H,7
47,2,9,9,M,4
48,1,0,3,H,6
48,2,8,8,H,3
49,1,1,2,M,6
49,2,8,9,M,3
50,1,0,4,H,5
50,2,7,8,H,2
51,1,1,4,M,5
51,2,8,7,M,2
52,1,0,5,H,4
52,2,7,9,M,2
53,1,0,1,M,4
53,2,7,3,M,2
54,1,0,6,H,3
54,2,3,0,M,2
55,1,1,6,M,3
55,2,3,3,M,2
56,1,3,9,M,3
56,2,6,0,M,2
57,1,2,5,M,3
57,2,6,2,M,2
58,1,3,4,M,3
58,2,3,2,M,2
59,1,5,4,M,3
59,2,0,9,M,2
60,1,0,0,M,3
60,2,1,3,M,2
61,1,7,4,M,3
61,2,5,1,M,2
62,1,2,3,M,3
62,2,4,1,M,2
63,1,7,6,M,3
63,2,0,0,M,2
64,1,9,5,M,3
64,2,0,7,M,2
65,1,5,7,M,3
65,2,9,0,M,2
66,1,4,9,M,3
66,2,0,2,M,2
67,1,8,8,M,3
67,2,2,1,M,2
68,1,2,6,M,3
68,2,5,2,M,2
69,1,3,5,M,3
69,2,7,2,M,2
70,1,9,4,M,3
70,2,9,1,H,1
71,1,7,9,M,3
71,2,9,2,H,0
72,1,1,1,M,3
72,2,9,3,M,0
73,1,4,2,M,3
73,2,1,9,M,0
74,1,3,2,M,3
74,2,8,0,M,0
75,1,6,6,M,3
75,2,1,1,M,0
76,1,4,8,M,3
76,2,6,1,M,0
77,1,9,6,M,3
77,2,5,3,M,0
78,1,9,7,M,3
78,2,2,3,M,0
79,1,8,5,M,3
79,2,2,0,M,0
80,1,4,4,M,3
80,2,1,0,M,0
81,1,3,0,M,3
81,2,1,4,M,0
82,1,8,9,M,3
82,2,4,4,M,0
83,1,3,3,M,3
83,2,1,5,M,0
84,1,6,7,M,3
84,2,5,0,M,0
85,1,4,1,M,3
85,2,0,1,M,0
86,1,7,5,M,3
86,2,0,6,M,0
87,1,4,5,M,3
87,2,2,9,M,0
88,1,4,0,M,3
88,2,3,1,M,0
89,1,4,7,H,2
89,2,0,5,M,0
90,1,4,6,M,2
90,2,0,3,M,0
91,1,3,7,H,1
91,2,1,7,M,0
92,1,2,7,H,0
92,2,2,5,M,0
