Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,2,M,17
1,2,0,1,M,17
2,1,5,8,M,17
2,2,7,5,M,17
3,1,2,4,M,17
3,2,0,9,M,17
4,1,8,9,M,17
4,2,1,4,M,17
5,1,0,8,M,17
5,2,0,3,M,17
6,1,1,9,M,17
6,2,8,7,M,17
7,1,6,9,M,17
7,2,4,8,M,17
8,1,9,0,H,16
8,2,9,3,H,16
9,1,9,1,M,16
9,2,9,4,H,15
10,1,8,0,H,15
10,2,9,5,M,15
11,1,7,0,M,15
11,2,9,2,M,15
12,1,8,1,M,15
12,2,8,3,M,15
13,1,9,2,M,15
13,2,8,4,M,15
14,1,5,0,M,15
14,2,6,6,H,14
15,1,6,5,M,15
15,2,6,5,H,13
16,1,7,3,H,14
16,2,6,7,H,12
17,1,7,4,H,13
17,2,6,8,M,12
18,1,7,2,H,12
18,2,5,6,M,12
19,1,8,2,M,12
19,2,5,5,M,12
20,1,6,3,M,12
20,2,6,4,M,12
21,1,8,4,M,12
21,2,5,7,M,12
22,1,8,3,M,12
22,2,7,7,M,12
23,1,7,1,M,12
23,2,7,6,M,12
24,1,6,2,M,12
24,2,7,2,M,12
25,1,7,5,H,11
25,2,3,5,M,12
26,1,8,5,M,11
26,2,7,1,M,12
27,1,7,6,H,10
27,2,7,0,M,12
28,1,7,7,M,10
28,2,3,0,M,12
29,1,6,6,M,10
29,2,5,8,M,12
30,1,6,4,M,10
30,2,7,9,M,12
31,1,8,6,M,10
31,2,2,1,M,12
32,1,6,7,M,10
32,2,3,9,H,11
33,1,4,9,M,10
33,2,4,9,H,10
34,1,1,0,M,10
34,2,2,9,H,9
35,1,5,7,M,10
35,2,1,9,M,9
36,1,0,0,M,10
36,2,2,8,H,8
37,1,3,3,M,10
37,2,1,8,H,7
38,1,1,2,H,9
38,2,1,7,M,7
39,1,1,1,H,8
39,2,2,7,M,7
40,1,2,1,M,8
40,2,5,9,H,6
41,1,0,2,M,8
41,2,3,8,M,6
42,1,0,1,M,8
42,2,6,9,H,5
43,1,2,2,M,8
43,2,0,8,H,4
44,1,1,3,H,7
44,2,0,7,M,4
45,1,1,4,M,7
45,2,9,9,M,4
46,1,0,3,M,7
46,2,3,2,M,4
47,1,2,3,M,7
47,2,4,6,M,4
48,1,4,3,M,7
48,2,4,4,M,4
49,1,9,9,M,7
49,2,8,0,M,4
50,1,6,8,M,7
50,2,0,2,M,4
51,1,6,0,M,7
51,2,7,3,M,4
52,1,5,6,M,7
52,2,5,0,M,4
53,1,5,9,M,7
53,2,6,3,H,3
54,1,4,1,M,7
54,2,6,2,M,3
55,1,1,8,M,7
55,2,5,3,H,2
56,1,9,5,H,6
56,2,4,3,H,1
57,1,9,6,H,5
57,2,4,2,M,1
58,1,9,4,M,5
58,2,3,3,H,0
59,1,9,7,H,4
59,2,5,4,M,0
60,1,8,7,M,4
60,2,2,3,M,0
61,1,9,8,H,3
61,2,5,2,M,0
62,1,8,8,M,3
62,2,3,4,M,0
63,1,2,7,M,3
63,2,9,1,M,0
64,1,0,6,M,3
64,2,4,7,M,0
65,1,7,9,M,3
65,2,0,6,M,0
66,1,3,5,M,3
66,2,0,5,M,0
67,1,1,7,H,2
67,2,3,1,M,0
68,1,1,6,H,1
68,2,1,1,M,0
69,1,2,6,M,1
69,2,5,1,M,0
70,1,0,7,M,1
70,2,1,5,M,0
71,1,1,5,H,0
71,2,7,4,M,0
