Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,3,M,17
1,2,4,9,M,17
2,1,7,6,M,17
2,2,6,4,M,17
3,1,8,8,M,17
3,2,8,2,M,17
4,1,8,5,H,16
4,2,1,3,M,17
5,1,8,4,H,15
5,2,4,6,M,17
6,1,7,5,M,15
6,2,6,0,M,17
7,1,8,3,H,14
7,2,7,4,M,17
8,1,8,2,H,13
8,2,4,5,M,17
9,1,9,4,M,13
9,2,1,5,M,17
10,1,7,2,M,13
10,2,3,4,H,16
11,1,7,4,M,13
11,2,4,4,M,16
12,1,8,1,H,12
12,2,3,3,M,16
13,1,8,6,M,12
13,2,3,5,M,16
14,1,9,3,M,12
14,2,2,4,H,15
15,1,9,2,M,12
15,2,1,4,H,14
16,1,9,1,M,12
16,2,2,3,M,14
17,1,8,0,M,12
17,2,0,4,M,14
18,1,7,1,M,12
18,2,2,5,M,14
19,1,9,5,M,12
19,2,4,2,M,14
20,1,8,9,M,12
20,2,1,7,M,14
21,1,9,8,M,12
21,2,2,2,M,14
22,1,4,9,M,12
22,2,3,0,M,14
23,1,0,2,M,12
23,2,6,7,H,13
24,1,2,6,M,12
24,2,5,7,M,13
25,1,1,0,M,12
25,2,6,8,H,12
26,1,7,0,M,12
26,2,6,6,H,11
27,1,2,2,M,12
27,2,5,8,M,11
28,1,3,1,M,12
28,2,6,5,H,10
29,1,5,6,M,12
29,2,6,9,H,9
30,1,3,3,M,12
30,2,7,7,M,9
31,1,0,9,M,12
31,2,7,9,M,9
32,1,7,7,M,12
32,2,5,5,H,8
33,1,6,6,M,12
33,2,5,6,M,8
34,1,3,9,M,12
34,2,7,5,M,8
35,1,1,2,M,12
35,2,5,4,H,7
36,1,4,3,M,12
36,2,5,9,M,7
37,1,1,5,M,12
37,2,7,6,M,7
38,1,4,1,M,12
38,2,7,8,M,7
39,1,8,7,M,12
39,2,5,3,H,6
40,1,3,7,H,11
40,2,6,3,M,6
41,1,4,7,H,10
41,2,5,2,H,5
42,1,3,8,M,10
42,2,6,2,M,5
43,1,5,7,H,9
43,2,4,3,M,5
44,1,2,7,H,8
44,2,5,1,M,5
45,1,6,7,H,7
45,2,1,6,M,5
46,1,3,6,M,7
46,2,3,8,M,5
47,1,6,8,H,6
47,2,3,2,M,5
48,1,6,9,M,6
48,2,8,3,M,5
49,1,4,8,M,6
49,2,0,9,M,5
50,1,5,8,M,6
50,2,2,6,M,5
51,1,1,7,M,6
51,2,2,1,M,5
52,1,2,8,M,6
52,2,0,3,M,5
53,1,7,8,M,6
53,2,8,8,H,4
54,1,4,6,M,6
54,2,9,8,M,4
55,1,5,5,H,5
55,2,8,7,H,3
56,1,5,4,M,5
56,2,8,9,H,2
57,1,4,5,H,4
57,2,9,7,M,2
58,1,6,5,M,4
58,2,8,6,H,1
59,1,4,4,M,4
59,2,9,6,H,0
60,1,3,5,H,3
60,2,8,5,M,0
61,1,2,5,M,3
61,2,9,9,M,0
62,1,3,4,M,3
62,2,9,5,M,0
63,1,1,1,H,2
63,2,3,9,M,0
64,1,2,1,H,1
64,2,2,0,M,0
65,1,0,1,H,0
65,2,9,0,M,0
