Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,8,M,17
1,2,1,1,M,17
2,1,4,2,M,17
2,2,3,7,M,17
3,1,1,9,M,17
3,2,3,6,M,17
4,1,6,8,M,17
4,2,2,0,M,17
5,1,4,7,M,17
5,2,2,4,M,17
6,1,9,2,H,16
6,2,7,7,H,16
7,1,9,3,H,15
7,2,8,7,M,16
8,1,9,1,H,14
8,2,7,8,H,15
9,1,8,2,M,14
9,2,7,6,H,14
10,1,9,0,H,13
10,2,6,6,M,14
11,1,8,0,M,13
11,2,6,7,M,14
12,1,8,3,M,13
12,2,6,8,M,14
13,1,9,4,M,13
13,2,8,8,M,14
14,1,8,1,M,13
14,2,7,5,H,13
15,1,4,8,H,12
15,2,8,6,M,13
16,1,3,8,M,12
16,2,8,5,M,13
17,1,4,9,M,12
17,2,7,4,H,12
18,1,5,8,H,11
18,2,6,5,M,12
19,1,5,9,M,11
19,2,6,4,M,12
20,1,5,7,M,11
20,2,7,9,M,12
21,1,7,9,M,11
21,2,7,3,M,12
22,1,0,9,M,11
22,2,8,4,M,12
23,1,7,8,M,11
23,2,9,8,M,12
24,1,2,5,H,10
24,2,1,3,H,11
25,1,3,5,M,10
25,2,1,2,H,10
26,1,1,5,M,10
26,2,2,3,M,10
27,1,2,6,M,10
27,2,2,2,M,10
28,1,2,4,H,9
28,2,0,3,M,10
29,1,3,4,H,8
29,2,0,2,M,10
30,1,1,4,M,8
30,2,1,4,H,9
31,1,4,4,M,8
31,2,0,4,M,9
32,1,3,3,H,7
32,2,1,5,M,9
33,1,3,2,H,6
33,2,7,2,M,9
34,1,2,2,M,6
34,2,4,7,M,9
35,1,4,3,M,6
35,2,4,0,M,9
36,1,2,3,H,5
36,2,8,9,M,9
37,1,1,3,M,5
37,2,4,5,M,9
38,1,3,1,M,5
38,2,0,0,M,9
39,1,8,8,M,5
39,2,3,8,M,9
40,1,2,0,H,4
40,2,9,7,M,9
41,1,3,0,H,3
41,2,5,6,M,9
42,1,2,1,M,3
42,2,9,5,M,9
43,1,1,0,H,2
43,2,1,0,M,9
44,1,1,1,M,2
44,2,4,1,M,9
45,1,0,0,H,1
45,2,9,9,M,9
46,1,0,1,M,1
46,2,5,1,M,9
47,1,4,0,H,0
47,2,6,1,M,9
48,1,4,1,M,0
48,2,1,7,M,9
49,1,5,0,M,0
49,2,5,8,H,8
50,1,0,5,M,0
50,2,4,8,M,8
51,1,0,8,M,0
51,2,5,7,H,7
52,1,9,7,M,0
52,2,5,9,H,6
53,1,8,5,M,0
53,2,4,9,M,6
54,1,2,7,M,0
54,2,6,9,M,6
55,1,7,6,M,0
55,2,5,0,M,6
56,1,0,4,M,0
56,2,9,3,M,6
57,1,6,9,M,0
57,2,7,0,M,6
58,1,7,4,M,0
58,2,3,2,H,5
59,1,5,1,M,0
59,2,3,3,H,4
60,1,5,2,M,0
60,2,3,4,M,4
61,1,5,6,M,0
61,2,3,1,H,3
62,1,3,6,M,0
62,2,4,3,H,2
63,1,5,4,M,0
63,2,4,2,H,1
64,1,0,2,M,0
64,2,2,1,M,1
65,1,5,3,M,0
65,2,5,3,M,1
66,1,9,6,M,0
66,2,3,0,H,0
