Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,2,7,M,17
1,2,7,3,M,17
2,1,3,7,M,17
2,2,6,0,M,17
3,1,6,9,M,17
3,2,9,7,H,16
4,1,5,2,M,17
4,2,9,6,H,15
5,1,3,2,M,17
5,2,9,5,H,14
6,1,4,6,M,17
6,2,8,5,H,13
7,1,7,5,M,17
7,2,9,8,M,13
8,1,9,9,M,17
8,2,8,6,M,13
9,1,4,7,H,16
9,2,8,7,H,12
10,1,5,7,H,15
10,2,8,8,M,12
11,1,5,6,M,15
11,2,8,4,M,12
12,1,6,7,H,14
12,2,7,7,H,11
13,1,6,6,M,14
13,2,6,7,M,11
14,1,4,8,M,14
14,2,9,4,H,10
15,1,6,8,M,14
15,2,7,5,H,9
16,1,7,7,M,14
16,2,6,5,H,8
17,1,5,8,M,14
17,2,9,3,M,8
18,1,7,2,M,14
18,2,7,6,M,8
19,1,4,2,M,14
19,2,5,5,M,8
20,1,4,1,H,13
20,2,6,6,M,8
21,1,4,0,H,12
21,2,6,4,M,8
22,1,5,0,H,11
22,2,7,8,M,8
23,1,6,0,H,10
23,2,7,4,M,8
24,1,7,0,M,10
24,2,5,8,M,8
25,1,3,1,M,10
25,2,1,4,H,7
26,1,6,1,H,9
26,2,2,4,M,7
27,1,7,1,H,8
27,2,1,3,H,6
28,1,5,1,H,7
28,2,0,3,M,6
29,1,6,2,M,7
29,2,1,5,H,5
30,1,3,0,M,7
30,2,0,5,M,5
31,1,8,1,M,7
31,2,0,4,M,5
32,1,0,7,M,7
32,2,1,2,M,5
33,1,3,4,H,6
33,2,2,3,M,5
34,1,2,4,H,5
34,2,1,6,M,5
35,1,4,4,M,5
35,2,2,5,M,5
36,1,2,3,H,4
36,2,4,0,H,4
37,1,2,2,H,3
37,2,4,1,H,3
38,1,1,3,M,3
38,2,5,0,M,3
39,1,3,3,M,3
39,2,3,0,M,3
40,1,1,4,M,3
40,2,5,1,M,3
41,1,3,5,H,2
41,2,4,2,H,2
42,1,3,6,M,2
42,2,4,3,H,1
43,1,2,1,H,1
43,2,4,4,H,0
44,1,1,2,M,1
44,2,5,2,M,0
45,1,4,5,M,1
45,2,5,3,M,0
46,1,2,5,H,0
46,2,3,3,M,0
