Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,3,M,17
1,2,0,2,M,17
2,1,8,8,M,17
2,2,2,3,M,17
3,1,1,9,M,17
3,2,1,8,M,17
4,1,1,4,H,16
4,2,1,3,M,17
5,1,0,4,H,15
5,2,3,8,M,17
6,1,1,5,M,15
6,2,2,4,M,17
7,1,0,5,M,15
7,2,1,1,M,17
8,1,2,4,H,14
8,2,9,9,M,17
9,1,3,4,H,13
9,2,9,5,M,17
10,1,2,5,M,13
10,2,8,3,M,17
11,1,0,3,M,13
11,2,3,0,M,17
12,1,2,3,H,12
12,2,7,5,M,17
13,1,3,5,M,12
13,2,2,2,M,17
14,1,2,2,H,11
14,2,8,5,M,17
15,1,4,4,H,10
15,2,6,8,H,16
16,1,4,5,M,10
16,2,6,9,H,15
17,1,1,2,M,10
17,2,7,9,H,14
18,1,4,3,H,9
18,2,6,7,H,13
19,1,3,3,H,8
19,2,7,7,M,13
20,1,2,1,H,7
20,2,5,7,M,13
21,1,5,3,H,6
21,2,5,9,M,13
22,1,3,2,M,6
22,2,8,9,H,12
23,1,6,3,M,6
23,2,5,8,M,12
24,1,4,2,M,6
24,2,8,8,M,12
25,1,3,1,M,6
25,2,7,8,M,12
26,1,5,4,H,5
26,2,6,6,H,11
27,1,2,0,M,5
27,2,6,5,H,10
28,1,5,5,M,5
28,2,7,6,M,10
29,1,6,4,M,5
29,2,5,5,M,10
30,1,5,2,M,5
30,2,6,4,M,10
31,1,1,1,M,5
31,2,5,6,M,10
32,1,4,8,M,5
32,2,2,0,M,10
33,1,6,9,M,5
33,2,9,8,M,10
34,1,3,7,M,5
34,2,7,4,M,10
35,1,0,9,M,5
35,2,9,6,M,10
36,1,7,7,H,4
36,2,0,9,M,10
37,1,7,8,M,4
37,2,9,7,M,10
38,1,6,7,H,3
38,2,9,3,M,10
39,1,6,6,M,3
39,2,9,0,M,10
40,1,6,8,M,3
40,2,1,4,M,10
41,1,8,7,H,2
41,2,8,1,M,10
42,1,7,6,M,2
42,2,2,9,M,10
43,1,9,7,M,2
43,2,8,6,M,10
44,1,5,7,H,1
44,2,0,8,M,10
45,1,4,7,H,0
45,2,3,5,M,10
46,1,5,6,M,0
46,2,8,0,M,10
47,1,4,6,M,0
47,2,4,1,M,10
48,1,8,6,M,0
48,2,8,7,M,10
49,1,5,8,M,0
49,2,3,1,M,10
50,1,8,2,M,0
50,2,4,6,M,10
51,1,1,8,M,0
51,2,4,9,M,10
52,1,0,7,M,0
52,2,9,1,M,10
53,1,8,3,M,0
53,2,2,8,M,10
54,1,2,8,M,0
54,2,3,3,M,10
55,1,9,6,M,0
55,2,4,3,M,10
56,1,2,6,M,0
56,2,1,0,M,10
57,1,6,2,M,0
57,2,0,7,M,10
58,1,5,9,M,0
58,2,7,3,M,10
59,1,6,5,M,0
59,2,6,1,M,10
60,1,1,7,M,0
60,2,2,5,M,10
61,1,6,0,M,0
61,2,6,0,M,10
62,1,7,9,M,0
62,2,9,2,M,10
63,1,7,2,M,0
63,2,1,2,M,10
64,1,9,5,M,0
64,2,8,2,M,10
65,1,7,5,M,0
65,2,4,2,H,9
66,1,5,0,M,0
66,2,5,2,H,8
67,1,7,3,M,0
67,2,5,1,M,8
68,1,7,4,M,0
68,2,3,2,M,8
69,1,9,8,M,0
69,2,5,3,M,8
70,1,1,0,M,0
70,2,6,2,H,7
71,1,9,3,M,0
71,2,6,3,M,7
72,1,0,0,M,0
72,2,7,2,H,6
73,1,9,1,M,0
73,2,7,1,H,5
74,1,6,1,M,0
74,2,7,0,H,4
75,1,4,9,M,0
75,2,4,8,M,4
76,1,4,0,M,0
76,2,1,9,M,4
77,1,0,6,M,0
77,2,0,0,M,4
78,1,8,1,M,0
78,2,5,4,M,4
79,1,0,1,M,0
79,2,3,6,H,3
80,1,1,6,M,0
80,2,3,7,M,3
81,1,3,0,M,0
81,2,2,6,H,2
82,1,0,8,M,0
82,2,1,6,H,1
83,1,7,1,M,0
83,2,0,6,H,0
