Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,7,6,M,17
1,2,9,9,M,17
2,1,8,3,H,16
2,2,2,2,M,17
3,1,7,3,M,16
3,2,5,3,H,16
4,1,8,4,H,15
4,2,6,3,H,15
5,1,8,2,H,14
5,2,7,3,M,15
6,1,8,1,M,14
6,2,5,2,M,15
7,1,9,4,H,13
7,2,6,2,M,15
8,1,7,2,M,13
8,2,6,4,M,15
9,1,9,2,M,13
9,2,5,4,M,15
10,1,8,5,H,12
10,2,4,3,H,14
11,1,7,4,M,12
11,2,4,2,M,14
12,1,9,3,M,12
12,2,4,4,M,14
13,1,7,5,M,12
13,2,3,3,M,14
14,1,9,5,H,11
14,2,9,8,M,14
15,1,8,6,H,10
15,2,1,9,M,14
16,1,9,6,M,10
16,2,3,2,M,14
17,1,8,7,M,10
17,2,2,0,M,14
18,1,5,3,M,10
18,2,8,1,H,13
19,1,2,3,M,10
19,2,9,1,H,12
20,1,5,1,M,10
20,2,8,0,M,12
21,1,0,7,M,10
21,2,9,2,M,12
22,1,0,9,H,9
22,2,8,2,M,12
23,1,0,8,M,9
23,2,7,1,H,11
24,1,1,9,H,8
24,2,9,0,M,11
25,1,2,9,H,7
25,2,7,2,M,11
26,1,3,9,H,6
26,2,6,1,M,11
27,1,4,9,M,6
27,2,7,0,M,11
28,1,3,8,M,6
28,2,6,6,M,11
29,1,2,8,M,6
29,2,6,8,M,11
30,1,1,8,M,6
30,2,2,7,M,11
31,1,3,3,M,6
31,2,5,8,M,11
32,1,6,7,M,6
32,2,9,5,M,11
33,1,4,5,M,6
33,2,3,8,M,11
34,1,6,0,M,6
34,2,3,7,M,11
35,1,0,1,M,6
35,2,9,6,M,11
36,1,0,6,M,6
36,2,8,8,M,11
37,1,8,8,M,6
37,2,4,7,M,11
38,1,1,2,H,5
38,2,0,1,H,10
39,1,2,2,M,5
39,2,1,1,M,10
40,1,1,3,H,4
40,2,0,0,M,10
41,1,1,4,H,3
41,2,0,2,H,9
42,1,2,4,M,3
42,2,1,2,M,9
43,1,1,5,M,3
43,2,0,3,M,9
44,1,0,4,M,3
44,2,3,6,M,9
45,1,0,2,M,3
45,2,0,5,M,9
46,1,0,3,M,3
46,2,2,6,M,9
47,1,1,1,M,3
47,2,2,1,M,9
48,1,5,8,M,3
48,2,7,6,H,8
49,1,1,0,M,3
49,2,7,5,H,7
50,1,9,1,M,3
50,2,6,5,M,7
51,1,5,9,M,3
51,2,8,6,M,7
52,1,6,5,M,3
52,2,8,5,M,7
53,1,7,0,M,3
53,2,7,7,H,6
54,1,2,1,M,3
54,2,6,7,M,6
55,1,5,0,M,3
55,2,7,4,M,6
56,1,8,0,M,3
56,2,7,8,H,5
57,1,7,9,M,3
57,2,7,9,H,4
58,1,0,5,M,3
58,2,8,7,M,4
59,1,9,8,M,3
59,2,8,9,M,4
60,1,4,2,M,3
60,2,6,9,M,4
61,1,4,4,M,3
61,2,1,5,M,4
62,1,7,1,M,3
62,2,1,4,H,3
63,1,1,6,M,3
63,2,2,4,H,2
64,1,1,7,M,3
64,2,0,4,H,1
65,1,5,2,M,3
65,2,2,3,M,1
66,1,4,6,M,3
66,2,3,4,H,0
67,1,2,5,M,3
67,2,2,5,M,0
68,1,4,7,M,3
68,2,3,5,M,0
69,1,5,6,H,2
69,2,1,3,M,0
70,1,5,7,H,1
70,2,9,4,M,0
71,1,5,5,H,0
71,2,4,9,M,0
