Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,4,2,M,17
1,2,3,8,M,17
2,1,5,4,M,17
2,2,0,4,M,17
3,1,0,2,M,17
3,2,1,5,M,17
4,1,6,4,M,17
4,2,8,2,M,17
5,1,6,2,M,17
5,2,7,1,M,17
6,1,5,3,M,17
6,2,9,2,M,17
7,1,4,3,H,16
7,2,6,5,M,17
8,1,3,3,H,15
8,2,6,6,H,16
9,1,3,4,M,15
9,2,6,7,M,16
10,1,4,4,M,15
10,2,7,6,H,15
11,1,2,3,H,14
11,2,7,5,M,15
12,1,3,2,M,14
12,2,7,7,M,15
13,1,2,2,M,14
13,2,8,6,M,15
14,1,1,3,H,13
14,2,5,6,M,15
15,1,1,4,M,13
15,2,7,3,M,15
16,1,0,3,H,12
16,2,4,7,M,15
17,1,2,4,M,12
17,2,0,6,M,15
18,1,0,4,M,12
18,2,2,1,M,15
19,1,1,2,M,12
19,2,2,2,M,15
20,1,1,9,M,12
20,2,0,5,M,15
21,1,4,7,H,11
21,2,4,9,M,15
22,1,3,7,M,11
22,2,3,2,M,15
23,1,4,8,H,10
23,2,2,5,H,14
24,1,4,9,M,10
24,2,3,5,H,13
25,1,4,6,H,9
25,2,2,6,H,12
26,1,3,8,M,9
26,2,4,5,M,12
27,1,5,6,M,9
27,2,3,4,M,12
28,1,5,8,M,9
28,2,1,6,M,12
29,1,4,5,M,9
29,2,2,4,H,11
30,1,5,7,M,9
30,2,2,7,M,11
31,1,3,6,M,9
31,2,3,6,H,10
32,1,0,6,M,9
32,2,1,4,M,10
33,1,8,5,M,9
33,2,3,7,H,9
34,1,6,5,M,9
34,2,2,3,M,9
35,1,0,7,M,9
35,2,4,6,M,9
36,1,5,0,M,9
36,2,9,9,M,9
37,1,9,1,M,9
37,2,7,9,M,9
38,1,8,3,M,9
38,2,4,2,H,8
39,1,9,4,M,9
39,2,4,1,H,7
40,1,8,2,M,9
40,2,5,1,M,7
41,1,8,6,M,9
41,2,3,1,M,7
42,1,7,3,M,9
42,2,5,2,M,7
43,1,7,7,M,9
43,2,4,3,H,6
44,1,9,0,M,9
44,2,4,4,H,5
45,1,7,9,M,9
45,2,3,3,M,5
46,1,3,9,M,9
46,2,5,4,M,5
47,1,7,2,M,9
47,2,5,3,M,5
48,1,2,1,M,9
48,2,4,0,H,4
49,1,6,0,M,9
49,2,5,0,M,4
50,1,7,4,M,9
50,2,3,0,M,4
51,1,3,0,M,9
51,2,3,9,M,4
52,1,2,8,M,9
52,2,1,9,M,4
53,1,0,5,H,8
53,2,1,2,M,4
54,1,1,5,H,7
54,2,9,6,H,3
55,1,2,5,H,6
55,2,9,7,H,2
56,1,3,5,M,6
56,2,8,7,M,2
57,1,1,6,M,6
57,2,9,8,H,1
58,1,2,6,M,6
58,2,8,8,M,1
59,1,8,4,M,6
59,2,9,5,H,0
60,1,5,9,M,6
60,2,9,4,M,0
61,1,6,8,M,6
61,2,8,5,M,0
62,1,7,5,M,6
62,2,8,3,M,0
63,1,9,3,M,6
63,2,9,3,M,0
64,1,4,1,M,6
64,2,6,1,M,0
65,1,4,0,M,6
65,2,6,8,M,0
66,1,9,2,M,6
66,2,2,0,M,0
67,1,5,2,M,6
67,2,6,3,M,0
68,1,1,1,H,5
68,2,1,0,M,0
69,1,1,0,H,4
69,2,6,2,M,0
70,1,2,0,M,4
70,2,9,0,M,0
71,1,0,1,M,4
71,2,5,9,M,0
72,1,0,0,M,4
72,2,8,0,M,0
73,1,8,8,M,4
73,2,6,9,M,0
74,1,9,9,M,4
74,2,8,9,M,0
75,1,6,1,H,3
75,2,0,0,M,0
76,1,7,1,H,2
76,2,0,8,M,0
77,1,8,1,H,1
77,2,1,3,M,0
78,1,8,0,M,1
78,2,7,8,M,0
79,1,5,1,H,0
79,2,5,8,M,0
