Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,6,9,M,17
1,2,4,1,M,17
2,1,4,8,M,17
2,2,0,2,M,17
3,1,0,5,M,17
3,2,8,0,H,16
4,1,9,0,M,17
4,2,9,0,M,16
5,1,5,0,M,17
5,2,7,0,M,16
6,1,2,5,M,17
6,2,8,1,H,15
7,1,2,2,M,17
7,2,7,1,M,15
8,1,7,6,M,17
8,2,9,1,M,15
9,1,9,8,M,17
9,2,8,2,H,14
10,1,5,1,H,16
10,2,7,2,M,14
11,1,5,2,H,15
11,2,8,3,H,13
12,1,6,1,M,15
12,2,9,2,M,13
13,1,4,2,H,14
13,2,7,3,H,12
14,1,6,2,M,14
14,2,8,4,M,12
15,1,3,2,M,14
15,2,9,3,M,12
16,1,4,1,H,13
16,2,7,4,H,11
17,1,3,1,M,13
17,2,7,5,H,10
18,1,4,0,M,13
18,2,6,3,M,10
19,1,4,3,M,13
19,2,6,4,M,10
20,1,5,3,H,12
20,2,6,5,M,10
21,1,5,4,H,11
21,2,7,6,H,9
22,1,6,3,M,11
22,2,8,6,M,9
23,1,6,4,M,11
23,2,8,5,M,9
24,1,4,4,M,11
24,2,6,6,M,9
25,1,5,5,M,11
25,2,7,7,H,8
26,1,2,4,M,11
26,2,6,7,M,8
27,1,9,9,M,11
27,2,7,8,M,8
28,1,7,4,M,11
28,2,8,7,M,8
29,1,7,0,M,11
29,2,0,9,M,8
30,1,8,1,M,11
30,2,3,3,M,8
31,1,3,8,M,11
31,2,1,1,M,8
32,1,9,6,H,10
32,2,3,8,M,8
33,1,8,6,M,10
33,2,5,8,M,8
34,1,9,5,H,9
34,2,1,4,M,8
35,1,8,5,M,9
35,2,9,6,M,8
36,1,9,4,H,8
36,2,5,9,H,7
37,1,8,4,H,7
37,2,4,9,M,7
38,1,9,3,H,6
38,2,6,9,H,6
39,1,9,7,H,5
39,2,7,9,M,6
40,1,9,2,M,5
40,2,6,8,M,6
41,1,8,3,H,4
41,2,3,9,M,6
42,1,7,3,M,4
42,2,6,2,M,6
43,1,8,2,H,3
43,2,0,3,M,6
44,1,8,7,M,3
44,2,0,1,M,6
45,1,7,2,M,3
45,2,1,5,M,6
46,1,1,0,M,3
46,2,0,6,M,6
47,1,3,5,M,3
47,2,2,0,M,6
48,1,1,9,M,3
48,2,2,4,M,6
49,1,8,9,M,3
49,2,3,0,M,6
50,1,0,8,M,3
50,2,2,3,M,6
51,1,6,6,M,3
51,2,0,0,M,6
52,1,7,9,M,3
52,2,5,6,M,6
53,1,1,3,M,3
53,2,4,6,M,6
54,1,2,6,H,2
54,2,2,6,M,6
55,1,1,6,H,1
55,2,1,9,M,6
56,1,1,5,M,1
56,2,8,9,M,6
57,1,2,7,M,1
57,2,3,1,M,6
58,1,1,7,M,1
58,2,5,0,M,6
59,1,3,6,M,1
59,2,3,7,M,6
60,1,0,6,H,0
60,2,4,8,M,6
61,1,0,7,M,0
61,2,3,6,M,6
62,1,2,9,M,0
62,2,9,5,M,6
63,1,7,5,M,0
63,2,0,5,M,6
64,1,4,7,M,0
64,2,6,1,M,6
65,1,5,9,M,0
65,2,4,4,M,6
66,1,6,7,M,0
66,2,0,8,M,6
67,1,4,5,M,0
67,2,2,9,M,6
68,1,4,9,M,0
68,2,2,7,M,6
69,1,0,4,M,0
69,2,3,2,H,5
70,1,3,3,M,0
70,2,4,2,H,4
71,1,2,8,M,0
71,2,2,2,H,3
72,1,8,8,M,0
72,2,1,2,M,3
73,1,6,0,M,0
73,2,4,3,M,3
74,1,3,0,M,0
74,2,2,1,M,3
75,1,7,8,M,0
75,2,5,2,M,3
76,1,3,9,M,0
76,2,4,7,M,3
77,1,3,7,M,0
77,2,5,7,M,3
78,1,3,4,M,0
78,2,8,8,M,3
79,1,4,6,M,0
79,2,5,3,M,3
80,1,5,7,M,0
80,2,5,4,M,3
81,1,0,2,M,0
81,2,3,5,H,2
82,1,1,4,M,0
82,2,2,5,H,1
83,1,2,1,M,0
83,2,3,4,M,1
84,1,0,9,M,0
84,2,4,5,H,0
