Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,1,7,H,16
1,2,6,6,M,17
2,1,1,8,M,16
2,2,6,2,M,17
3,1,0,7,M,16
3,2,2,4,H,16
4,1,2,7,M,16
4,2,1,4,M,16
5,1,1,6,H,15
5,2,3,4,H,15
6,1,1,5,H,14
6,2,3,5,H,14
7,1,0,5,M,14
7,2,3,3,M,14
8,1,2,6,M,14
8,2,2,3,M,14
9,1,0,6,M,14
9,2,3,6,H,13
10,1,2,5,M,14
10,2,4,6,M,13
11,1,1,4,H,13
11,2,2,6,H,12
12,1,2,4,M,13
12,2,4,4,M,12
13,1,0,4,M,13
13,2,2,7,H,11
14,1,1,3,H,12
14,2,4,5,M,11
15,1,2,3,M,12
15,2,1,6,M,11
16,1,0,3,M,12
16,2,2,5,H,10
17,1,1,2,M,12
17,2,1,5,M,10
18,1,6,8,H,11
18,2,1,7,M,10
19,1,5,8,H,10
19,2,2,8,M,10
20,1,5,7,M,10
20,2,3,7,H,9
21,1,5,9,M,10
21,2,3,8,H,8
22,1,7,8,H,9
22,2,4,7,M,8
23,1,4,8,M,9
23,2,3,9,M,8
24,1,7,7,M,9
24,2,4,8,M,8
25,1,8,8,H,8
25,2,1,3,M,8
26,1,8,9,H,7
26,2,2,0,M,8
27,1,6,9,H,6
27,2,6,1,M,8
28,1,9,9,M,6
28,2,9,4,M,8
29,1,8,7,M,6
29,2,1,0,M,8
30,1,9,8,M,6
30,2,7,7,M,8
31,1,6,7,M,6
31,2,5,7,M,8
32,1,7,9,H,5
32,2,8,5,M,8
33,1,4,6,M,5
33,2,8,9,M,8
34,1,3,5,M,5
34,2,2,2,M,8
35,1,1,9,M,5
35,2,9,9,M,8
36,1,9,0,M,5
36,2,3,0,M,8
37,1,6,6,M,5
37,2,9,8,M,8
38,1,4,2,M,5
38,2,5,9,M,8
39,1,4,5,M,5
39,2,6,0,M,8
40,1,5,3,M,5
40,2,4,1,H,7
41,1,9,4,M,5
41,2,3,1,H,6
42,1,7,4,M,5
42,2,2,1,M,6
43,1,1,0,M,5
43,2,4,0,M,6
44,1,9,5,M,5
44,2,4,2,M,6
45,1,8,6,M,5
45,2,3,2,M,6
46,1,3,7,M,5
46,2,5,1,H,5
47,1,2,8,M,5
47,2,5,2,M,5
48,1,9,6,M,5
48,2,5,0,M,5
49,1,7,0,M,5
49,2,0,2,M,5
50,1,6,4,M,5
50,2,5,5,M,5
51,1,8,5,M,5
51,2,5,4,M,5
52,1,9,2,M,5
52,2,4,9,M,5
53,1,0,8,M,5
53,2,6,5,M,5
54,1,9,3,M,5
54,2,7,6,H,4
55,1,3,4,M,5
55,2,8,6,H,3
56,1,7,6,M,5
56,2,9,6,H,2
57,1,9,1,M,5
57,2,9,5,M,2
58,1,9,7,M,5
58,2,9,7,M,2
59,1,2,0,M,5
59,2,7,5,M,2
60,1,7,5,M,5
60,2,8,7,M,2
61,1,8,2,M,5
61,2,4,3,M,2
62,1,3,3,M,5
62,2,6,9,M,2
63,1,5,4,M,5
63,2,0,5,M,2
64,1,0,9,M,5
64,2,5,8,M,2
65,1,8,4,M,5
65,2,7,2,M,2
66,1,6,1,M,5
66,2,0,3,M,2
67,1,7,1,H,4
67,2,7,9,M,2
68,1,7,2,H,3
68,2,7,0,M,2
69,1,8,1,M,3
69,2,8,4,M,2
70,1,7,3,H,2
70,2,2,9,M,2
71,1,6,2,M,2
71,2,6,4,M,2
72,1,8,3,M,2
72,2,7,8,M,2
73,1,6,3,M,2
73,2,7,3,M,2
74,1,3,0,M,2
74,2,1,1,M,2
75,1,5,0,M,2
75,2,1,9,M,2
76,1,4,9,M,2
76,2,6,7,M,2
77,1,4,4,M,2
77,2,8,1,M,2
78,1,2,1,M,2
78,2,7,4,M,2
79,1,5,2,M,2
79,2,8,0,M,2
80,1,5,6,M,2
80,2,0,9,M,2
81,1,6,0,M,2
81,2,8,3,H,1
82,1,4,3,M,2
82,2,9,3,H,0
83,1,3,2,M,2
83,2,8,2,M,0
84,1,3,8,M,2
84,2,9,2,M,0
85,1,6,5,H,1
85,2,0,7,M,0
86,1,5,5,H,0
86,2,9,0,M,0
