Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,6,M,17
1,2,9,7,M,17
2,1,2,3,M,17
2,2,8,5,H,16
3,1,3,8,M,17
3,2,8,4,H,15
4,1,0,4,M,17
4,2,8,6,H,14
5,1,0,7,H,16
5,2,7,6,M,14
6,1,0,8,M,16
6,2,9,6,M,14
7,1,0,6,H,15
7,2,7,5,M,14
8,1,0,5,H,14
8,2,8,3,H,13
9,1,1,7,M,14
9,2,7,3,M,13
10,1,1,6,M,14
10,2,9,5,M,13
11,1,1,5,M,14
11,2,7,4,M,13
12,1,2,7,M,14
12,2,9,3,M,13
13,1,7,8,H,13
13,2,8,2,M,13
14,1,7,7,M,13
14,2,8,7,H,12
15,1,6,8,H,12
15,2,9,4,M,12
16,1,6,7,M,12
16,2,7,7,M,12
17,1,5,8,H,11
17,2,8,8,M,12
18,1,4,8,M,11
18,2,0,1,M,12
19,1,6,9,M,11
19,2,6,9,M,12
20,1,5,7,M,11
20,2,4,1,M,12
21,1,8,8,M,11
21,2,1,5,M,12
22,1,5,9,M,11
22,2,5,2,M,12
23,1,7,9,M,11
23,2,2,9,M,12
24,1,6,3,M,11
24,2,0,9,M,12
25,1,8,0,M,11
25,2,2,0,M,12
26,1,9,0,M,11
26,2,1,1,M,12
27,1,3,5,M,11
27,2,8,9,M,12
28,1,5,2,H,10
28,2,9,0,M,12
29,1,5,1,M,10
29,2,6,3,M,12
30,1,6,2,H,9
30,2,1,2,M,12
31,1,6,1,M,9
31,2,0,5,M,12
32,1,5,3,H,8
32,2,6,5,M,12
33,1,7,2,M,8
33,2,3,1,M,12
34,1,5,4,H,7
34,2,2,5,M,12
35,1,6,4,M,7
35,2,0,2,M,12
36,1,4,4,M,7
36,2,6,2,M,12
37,1,4,2,H,6
37,2,7,1,M,12
38,1,4,3,M,6
38,2,2,6,M,12
39,1,4,1,M,6
39,2,3,2,M,12
40,1,5,5,M,6
40,2,2,3,M,12
41,1,3,2,H,5
41,2,0,7,M,12
42,1,3,1,M,5
42,2,3,8,M,12
43,1,2,2,M,5
43,2,4,7,H,11
44,1,3,3,M,5
44,2,4,6,H,10
45,1,8,1,M,5
45,2,4,8,H,9
46,1,1,3,M,5
46,2,5,6,H,8
47,1,9,5,M,5
47,2,3,7,M,8
48,1,7,5,M,5
48,2,6,6,M,8
49,1,0,1,M,5
49,2,5,7,H,7
50,1,5,6,H,4
50,2,6,7,M,7
51,1,6,6,H,3
51,2,4,5,M,7
52,1,7,6,H,2
52,2,5,5,H,6
53,1,4,6,H,1
53,2,5,8,H,5
54,1,6,5,M,1
54,2,6,8,M,5
55,1,4,7,M,1
55,2,5,9,M,5
56,1,8,6,H,0
56,2,4,9,M,5
57,1,9,6,M,0
57,2,3,6,H,4
58,1,8,5,M,0
58,2,3,5,H,3
59,1,4,5,M,0
59,2,5,4,H,2
60,1,8,7,M,0
60,2,3,4,M,2
61,1,1,4,M,0
61,2,4,4,H,1
62,1,9,8,M,0
62,2,5,3,M,1
63,1,2,4,M,0
63,2,4,3,M,1
64,1,3,4,M,0
64,2,6,4,H,0
