Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,0,M,17
1,2,9,8,M,17
2,1,5,1,M,17
2,2,9,1,H,16
3,1,1,7,M,17
3,2,9,2,M,16
4,1,7,8,M,17
4,2,8,1,H,15
5,1,4,4,M,17
5,2,9,0,M,15
6,1,0,8,M,17
6,2,8,2,M,15
7,1,2,7,M,17
7,2,7,1,H,14
8,1,7,4,M,17
8,2,7,0,M,14
9,1,1,6,M,17
9,2,6,1,M,14
10,1,5,0,M,17
10,2,7,2,M,14
11,1,1,4,M,17
11,2,8,0,M,14
12,1,0,7,M,17
12,2,0,7,H,13
13,1,8,2,H,16
13,2,1,7,M,13
14,1,7,2,H,15
14,2,0,8,M,13
15,1,7,3,M,15
15,2,0,6,H,12
16,1,8,3,M,15
16,2,0,5,H,11
17,1,6,2,M,15
17,2,0,4,M,11
18,1,9,2,M,15
18,2,1,6,M,11
19,1,8,1,M,15
19,2,1,5,M,11
20,1,7,1,M,15
20,2,2,4,M,11
21,1,1,3,M,15
21,2,7,7,M,11
22,1,8,8,M,15
22,2,0,9,M,11
23,1,7,0,M,15
23,2,6,4,M,11
24,1,5,5,M,15
24,2,2,0,M,11
25,1,2,1,H,14
25,2,4,0,M,11
26,1,2,2,H,13
26,2,3,8,H,10
27,1,2,3,H,12
27,2,2,8,H,9
28,1,1,2,M,12
28,2,4,8,H,8
29,1,2,4,M,12
29,2,5,8,H,7
30,1,2,0,H,11
30,2,3,7,M,7
31,1,1,0,M,11
31,2,3,9,M,7
32,1,3,3,M,11
32,2,5,9,M,7
33,1,3,1,M,11
33,2,5,7,M,7
34,1,1,1,M,11
34,2,6,8,M,7
35,1,3,2,M,11
35,2,2,9,M,7
36,1,0,6,M,11
36,2,4,9,M,7
37,1,8,4,M,11
37,2,2,7,M,7
38,1,9,1,M,11
38,2,1,8,H,6
39,1,8,9,M,11
39,2,1,9,M,6
40,1,4,8,M,11
40,2,4,7,M,6
41,1,6,3,M,11
41,2,8,5,M,6
42,1,5,4,M,11
42,2,7,4,H,5
43,1,0,3,H,10
43,2,8,4,M,5
44,1,0,4,H,9
44,2,7,3,H,4
45,1,0,2,H,8
45,2,6,3,M,4
46,1,0,1,H,7
46,2,8,3,M,4
47,1,0,0,H,6
47,2,7,5,H,3
48,1,0,5,M,6
48,2,6,5,M,3
49,1,4,2,H,5
49,2,7,6,H,2
50,1,4,1,H,4
50,2,6,6,M,2
51,1,4,0,H,3
51,2,8,6,M,2
52,1,4,3,M,3
52,2,4,3,M,2
53,1,5,2,M,3
53,2,1,3,M,2
54,1,7,9,M,3
54,2,3,1,M,2
55,1,9,5,M,3
55,2,5,0,M,2
56,1,9,8,M,3
56,2,6,0,M,2
57,1,9,3,M,3
57,2,2,6,M,2
58,1,8,7,M,3
58,2,8,9,M,2
59,1,7,6,M,3
59,2,8,8,M,2
60,1,6,0,M,3
60,2,8,7,M,2
61,1,4,9,M,3
61,2,3,5,M,2
62,1,8,6,M,3
62,2,0,3,M,2
63,1,3,5,M,3
63,2,5,4,M,2
64,1,6,6,M,3
64,2,4,6,M,2
65,1,6,7,M,3
65,2,3,6,M,2
66,1,9,7,M,3
66,2,3,4,M,2
67,1,5,9,M,3
67,2,5,1,M,2
68,1,6,5,H,2
68,2,9,7,M,2
69,1,7,5,H,1
69,2,2,3,M,2
70,1,8,5,H,0
70,2,1,4,M,2
71,1,6,4,M,0
71,2,3,3,M,2
72,1,7,7,M,0
72,2,9,6,M,2
73,1,4,6,M,0
73,2,6,2,M,2
74,1,2,6,M,0
74,2,9,3,M,2
75,1,3,8,M,0
75,2,6,9,M,2
76,1,5,3,M,0
76,2,6,7,M,2
77,1,3,7,M,0
77,2,4,1,H,1
78,1,9,9,M,0
78,2,4,2,H,0
