Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,5,6,M,17
1,2,1,5,M,17
2,1,1,4,M,17
2,2,5,1,M,17
3,1,5,5,H,16
3,2,4,1,M,17
4,1,4,5,H,15
4,2,3,2,M,17
5,1,4,6,M,15
5,2,1,3,M,17
6,1,4,4,M,15
6,2,5,7,H,16
7,1,6,5,H,14
7,2,4,7,M,16
8,1,6,6,M,14
8,2,6,7,M,16
9,1,5,4,M,14
9,2,5,6,H,15
10,1,6,4,M,14
10,2,5,8,H,14
11,1,7,5,H,13
11,2,4,8,M,14
12,1,7,6,M,13
12,2,5,9,M,14
13,1,8,5,M,13
13,2,5,5,H,13
14,1,7,4,M,13
14,2,4,5,M,13
15,1,3,5,H,12
15,2,6,8,M,13
16,1,2,5,M,12
16,2,6,6,M,13
17,1,3,4,M,12
17,2,5,4,H,12
18,1,3,6,M,12
18,2,4,6,M,12
19,1,1,5,H,11
19,2,6,4,M,12
20,1,0,5,M,11
20,2,4,4,M,12
21,1,1,6,H,10
21,2,6,5,M,12
22,1,2,6,M,10
22,2,5,3,M,12
23,1,0,6,M,10
23,2,0,2,M,12
24,1,1,7,H,9
24,2,0,5,M,12
25,1,1,8,M,9
25,2,2,2,M,12
26,1,2,7,M,9
26,2,6,3,M,12
27,1,0,7,M,9
27,2,1,2,M,12
28,1,3,2,M,9
28,2,7,9,H,11
29,1,6,7,M,9
29,2,7,8,H,10
30,1,4,7,M,9
30,2,8,9,M,10
31,1,0,1,M,9
31,2,8,8,M,10
32,1,6,9,M,9
32,2,6,9,M,10
33,1,3,9,M,9
33,2,7,7,H,9
34,1,6,8,H,8
34,2,8,7,M,9
35,1,7,8,H,7
35,2,7,6,H,8
36,1,7,7,M,7
36,2,8,6,H,7
37,1,7,9,M,7
37,2,9,6,H,6
38,1,8,8,H,6
38,2,9,5,H,5
39,1,5,8,H,5
39,2,9,4,H,4
40,1,9,8,M,5
40,2,7,5,M,4
41,1,5,9,M,5
41,2,8,4,M,4
42,1,8,7,M,5
42,2,9,7,M,4
43,1,5,7,M,5
43,2,9,3,M,4
44,1,8,9,M,5
44,2,8,5,M,4
45,1,4,8,M,5
45,2,8,3,M,4
46,1,3,7,M,5
46,2,0,3,M,4
47,1,1,9,M,5
47,2,0,9,M,4
48,1,4,9,M,5
48,2,9,9,M,4
49,1,5,3,M,5
49,2,4,2,M,4
50,1,4,3,M,5
50,2,1,4,M,4
51,1,8,3,M,5
51,2,2,9,M,4
52,1,2,2,M,5
52,2,9,2,M,4
53,1,9,5,M,5
53,2,0,6,M,4
54,1,6,3,M,5
54,2,7,1,M,4
55,1,3,1,M,5
55,2,3,0,M,4
56,1,6,1,M,5
56,2,6,2,H,3
57,1,8,2,M,5
57,2,6,1,M,3
58,1,5,1,M,5
58,2,7,2,H,2
59,1,2,0,M,5
59,2,5,2,H,1
60,1,9,6,M,5
60,2,7,3,M,1
61,1,9,7,M,5
61,2,8,2,H,0
62,1,7,1,M,5
62,2,8,1,M,0
63,1,1,2,M,5
63,2,8,0,M,0
64,1,8,0,H,4
64,2,7,0,M,0
65,1,8,1,M,4
65,2,1,9,M,0
66,1,9,0,M,4
66,2,4,0,M,0
67,1,7,0,H,3
67,2,3,3,M,0
68,1,6,0,M,3
68,2,3,9,M,0
69,1,4,0,M,3
69,2,9,8,M,0
70,1,1,0,M,3
70,2,0,7,M,0
71,1,2,8,M,3
71,2,1,8,M,0
72,1,4,1,M,3
72,2,3,4,M,0
73,1,0,0,M,3
73,2,2,1,M,0
74,1,0,8,M,3
74,2,3,1,M,0
75,1,9,1,M,3
75,2,4,9,M,0
76,1,2,1,M,3
76,2,1,0,M,0
77,1,4,2,M,3
77,2,2,3,M,0
78,1,0,9,M,3
78,2,1,6,M,0
79,1,9,9,M,3
79,2,2,6,M,0
80,1,2,9,M,3
80,2,4,3,M,0
81,1,8,6,M,3
81,2,2,8,M,0
82,1,7,3,M,3
82,2,0,4,M,0
83,1,0,2,M,3
83,2,5,0,M,0
84,1,9,4,M,3
84,2,3,5,M,0
85,1,9,2,M,3
85,2,3,7,M,0
86,1,5,2,M,3
86,2,1,1,M,0
87,1,1,1,M,3
87,2,2,7,M,0
88,1,5,0,M,3
88,2,2,4,M,0
89,1,9,3,M,3
89,2,2,0,M,0
90,1,2,3,H,2
90,2,9,1,M,0
91,1,3,3,M,2
91,2,3,6,M,0
92,1,1,3,H,1
92,2,9,0,M,0
93,1,2,4,M,1
93,2,0,1,M,0
94,1,0,3,H,0
94,2,7,4,M,0
