Turn,Player,Shot_Row,Shot_Col,Result,Player_Lives
1,1,3,9,M,17
1,2,4,9,M,17
2,1,4,7,M,17
2,2,2,0,M,17
3,1,7,4,M,17
3,2,4,5,M,17
4,1,1,1,M,17
4,2,7,2,M,17
5,1,6,8,M,17
5,2,1,6,H,16
6,1,4,8,M,17
6,2,2,6,H,15
7,1,8,5,M,17
7,2,3,6,M,15
8,1,9,7,M,17
8,2,2,7,M,15
9,1,4,5,M,17
9,2,1,7,M,15
10,1,4,9,M,17
10,2,0,6,H,14
11,1,8,3,M,17
11,2,2,5,M,14
12,1,1,3,M,17
12,2,0,5,M,14
13,1,5,7,H,16
13,2,0,7,H,13
14,1,5,6,H,15
14,2,1,5,M,13
15,1,6,6,H,14
15,2,0,8,H,12
16,1,7,6,M,14
16,2,0,9,M,12
17,1,6,7,M,14
17,2,1,8,M,12
18,1,6,5,H,13
18,2,4,6,M,12
19,1,5,8,H,12
19,2,9,4,M,12
20,1,6,4,H,11
20,2,4,8,M,12
21,1,5,4,M,11
21,2,8,6,M,12
22,1,6,3,H,10
22,2,0,1,M,12
23,1,5,5,M,10
23,2,6,3,M,12
24,1,7,5,M,10
24,2,5,4,H,11
25,1,4,6,M,10
25,2,5,5,M,11
26,1,6,2,H,9
26,2,5,3,M,11
27,1,5,9,H,8
27,2,4,4,H,10
28,1,5,3,M,8
28,2,4,3,M,10
29,1,5,2,M,8
29,2,6,4,H,9
30,1,6,1,M,8
30,2,6,5,M,9
31,1,7,2,M,8
31,2,7,4,M,9
32,1,6,9,M,8
32,2,3,4,H,8
33,1,7,3,M,8
33,2,2,4,H,7
34,1,2,0,M,8
34,2,1,4,M,7
35,1,9,8,M,8
35,2,3,5,M,7
36,1,3,7,M,8
36,2,3,3,M,7
37,1,5,1,M,8
37,2,2,3,M,7
38,1,2,2,H,7
38,2,2,2,M,7
39,1,2,1,M,7
39,2,8,0,M,7
40,1,2,3,M,7
40,2,6,6,M,7
41,1,1,2,H,6
41,2,4,0,M,7
42,1,0,2,M,6
42,2,2,8,M,7
43,1,3,2,H,5
43,2,8,4,M,7
44,1,3,1,M,5
44,2,6,8,H,6
45,1,3,3,M,5
45,2,6,7,M,6
46,1,4,2,M,5
46,2,6,9,M,6
47,1,3,8,M,5
47,2,7,8,H,5
48,1,7,0,M,5
48,2,5,8,H,4
49,1,2,6,M,5
49,2,5,7,H,3
50,1,7,1,M,5
50,2,7,9,M,3
51,1,1,7,H,4
51,2,7,7,M,3
52,1,2,7,H,3
52,2,4,7,M,3
53,1,0,7,H,2
53,2,8,8,H,2
54,1,1,6,M,2
54,2,5,6,H,1
55,1,0,8,M,2
55,2,8,7,M,1
56,1,2,8,M,2
56,2,8,9,M,1
57,1,1,8,M,2
57,2,5,9,M,1
58,1,0,6,M,2
58,2,9,8,H,0
59,1,0,4,H,1
59,2,9,9,M,0
60,1,0,3,H,0
60,2,9,7,M,0
